V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104449,GBIF_676,Cleisostoma striatum,-0.54,114.2787,1057645102,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,J.J.Sm.,NA,NA,ID,NA,3,1959,PRESERVED_SPECIMEN,NHMUK,BOT,BM000539605,386,S Darnton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41962,Cleisostoma striatum,Cleisostoma,striatum,(Rchb.f.) N.E.Br.,Species,Accepted,NA,1015405-1,41962,14,1,"c(114.2787, -0.54)",TRUE
106397,GBIF_9592,Cleisostoma firmulum,-4.93333,144.63333,2513787616,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,Rchb.f.,am Djamu,NA,PG,NA,2,1908,PRESERVED_SPECIMEN,NA,Botany,L.1489951,"Schlechter, FRR 17314",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41844,Cleisostoma firmulum,Cleisostoma,firmulum,Rchb.f.,Species,Accepted,NA,623454-1,41844,0,7,"c(144.63333, -4.93333)",TRUE
106398,GBIF_9593,Cleisostoma buruense,-6.95,146.58333,2513788547,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(J.J.Sm.) Garay,Mumeng North of Mumeng,NA,PG,NA,1,2003,PRESERVED_SPECIMEN,NA,Botany,L.1489993,"Vogel, EF de; Vogel, APTM s.n.",Vogel EF de; Vogel APTM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41804,Cleisostoma buruense,Cleisostoma,buruense,(J.J.Sm.) Garay,Species,Accepted,NA,623416-1,41804,0,15,"c(146.58333, -6.95)",TRUE
106523,GBIF_9720,Cleisostoma sumbavense,-10,120.36667,2513796736,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(J.J.Sm.) Garay,"Archipel. Ind. Soemba, Kanangar.",NA,ID,NA,5,1925,PRESERVED_SPECIMEN,NA,Botany,L.1500500,Iboet 1925 523,Iboet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41969,Cleisostoma sumbavense,Cleisostoma,sumbavense,(J.J.Sm.) Garay,Species,Accepted,NA,623564-1,41969,0,15,"c(120.36667, -10)",TRUE
106524,GBIF_9721,Cleisostoma scortechinii,4.88333,101.96667,2513797782,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Hook.f.) Garay,"Kelantan, Gua Musang, Gua Batu Boh",NA,MY,NA,8,1971,PRESERVED_SPECIMEN,NA,Botany,L.1500519,"Chin, SC 1442",Chin SC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41949,Cleisostoma scortechinii,Cleisostoma,scortechinii,(Hook.f.) Garay,Species,Accepted,NA,623547-1,41949,0,15,"c(101.96667, 4.88333)",TRUE
106738,GBIF_9947,Cleisostoma saccatum,18.83333,98.88333,2513827156,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,Seidenf. & Garay,"Thailand, Province: Chiang Mai, District: Muang, Doi Come, southern tip of Doi Sutep, Mae Heeyah Subdistrict.",NA,TH,NA,9,1988,PRESERVED_SPECIMEN,NA,Botany,L.1528274,"Maxwell, JF 88- 1072",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,528798,Cleisostoma saccatum,Cleisostoma,saccatum,(Seidenf. & Garay) R.Rice,Species,Accepted,NA,77187775-1,528798,9,16,"c(98.88333, 18.83333)",TRUE
107390,GBIF_10617,Cleisostoma firmulum,-8.88333,147.73333,2513787153,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,Rchb.f.,Kokoda.,NA,PG,NA,3,1936,PRESERVED_SPECIMEN,NA,Botany,L.1489946,"Carr, CE 17054",Carr CE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41844,Cleisostoma firmulum,Cleisostoma,firmulum,Rchb.f.,Species,Accepted,NA,623454-1,41844,0,7,"c(147.73333, -8.88333)",TRUE
107391,GBIF_10618,Cleisostoma firmulum,-6.53333,147.83333,2513789029,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,Rchb.f.,"Buang Tack above Gabensis, Morobe.",NA,PG,NA,5,1955,PRESERVED_SPECIMEN,NA,Botany,L.1489948,"Floyd, AG NGF 7305",Floyd AG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41844,Cleisostoma firmulum,Cleisostoma,firmulum,Rchb.f.,Species,Accepted,NA,623454-1,41844,0,7,"c(147.83333, -6.53333)",TRUE
107977,GBIF_11227,Cleisostoma filiforme,18.91667,98.91667,2513243866,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Lindl.) Garay,"Thailand, Province: Chiang Mai, District: Mae Rim, Doi Sutep-Pui National Park, north side, Mae Sa Elephant Camp, along Mae Sa River.",NA,TH,NA,5,1990,PRESERVED_SPECIMEN,NA,Botany,L  0540306,"Maxwell, JF 90- 538",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41843,Cleisostoma filiforme,Cleisostoma,filiforme,(Lindl.) Garay,Species,Accepted,NA,623453-1,41843,0,14,"c(98.91667, 18.91667)",TRUE
114187,GBIF_18384,Cleisostoma racemiferum,22.753063,100.893393,2239565130,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Lindl.) Garay,Szemao [Simao],NA,CN,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,04027098,13080,A. Henry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41931,Cleisostoma racemiferum,Cleisostoma,racemiferum,(Lindl.) Garay,Species,Accepted,NA,623531-1,41931,0,14,"c(100.893393, 22.753063)",TRUE
114315,GBIF_18512,Cleisostoma filiforme,19.506586,109.399889,2239545663,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Lindl.) Garay,"Tiu Lung Shan, Taam-chau District",NA,CN,NA,1,1927,PRESERVED_SPECIMEN,NY,NY,04027106,818,W. T. Tsang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41843,Cleisostoma filiforme,Cleisostoma,filiforme,(Lindl.) Garay,Species,Accepted,NA,623453-1,41843,0,14,"c(109.399889, 19.506586)",TRUE
114949,GBIF_19164,Cleisostoma simondii,18.762944,109.663094,2239577769,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Gagnep.) Seidenf.,Dung Ka,NA,CN,NA,11,1932,PRESERVED_SPECIMEN,NY,NY,04027102,44273,N. K. Chun,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41956,Cleisostoma simondii,Cleisostoma,simondii,(Gagnep.) Seidenf.,Species,Accepted,NA,623553-1,41956,0,18,"c(109.663094, 18.762944)",TRUE
115197,GBIF_19422,Cleisostoma williamsonii,19.472911,109.740407,2239554206,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Rchb.f.) Garay,Pak Shik Ling and vicinity. Ku Tung Village (Ching Mai District),NA,CN,NA,7,1933,PRESERVED_SPECIMEN,NY,NY,4027131,809,C. I. Lei,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41995,Cleisostoma williamsonii,Cleisostoma,williamsonii,(Rchb.f.) Garay,Species,Accepted,NA,623589-1,41995,0,15,"c(109.740407, 19.472911)",TRUE
115363,GBIF_19589,Cleisostoma rostratum,18.75015,109.620869,2239565301,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,Seidenf. ex Aver.,Dung Ka to Wen Fa Shi,NA,CN,NA,8,1932,PRESERVED_SPECIMEN,NY,NY,4027114,43653,N. K. Chun,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41941,Cleisostoma rostratum,Cleisostoma,rostratum,(Lindl.) Garay,Species,Accepted,NA,623540-1,41941,14,1,"c(109.620869, 18.75015)",TRUE
122369,GBIF_43647,Cleisostoma uraiense,11.18833,124.7825,2513202508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Hayata) Garay & H.R.Sweet,"Philippines, Island of Leyte, Jaro, Binahaan.",NA,PH,NA,9,1913,PRESERVED_SPECIMEN,NA,Botany,L  0360176,"Wenzel, CA Orchid 181",Wenzel CA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41987,Cleisostoma uraiense,Cleisostoma,uraiense,(Hayata) Garay & H.R.Sweet,Species,Accepted,NA,623581-1,41987,0,26,"c(124.7825, 11.18833)",TRUE
122401,GBIF_43685,Cleisostoma arietinum,13.5,99.25,2513308471,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleisostoma,SPECIES,(Rchb.f.) Garay,"Thailand, Utaithani Province, Huay Kah Kaeng Reserve, Bahn Rai District, near Kow Hin Dang station.",NA,TH,NA,4,1976,PRESERVED_SPECIMEN,NA,Botany,L  0801840,"Maxwell, JF 76- 266",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,41780,Cleisostoma arietinum,Cleisostoma,arietinum,(Rchb.f.) Garay,Species,Accepted,NA,623393-1,41780,0,15,"c(99.25, 13.5)",TRUE
