V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106800,GBIF_10012,Cleistes exilis,-12.86667,-41.31667,2517225210,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,Hoehne,Estado da Bahia. 10 km S. of Andaraí on the road to Mucugé.,NA,BR,NA,2,1977,PRESERVED_SPECIMEN,NA,Botany,U.1463340,"Harley, RM; et al. 18765",Harley RM; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42253,Cleistes exilis,Cleistes,exilis,Hoehne,Species,Accepted,NA,60132-2,42253,0,6,"c(-41.31667, -12.86667)",TRUE
111193,GBIF_15197,Cleistes libonii,-20.3025,-40.481944,4526413724,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,Angiospermas,Floresta na beira da estrada para a localidade de Alegre. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas,NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00521465,1870,C.N. Fraga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42268,Cleistes libonii,Cleistes,libonii,(Rchb.f.) Schltr.,Species,Accepted,NA,60147-2,42268,17,-1,"c(-40.481944, -20.3025)",TRUE
111276,GBIF_15286,Cleistes rosea,3.4,-61.43,4526421983,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,Angiospermas,"SEMA Ecological Reserve, Ilha de Maracá. At Santa Rosa.",NA,BR,NA,6,1987,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY1721081,M.367,W. Milliken;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42292,Cleistes rosea,Cleistes,rosea,Lindl.,Species,Accepted,NA,623642-1,42292,11,1,"c(-61.43, 3.4)",TRUE
111329,GBIF_15343,Cleistes parviflora,-0.795278,-66.023333,4526425655,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,Angiospermas,Trilha da Bacia do Gelo para o Pico. Parque Nacional do Pico da Neblina,NA,BR,NA,9,2012,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00770047,7145,"R.C. Forzza;G. Martinelli,D.P. Costa,M.A. Moraes,M.A.Nadruz,M.R. Blind",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42284,Cleistes parviflora,Cleistes,parviflora,Lindl.,Species,Accepted,NA,623635-1,42284,11,1,"c(-66.023333, -0.795278)",TRUE
113693,GBIF_17885,Cleistes paranaensis,-15.915556,-47.883611,4427184629,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,(Barb.Rodr.) Schltr.,"Estação Ecológica do Jardim Botânico de Brasília, Próximo a entrada da CAESB",NA,BR,0,1,2015,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026702,379,"Soares, ACA;Oliveira, MS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42283,Cleistes paranaensis,Cleistes,paranaensis,(Barb.Rodr.) Schltr.,Species,Accepted,NA,60154-2,42283,0,20,"c(-47.883611, -15.915556)",TRUE
113904,GBIF_18097,Cleistes paranaensis,-15.898611,-47.843889,4427180422,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,(Barb.Rodr.) Schltr.,"Estação Ecólogica Jardim Botânico de Brasília, Estrada indo para Campo de Murundus",NA,BR,0,2,2014,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026705,918,"Paiva, VF;Oliveira, MS,Sampaio, RC",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42283,Cleistes paranaensis,Cleistes,paranaensis,(Barb.Rodr.) Schltr.,Species,Accepted,NA,60154-2,42283,0,20,"c(-47.843889, -15.898611)",TRUE
113909,GBIF_18104,Cleistes rosea,-15.717222,-48.939444,3914981912,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,Lindl.,"Mosteiro Zen Horyu-Zan Eisho-Ji, Caminho para a Mata da Bacia",NA,BR,1152,2,2018,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00020813,2099,"Rosa, PO;Soares, ACA,Tinti, BV,Candido, DS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42292,Cleistes rosea,Cleistes,rosea,Lindl.,Species,Accepted,NA,623642-1,42292,0,6,"c(-48.939444, -15.717222)",TRUE
113910,GBIF_18105,Cleistes rosea,-15.713333,-48.952222,3914981918,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,Lindl.,"Mosteiro Zen Horyu-Zan Eisho-Ji, Caminho da nascente do Córrego Chapadão para 8ª cachoeira",NA,BR,1066,1,2018,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00020812,1719,"Chacon, RG;Rivaroli, GV,Tinti, BV",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42292,Cleistes rosea,Cleistes,rosea,Lindl.,Species,Accepted,NA,623642-1,42292,0,6,"c(-48.952222, -15.713333)",TRUE
114066,GBIF_18262,Cleistes rosea,-14.057222,-47.504722,4427184819,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,Lindl.,Chapada dos Veadeiros,NA,BR,723.5,2,2004,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00024441,3003,"Salles, AEH;Jesus, FPR de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42292,Cleistes rosea,Cleistes,rosea,Lindl.,Species,Accepted,NA,623642-1,42292,0,6,"c(-47.504722, -14.057222)",TRUE
114071,GBIF_18267,Cleistes paranaensis,-15.866667,-47.85,4427184872,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cleistes,SPECIES,(Barb.Rodr.) Schltr.,"Estação Ecológica do Jardim Botânico de Brasília, Campo de murundu",NA,BR,512.5,3,2006,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026704,4030,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42283,Cleistes paranaensis,Cleistes,paranaensis,(Barb.Rodr.) Schltr.,Species,Accepted,NA,60154-2,42283,0,20,"c(-47.85, -15.866667)",TRUE
