V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110156,GBIF_14028,Clematepistephium smilacifolium,-21.8841,166.39813,438451151,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,(Rchb.f.) N.Hallé,NA,NA,NC,NA,9,1869,PRESERVED_SPECIMEN,MNHN,P,P00121141,without-number,"Balansa, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,0,17,"c(166.39813, -21.8841)",TRUE
110885,GBIF_14849,Clematepistephium smilacifolium,-21.57528,165.88472,439447921,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,(Rchb.f.) N.Hallé,NA,NA,NC,950,4,1969,PRESERVED_SPECIMEN,MNHN,P,P00127935,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,0,17,"c(165.88472, -21.57528)",TRUE
129913,GBIF_54600,Clematepistephium smilacifolium,-21.641389,166.056389,1258801785,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,(Rchb. f.) N. Hallé,Mt. Nakada. Forested slopes along edge of niaouli savanna.,NA,NC,560,4,2001,PRESERVED_SPECIMEN,MO,Tropicos,1570919,18218,Gordon McPherson;Jérôme Munzinger,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,2,6,"c(166.056389, -21.641389)",TRUE
130176,GBIF_54871,Clematepistephium smilacifolium,-21.566667,165.7,1261395039,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,(Rchb. f.) N. Hallé,"Mé Ori: near Katrikoin, above Boghen River valley; forested slopes.",NA,NC,NA,12,1983,PRESERVED_SPECIMEN,MO,Tropicos,679499,6138,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,2,6,"c(165.7, -21.566667)",TRUE
144892,GBIF_71035,Clematepistephium smilacifolium,-21.516,165.649,4903558406,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,NA,NA,NA,NC,900,12,1983,PRESERVED_SPECIMEN,CHR,CHR,CHR 491944,without-number,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,16,1,"c(165.649, -21.516)",TRUE
170078,GBIF_111593,Clematepistephium smilacifolium,-21.491667,165.875,931114081,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,NA,Me Aiu,NA,NC,0,NA,1981,PRESERVED_SPECIMEN,Université de Strasbourg,CAL,CAL5764,without-number,Hoff M. - Releve Phytosociologique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,16,1,"c(165.875, -21.491667)",TRUE
170087,GBIF_111671,Clematepistephium smilacifolium,-20.816667,165.166667,931122824,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,NA,Inedete,NA,NC,0,NA,without-year,PRESERVED_SPECIMEN,Université de Strasbourg,CAL,CAL17791,without-number,Schmid M. - Releve Phytosociologique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,16,1,"c(165.166667, -20.816667)",TRUE
233117,GBIF_192601,Clematepistephium smilacifolium,-20.503611,164.714444,1259203157,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,(Rchb. f.) N. Hallé,"Mt. Colnett, forested eastern slopes. Collected with U. Swenson and A. Mouly.",NA,NC,1070,10,2003,PRESERVED_SPECIMEN,MO,Tropicos,1939620,19090,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,2,6,"c(164.714444, -20.503611)",TRUE
250886,GBIF_215625,Clematepistephium smilacifolium,-21.01528,165.25167,437784774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,(Rchb.f.) N.Hallé,NA,NA,NC,190,11,2002,PRESERVED_SPECIMEN,MNHN,P,P00354521,without-number,"Munzinger, J.K.;Tronchet, F.;Létocart, D.& I.;Oddi, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,0,17,"c(165.25167, -21.01528)",TRUE
250938,GBIF_215680,Clematepistephium smilacifolium,-20.33992,164.49568,439151190,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Clematepistephium,SPECIES,(Rchb.f.) N.Hallé,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,MNHN,P,P00121145,without-number,"Vieillard, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,42344,Clematepistephium smilacifolium,Clematepistephium,smilacifolium,(Rchb.f.) N.Hallé,Species,Accepted,NA,623654-1,42344,0,17,"c(164.49568, -20.33992)",TRUE
