V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129174,GBIF_53840,Coccineorchis standleyi,10.3,-84.8,1261368614,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,Ames,Reserva Monteverde. Lower montane rainforest.,NA,CR,1625,12,1989,PRESERVED_SPECIMEN,MO,Tropicos,653234,4026,Wayne Morris;John T. Atwood,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,8,4,"c(-84.8, 10.3)",TRUE
129229,GBIF_53895,Coccineorchis cristata,8.636667,-80.129444,1261375406,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,"Szlach., Rutk. & Mytnik","Divide SW of La Mesa at end of logging road. [Coordinates on original label: 80º5'W, 8º35'N]",NA,PA,900,12,1982,PRESERVED_SPECIMEN,MO,Tropicos,660254,986,Bruce A. Stein;Clem W. Hamilton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,331588,Coccineorchis cristata,Coccineorchis,cristata,"Szlach., Rutk. & Mytnik",Species,Accepted,NA,77063796-1,331588,0,23,"c(-80.129444, 8.636667)",TRUE
129336,GBIF_54008,Coccineorchis cernua,8.92,-82.72,1261387459,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Lindl.) Garay,"Las Mellizas. Siguiendo línea divisoria entre Costa Rica y Panamá, entre Cerro Nubes y Cerro Pando, Hito Geográfico 340, camino de la Sierra.",NA,CR,2465,8,1989,PRESERVED_SPECIMEN,MO,Tropicos,672215,3419,Gerardo Herrera Ch.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,44269,Coccineorchis cernua,Coccineorchis,cernua,(Lindl.) Garay,Species,Accepted,NA,61935-2,44269,0,14,"c(-82.72, 8.92)",TRUE
129362,GBIF_54035,Coccineorchis bracteosa,10.25,-84.09,1261391417,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,"Forest between Río Peje and Río Sardinal, Atlantic slope of Volcán Barva. 10º15.5'N 84º05'W 1300-1500 m",NA,CR,1400,11,1986,PRESERVED_SPECIMEN,MO,Tropicos,676031,7766,Michael H. Grayum;Chris H. Haufler;Marco C. Roos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44268,Coccineorchis bracteosa,Coccineorchis,bracteosa,(Ames & C.Schweinf.) Garay,Species,Accepted,NA,61934-2,44268,1,16,"c(-84.09, 10.25)",TRUE
129528,GBIF_54203,Coccineorchis cernua,-0.6,-77.63333,1258359092,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,Lindl.,Sumaco Napo-Galeras National Park. Sumaco Mountain. Collections made between summit crater and high camp. Montane rain forest.,NA,EC,2600,3,1996,PRESERVED_SPECIMEN,MO,Tropicos,1146686,2253,John L. Clark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44269,Coccineorchis cernua,Coccineorchis,cernua,(Lindl.) Garay,Species,Accepted,NA,61935-2,44269,8,6,"c(-77.63333, -0.6)",TRUE
136507,GBIF_61995,Coccineorchis cernua,2.49474,-76.5563,1576158045,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Lindl.) Garay,"Cordillera Oriental; Toquiza, Gazaunta Valley, Cordillera de Helicona, 15 km NW of Medina.",NA,CO,2435,9,1944,PRESERVED_SPECIMEN,USF,Herb,25677,10265,M. L. Grant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,44269,Coccineorchis cernua,Coccineorchis,cernua,(Lindl.) Garay,Species,Accepted,NA,61935-2,44269,0,14,"c(-76.5563, 2.49474)",TRUE
161189,GBIF_101340,Coccineorchis standleyi,9.364444,-83.218333,1253833273,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,Cerro La Nevera.,NA,CR,2130,2,2007,PRESERVED_SPECIMEN,INBio,Plantae,4076697,without-number,Daniel Santamaría; A. K. Monro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,15,7,"c(-83.218333, 9.364444)",TRUE
161297,GBIF_101456,Coccineorchis standleyi,9.884444,-83.984167,1253897165,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,"Z. P. Cerros de La Carpintera, entre la cima de los cerros más altos.",NA,CR,1800,12,2008,PRESERVED_SPECIMEN,INBio,Plantae,4244816,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,15,7,"c(-83.984167, 9.884444)",TRUE
161369,GBIF_101528,Coccineorchis bracteosa,10.177778,-84.116667,1253595944,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,Park Refugio at 2050 m about 300 m NW of Refugio.,NA,CR,2100,11,1990,PRESERVED_SPECIMEN,INBio,Plantae,1554402,without-number,Stephen Ingram,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44268,Coccineorchis bracteosa,Coccineorchis,bracteosa,(Ames & C.Schweinf.) Garay,Species,Accepted,NA,61934-2,44268,1,16,"c(-84.116667, 10.177778)",TRUE
161401,GBIF_101561,Coccineorchis standleyi,10.611111,-84.995833,1253605665,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,Tierras Morenas; Rio San Lorenzo.,NA,CR,1050,12,1992,PRESERVED_SPECIMEN,INBio,Plantae,1564942,without-number,Gladys Rodriguez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,15,7,"c(-84.995833, 10.611111)",TRUE
161479,GBIF_101642,Coccineorchis bracteosa,10.3,-84.733333,1253617140,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,"Rio Penas Blancas, Manuel Rojas Finca.",NA,CR,850,11,1989,PRESERVED_SPECIMEN,INBio,Plantae,1577533,without-number,Erick Bello,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44268,Coccineorchis bracteosa,Coccineorchis,bracteosa,(Ames & C.Schweinf.) Garay,Species,Accepted,NA,61934-2,44268,1,16,"c(-84.733333, 10.3)",TRUE
161542,GBIF_101708,Coccineorchis standleyi,10.928889,-85.466944,1253626979,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,"Estacion Cacao, Sendero a Cerro Cacao.",NA,CR,1600,2,1995,PRESERVED_SPECIMEN,INBio,Plantae,1593616,without-number,Alejandro Azofeifa Zúñiga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,15,7,"c(-85.466944, 10.928889)",TRUE
161659,GBIF_101826,Coccineorchis standleyi,10.266667,-84.766667,1253712566,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,Division entre Ojo de Agua y Rio Peñas Blancas. Finca Rigo.,NA,CR,1600,11,1987,PRESERVED_SPECIMEN,INBio,Plantae,2916661,without-number,William Haber,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,15,7,"c(-84.766667, 10.266667)",TRUE
161758,GBIF_101931,Coccineorchis bracteosa,9.142045,-83.068919,1253750294,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,Puesto Tres Colinas Send. Casa Tipo A,NA,CR,2199,11,2000,PRESERVED_SPECIMEN,INBio,Plantae,3474805,without-number,Luis González; Alfonso Garita,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44268,Coccineorchis bracteosa,Coccineorchis,bracteosa,(Ames & C.Schweinf.) Garay,Species,Accepted,NA,61934-2,44268,1,16,"c(-83.068919, 9.142045)",TRUE
161896,GBIF_102103,Coccineorchis standleyi,9.767726,-83.902923,1253842801,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,"Tapantí, Muñeco.",NA,CR,1650,12,2006,PRESERVED_SPECIMEN,INBio,Plantae,4096048,without-number,Daniel Solano; Joaquín Sánchez González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,15,7,"c(-83.902923, 9.767726)",TRUE
161923,GBIF_102141,Coccineorchis bracteosa,9.146373,-83.074213,1253870036,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,Sector Tres Colinas. Pto 14.,NA,CR,2250,2,2008,PRESERVED_SPECIMEN,INBio,Plantae,4149968,without-number,Nelson A. Zamora Villalobos; William Gamboa ; Hugo Solano Arias ; Carlos Godínez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44268,Coccineorchis bracteosa,Coccineorchis,bracteosa,(Ames & C.Schweinf.) Garay,Species,Accepted,NA,61934-2,44268,1,16,"c(-83.074213, 9.146373)",TRUE
161955,GBIF_102180,Coccineorchis standleyi,10.695154,-85.027602,1253895249,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Ames & C. Schweinf.) Garay,Punto 4: Cerro Montezuma.,NA,CR,1400,1,2010,PRESERVED_SPECIMEN,INBio,Plantae,4237609,without-number,Daniel Solano; Jose Antonio Azofeifa Zuñiga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44272,Coccineorchis standleyi,Coccineorchis,standleyi,(Ames) Garay,Species,Accepted,NA,61938-2,44272,15,7,"c(-85.027602, 10.695154)",TRUE
173974,GBIF_117233,Coccineorchis cernua,-10.4375,-75.453056,4061584525,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Lindl.) Garay,"Dist. Huancabamba. Parque Nacional Yanachaga-Chemillén, sector San Daniel.",NA,PE,2192,2,2008,PRESERVED_SPECIMEN,HOXA,Tropicos,102656833,33667,Rodolfo Vásquez;Abel Monteagudo;A. Peña Cruz;J. Mateo M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,44269,Coccineorchis cernua,Coccineorchis,cernua,(Lindl.) Garay,Species,Accepted,NA,61935-2,44269,0,14,"c(-75.453056, -10.4375)",TRUE
175064,GBIF_118383,Coccineorchis cernua,-12.89694,-72.75055,1260092437,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coccineorchis,SPECIES,(Lindl.) Garay,"Dist. Santa Ana, Madre Selva. Bosque Húmedo Primario.",NA,PE,2750,3,2004,PRESERVED_SPECIMEN,CUZ,Tropicos,2746745,3068,Luis Valenzuela G.;E. Suclli;Gloria Calatayud,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,44269,Coccineorchis cernua,Coccineorchis,cernua,(Lindl.) Garay,Species,Accepted,NA,61935-2,44269,0,14,"c(-72.75055, -12.89694)",TRUE
