V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104536,GBIF_806,Coelia macrostachya,19.336861,-97.025833,1897491038,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,"Lindl., 1842",Cosautlán,NA,MX,601,4,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44849,Coelia macrostachya,Coelia,macrostachya,Lindl.,Species,Accepted,NA,623714-1,44849,6,6,"c(-97.025833, 19.336861)",TRUE
129539,GBIF_54214,Coelia densiflora,14.533333,-88.666667,1258379905,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,Rolfe,Parque Nacional de Celaque. Bosque secundario de cinco años de edad. Cerca de el Campamento de Don Tómas.,NA,HN,1900,5,1991,PRESERVED_SPECIMEN,MO,Tropicos,1165586,1015A,Paul R. House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,44847,Coelia densiflora,Coelia,densiflora,Rolfe,Species,Accepted,NA,62699-2,44847,0,5,"c(-88.666667, 14.533333)",TRUE
130054,GBIF_54745,Coelia triptera,16.815833,-95.406944,1259334191,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,(Sm.) G. Don ex Steud.,"Mun. Guevea de Humboldt. Recorrido hacia el Cerro de la Peña Blanca, al SO de la Cumbrela cual esta a 13.5 km. al N de G. de Humboldt. Bosque mesófilo de montaña alterado.",NA,MX,705,3,1991,PRESERVED_SPECIMEN,MO,Tropicos,2058764,3600,Alvaro Campos V.;Rafael Torres C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44850,Coelia triptera,Coelia,triptera,(Sm.) Mutel,Species,Accepted,NA,60466347-2,44850,14,6,"c(-95.406944, 16.815833)",TRUE
138771,GBIF_64330,Coelia macrostachya,18.194,-96.9596,1576151289,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,(Lindl.) L. O. Williams,And Chiapas.,NA,MX,NA,12,1953,PRESERVED_SPECIMEN,USF,Herb,28773,g-50,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44849,Coelia macrostachya,Coelia,macrostachya,Lindl.,Species,Accepted,NA,623714-1,44849,17,5,"c(-96.9596, 18.194)",TRUE
139199,GBIF_64777,Coelia bella,15.0626,-86.4217,4399479446,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,"(Lem.) Rchb. f., 1861",La Muralla,NA,HN,0,10,1996,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,R.L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44846,Coelia bella,Coelia,bella,(Lem.) Rchb.f.,Species,Accepted,NA,623709-1,44846,7,12,"c(-86.4217, 15.0626)",TRUE
139832,GBIF_65478,Coelia macrostachya,13.57,-87.06,4399480753,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,"Lindl., 1842",Santa Elena,NA,HN,0,9,1996,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Linares, J.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44849,Coelia macrostachya,Coelia,macrostachya,Lindl.,Species,Accepted,NA,623714-1,44849,6,6,"c(-87.06, 13.57)",TRUE
141971,GBIF_67761,Coelia bella,16.950231,-91.602061,1895345507,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,"(Lem.) Rchb. f., 1861","Laguna Ocotalito, 12 Km al N de Monte Líbano camino a Chancala",NA,MX,490,2,1986,PRESERVED_SPECIMEN,CNS-UT,TEX,00279260,without-number,E. M. Martínez S.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44846,Coelia bella,Coelia,bella,(Lem.) Rchb.f.,Species,Accepted,NA,623709-1,44846,7,12,"c(-91.602061, 16.950231)",TRUE
142544,GBIF_68383,Coelia macrostachya,16.566667,-94.166667,1895425057,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,"Lindl., 1842","Cerro Baúl, filo S un poco al S de la cima, ca 23 Km an línea recta al N de San Pedro Tapanatepec",NA,MX,965,7,1985,PRESERVED_SPECIMEN,CNS-UT,TEX,00279262,without-number,T. L. Wendt; S. Maya J.; M. Ishiki I.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44849,Coelia macrostachya,Coelia,macrostachya,Lindl.,Species,Accepted,NA,623714-1,44849,6,6,"c(-94.166667, 16.566667)",TRUE
142581,GBIF_68424,Coelia macrostachya,16.8267865,-92.2485935,1895425118,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,"Lindl., 1842","A 15 Km al N de Oxchuc, sobre la carr San Cristóbal de las Casas-Ocosingo",NA,MX,0,11,1982,PRESERVED_SPECIMEN,CNS-UT,TEX,00279261,without-number,E. Cabrera C.; H. de Cabrera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44849,Coelia macrostachya,Coelia,macrostachya,Lindl.,Species,Accepted,NA,623714-1,44849,6,6,"c(-92.2485935, 16.8267865)",TRUE
162588,GBIF_102839,Coelia macrostachya,19.47,-97.019722,2629721076,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coelia,SPECIES,"(Lindl.) L.O. Williams, 1940","Abajo de Cuesta del Pino, camino a Coatepec",NA,MX,NA,8,1986,PRESERVED_SPECIMEN,INECOL,XAL,V109965,without-number,M. Cházaro B.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,44849,Coelia macrostachya,Coelia,macrostachya,Lindl.,Species,Accepted,NA,623714-1,44849,22,5,"c(-97.019722, 19.47)",TRUE
