V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114448,GBIF_18649,Coenoemersa limosa,25.07,-105.8,2542521213,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,(Lindl.) Hemsl.,"Sierra Madre Occidental, about 20 air km. WNW Santiago Papasquiaro, 3.3 mi. by Topia Rd N. of crest of sierra from jct. with rd. to antenna.",NA,MX,NA,8,1983,PRESERVED_SPECIMEN,NY,NY,4094236,644,R. C. Díaz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,21,9,"c(-105.8, 25.07)",TRUE
114745,GBIF_18951,Coenoemersa limosa,32.903323,-108.212097,2382933933,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,Lindl.,"Gila N. F., Pinos Altos Mts., S-facing side slope of Little Cherry Creek 1.5 mi up-stream from Hwy 15",NA,US,NA,9,1987,PRESERVED_SPECIMEN,NY,NY,4130183,203,M. G. Shelton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,26,4,"c(-108.212097, 32.903323)",TRUE
115043,GBIF_19262,Coenoemersa limosa,17.56084,-100.274705,2542570046,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,(Lindl.) Hemsl.,Mina. Toro Muerto.,NA,MX,NA,7,1939,PRESERVED_SPECIMEN,NY,NY,4094246,14507,G. B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,21,9,"c(-100.274705, 17.56084)",TRUE
127964,GBIF_52589,Coenoemersa limosa,19.5,-103.5,2425443051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,Lindley,"Volcán """"""""Nevado"""""""" of Colima, eastern slopes, 25 km West of Cuidad Guzman.",NA,MX,NA,9,1934,PRESERVED_SPECIMEN,AMES,AMES,barcode-01948230,3903,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,26,4,"c(-103.5, 19.5)",TRUE
128104,GBIF_52732,Coenoemersa limosa,16.1,-96.5,2425410662,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,Lindley,"Near San José el Pacifico, south of Miahuatlan.",NA,MX,NA,10,1936,PRESERVED_SPECIMEN,GH,GH,barcode-01948241,6428,J. Gonzalez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,26,4,"c(-96.5, 16.1)",TRUE
128171,GBIF_52800,Coenoemersa limosa,19.6340431,-99.5533192,4168484064,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,"(Lindl.) Hemsl., 1883",C. de la Bufa.,NA,MX,1725,9,1954,PRESERVED_SPECIMEN,CECOY-INIFAP,INIF,35413,without-number,E. Matuda; Col.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,21,9,"c(-99.5533192, 19.6340431)",TRUE
130112,GBIF_54805,Coenoemersa limosa,26.46666,-105.6,1259355019,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,Lindl.,Near Guadalupe y Calvo.,NA,MX,2300,9,1936,PRESERVED_SPECIMEN,MO,Tropicos,2077385,6234,Juan González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,26,4,"c(-105.6, 26.46666)",TRUE
138524,GBIF_64072,Coenoemersa limosa,18.5072,-96.0074,1655987180,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,Lindl.,San Miguel.,NA,MX,NA,3,1936,PRESERVED_SPECIMEN,USF,Herb,199054,3963,"G. B. Hinton, et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,26,4,"c(-96.0074, 18.5072)",TRUE
139110,GBIF_64685,Coenoemersa limosa,29.6667,-108.1,1655987183,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,Lindl.,Cumbre-Gavia.,NA,MX,NA,1,1936,PRESERVED_SPECIMEN,USF,Herb,199056,3834,"G. B. Hinton, et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,26,4,"c(-108.1, 29.6667)",TRUE
142104,GBIF_67900,Coenoemersa limosa,23.8048611,-99.8992322,1895474824,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,"Lindl., 1840","Area of Cerro Peña Nevada, ca 12 Km NE of San Antonio Peña Nevada, 30 Km E of Dr Arroyo. N and NW slope of Mt known locally as Picacho Onofre, and ridges and valleys ca 5 Km to the NW of this peak",NA,MX,0,7,1977,PRESERVED_SPECIMEN,CNS-UT,LL,00190454,without-number,C. Wells; G. Nesom,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,25,6,"c(-99.8992322, 23.8048611)",TRUE
142130,GBIF_67927,Coenoemersa limosa,29,-102.6,1895505933,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coenoemersa,SPECIES,"(Lindl.) Hemsl., 1883","Sa Maderas del Carmen, near Campo Tres, on ridge between camp and 'Hell's Kitchen' to the N; WSW facing slopes",NA,MX,1300,8,1974,PRESERVED_SPECIMEN,CNS-UT,TEX,00279752,without-number,T. L. Wendt; A. Adamcewicz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,489509,Coenoemersa limosa,Coenoemersa,limosa,(Lindl.) R.González & Lizb.Hern.,Species,Accepted,NA,77131553-1,489509,21,9,"c(-102.6, 29)",TRUE
