V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110183,GBIF_14056,Coilochilus neocaledonicum,-22.07361,166.44306,438908363,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,850,12,1962,PRESERVED_SPECIMEN,MNHN,P,P00127969,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.44306, -22.07361)",TRUE
110534,GBIF_14449,Coilochilus neocaledonicum,-21.46889,165.87889,437909127,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,500,8,1978,PRESERVED_SPECIMEN,MNHN,P,P00127962,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(165.87889, -21.46889)",TRUE
110561,GBIF_14476,Coilochilus neocaledonicum,-21.66623,166.24682,439116146,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,1100,12,2001,PRESERVED_SPECIMEN,MNHN,P,P00239722,without-number,"Munzinger, J.K.;Suprin, B.;Carriconde, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.24682, -21.66623)",TRUE
130563,GBIF_55269,Coilochilus neocaledonicum,-22.166667,166.533333,1258805148,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,"Monts Koghis; forested slopes along crest. Forested slopes of Mts. Koghis, ca 12 air-km N of Noumea.",NA,NC,900,10,1979,PRESERVED_SPECIMEN,MO,Tropicos,1574033,1980,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.533333, -22.166667)",TRUE
250968,GBIF_215712,Coilochilus neocaledonicum,-22.15611,166.89944,438574863,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,250,7,1983,PRESERVED_SPECIMEN,MNHN,P,P00127956,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.89944, -22.15611)",TRUE
251307,GBIF_216080,Coilochilus neocaledonicum,-21.9,166.383333,4072707869,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,NA,Mont Vulcain - Mont Humboldt,NA,NC,NA,12,1977,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000032807790,5978,Bamps P.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,7,-1,"c(166.383333, -21.9)",TRUE
251612,GBIF_216441,Coilochilus neocaledonicum,-22.3075,166.90889,438908364,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,400,12,1980,PRESERVED_SPECIMEN,MNHN,P,P00127973,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.90889, -22.3075)",TRUE
326869,GBIF_337162,Coilochilus neocaledonicum,-21.95833,166.52861,438908197,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,1400,12,1976,PRESERVED_SPECIMEN,MNHN,P,P00121149,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.52861, -21.95833)",TRUE
326986,GBIF_337325,Coilochilus neocaledonicum,-20.96222,165.14056,439241836,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,930,5,1968,PRESERVED_SPECIMEN,MNHN,P,P00127967,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(165.14056, -20.96222)",TRUE
344417,GBIF_363869,Coilochilus neocaledonicum,-21.505,165.5758,1056902319,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000095489,397,Jean Armand Isidore Pancher,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(165.5758, -21.505)",TRUE
364833,GBIF_394714,Coilochilus neocaledonicum,-22.133333,166.583333,1258805236,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,Montagne des Sources; forested slopes.,NA,NC,850,11,1979,PRESERVED_SPECIMEN,MO,Tropicos,1574124,2045,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.583333, -22.133333)",TRUE
373654,GBIF_409247,Coilochilus neocaledonicum,-21.90222,166.42611,437243620,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,1400,12,1973,PRESERVED_SPECIMEN,MNHN,P,P00127966,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.42611, -21.90222)",TRUE
374227,GBIF_410042,Coilochilus neocaledonicum,-22.1575,166.59056,437243619,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,500,1,1965,PRESERVED_SPECIMEN,MNHN,P,P00127965,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.59056, -22.1575)",TRUE
411197,GBIF_468828,Coilochilus neocaledonicum,-22.06556,166.34222,437243618,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,1150,5,1979,PRESERVED_SPECIMEN,MNHN,P,P00127959,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.34222, -22.06556)",TRUE
413293,GBIF_471361,Coilochilus neocaledonicum,-20.891389,165.013333,1258939577,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,"Massif du Tchingou, face est. Forêt à mousses.",NA,NC,1070,3,2001,PRESERVED_SPECIMEN,MO,Tropicos,1699116,599,Jérôme Munzinger;Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(165.013333, -20.891389)",TRUE
451043,GBIF_520260,Coilochilus neocaledonicum,-21.70694,166.22194,439241837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,1150,1,1981,PRESERVED_SPECIMEN,MNHN,P,P00127972,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.22194, -21.70694)",TRUE
455986,GBIF_526153,Coilochilus neocaledonicum,-22.0675,166.44417,439574970,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,900,11,1975,PRESERVED_SPECIMEN,MNHN,P,P00127964,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.44417, -22.0675)",TRUE
456276,GBIF_526614,Coilochilus neocaledonicum,-21.96111,166.53833,437578837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,NA,11,2002,PRESERVED_SPECIMEN,MNHN,P,P00354283,without-number,"Munzinger, J.K.;Tronchet, F.;Le Borgne, T.;Oddi, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.53833, -21.96111)",TRUE
466920,GBIF_541878,Coilochilus neocaledonicum,-22.13611,166.60306,438241969,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,800,3,1955,PRESERVED_SPECIMEN,MNHN,P,P00127955,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.60306, -22.13611)",TRUE
483668,GBIF_567358,Coilochilus neocaledonicum,-20.89394,165.01092,437577306,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,1070,3,2001,PRESERVED_SPECIMEN,MNHN,P,P00217132,without-number,"Munzinger, J.K.;McPherson, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(165.01092, -20.89394)",TRUE
582731,GBIF_725733,Coilochilus neocaledonicum,-22.27139,166.87639,439574969,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,NA,NA,NC,250,12,1986,PRESERVED_SPECIMEN,MNHN,P,P00127957,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.87639, -22.27139)",TRUE
615565,GBIF_771907,Coilochilus neocaledonicum,-21.96472,166.51,1212580511,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Coilochilus,SPECIES,Schltr.,"Massif du Kouakoué, bassin de la Haute Ni",NA,NC,NA,5,2004,PRESERVED_SPECIMEN,MNHN,P,P02288376,without-number,"Pignal, M.;Munzinger, J.;Lowry, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,45797,Coilochilus neocaledonicum,Coilochilus,neocaledonicum,Schltr.,Species,Accepted,NA,624117-1,45797,0,7,"c(166.51, -21.96472)",TRUE
