V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
125194,GBIF_46651,Collabium chinense,18.626309,109.700342,1303967763,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,白马岭山腰,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,010cf2db-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46174,Collabium chinense,Collabium,chinense,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,624139-1,46174,23,-1,"c(109.700342, 18.626309)",TRUE
125601,GBIF_47133,Collabium formosanum,24.392902,106.633387,1303967305,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,玉洪乡，青龙山,NA,CN,NA,NA,1937,PRESERVED_SPECIMEN,IBSC,NA,010fa108-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(106.633387, 24.392902)",TRUE
125942,GBIF_47652,Collabium chinense,18.626309,109.700342,1303967811,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,牛角岭,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,IBSC,NA,010cf261-b6c0-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46174,Collabium chinense,Collabium,chinense,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,624139-1,46174,23,-1,"c(109.700342, 18.626309)",TRUE
126206,GBIF_48135,Collabium chinense,24.186045,113.415062,1303967480,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,大镇温塘山,NA,CN,NA,NA,1930,PRESERVED_SPECIMEN,IBSC,NA,010e7daa-b6c0-11e1-8c2f-acd112e444a7,without-number,左景烈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46174,Collabium chinense,Collabium,chinense,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,624139-1,46174,23,-1,"c(113.415062, 24.186045)",TRUE
126213,GBIF_48149,Collabium chinense,24.186045,113.415062,1303967741,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,温塘山石字园,NA,CN,NA,NA,1931,PRESERVED_SPECIMEN,IBSC,NA,010cf3cc-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46174,Collabium chinense,Collabium,chinense,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,624139-1,46174,23,-1,"c(113.415062, 24.186045)",TRUE
126457,GBIF_48650,Collabium chinense,24.33566,116.625881,1303967707,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,大帽山,NA,CN,NA,NA,1932,PRESERVED_SPECIMEN,IBSC,NA,010cecef-b6c0-11e1-8c2f-acd112e444a7,without-number,曾怀德,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46174,Collabium chinense,Collabium,chinense,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,624139-1,46174,23,-1,"c(116.625881, 24.33566)",TRUE
126874,GBIF_49640,Collabium chinense,24.186045,113.415062,1303967755,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,温塘山,NA,CN,NA,NA,1931,PRESERVED_SPECIMEN,IBSC,NA,010cf35a-b6c0-11e1-8c2f-acd112e444a7,without-number,陈焕镛,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46174,Collabium chinense,Collabium,chinense,(Rolfe) Tang & F.T.Wang,Species,Accepted,NA,624139-1,46174,23,-1,"c(113.415062, 24.186045)",TRUE
127291,GBIF_51011,Collabium formosanum,23.437468,104.672252,1304084136,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,法斗,NA,CN,NA,NA,1947,PRESERVED_SPECIMEN,KUN,NA,ec73c3cc-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(104.672252, 23.437468)",TRUE
127383,GBIF_51261,Collabium formosanum,25.897942,111.009947,1303972692,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,宝顶乾江,NA,CN,NA,NA,1937,PRESERVED_SPECIMEN,IBSC,NA,00eefe2e-b6c0-11e1-8c2f-acd112e444a7,without-number,钟济新,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(111.009947, 25.897942)",TRUE
134559,GBIF_59827,Collabium bicameratum,1.86667,116.18333,2513202453,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,J.J.Sm.,"Archipel Ind. N.O. Borneo, N. Koetan, bij ? Kemoel",NA,ID,NA,10,1925,PRESERVED_SPECIMEN,NA,Botany,L  0360179,"Endert, FH 4351",Endert FH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46171,Collabium bicameratum,Collabium,bicameratum,(J.J.Sm.) J.J.Wood,Species,Accepted,NA,981342-1,46171,11,6,"c(116.18333, 1.86667)",TRUE
148204,GBIF_78906,Collabium formosanum,22.98,103.68,4045467817,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,NA,NA,CN,NA,NA,1953,PRESERVED_SPECIMEN,KUN,NA,0019951,without-number,毛品一,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(103.68, 22.98)",TRUE
149384,GBIF_80623,Collabium formosanum,24.78,113.27,4044101305,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,NA,NA,CN,NA,NA,1973,PRESERVED_SPECIMEN,IBSC,NA,0625370,without-number,粤73,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(113.27, 24.78)",TRUE
170282,GBIF_112197,Collabium formosanum,25.07,109.25,4043503694,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,NA,NA,CN,NA,NA,1958,PRESERVED_SPECIMEN,KUN,NA,0019959,without-number,陈少卿,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(109.25, 25.07)",TRUE
170756,GBIF_112901,Collabium formosanum,25.8,110,4045318540,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,NA,NA,CN,NA,NA,1955,PRESERVED_SPECIMEN,IBSC,NA,0625363,without-number,广福林区调查队,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(110, 25.8)",TRUE
170893,GBIF_113132,Collabium formosanum,24.78,113.27,4045020984,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Collabium,SPECIES,NA,NA,NA,CN,NA,NA,1957,PRESERVED_SPECIMEN,IBSC,NA,0625373,without-number,刘煐光,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,46178,Collabium formosanum,Collabium,formosanum,Hayata,Species,Accepted,NA,624140-1,46178,6,-1,"c(113.27, 24.78)",TRUE
