V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
143415,GBIF_69286,Constantia cipoensis,-19.049444,-43.709444,1087183829,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,Porto & Brade,RPPN Brumas do Espinhaço e Ermo dos Gerais,NA,BR,1297,4,2012,PRESERVED_SPECIMEN,FPMZB,BHZB,8952,396,"Ferreira Junior, C.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46668,Constantia cipoensis,Constantia,cipoensis,Porto & Brade,Species,Accepted,NA,64451-2,46668,0,13,"c(-43.709444, -19.049444)",TRUE
143433,GBIF_69305,Constantia microscopica,-18.525278,-43.696667,4536511482,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,F.E.L.Miranda,Estrada para o Engenho da Bilia.,NA,BR,1094,1,2024,PRESERVED_SPECIMEN,FPMZB,BHZB,15425,2723,"Ferreira Junior,C.A; Ordones,J.;Otoni, T.;Brandão,L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46670,Constantia microscopica,Constantia,microscopica,F.E.L.Miranda,Species,Accepted,NA,301294-2,46670,0,13,"c(-43.696667, -18.525278)",TRUE
143439,GBIF_69311,Constantia cipoensis,-19.049444,-43.709444,1087183651,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,Porto & Brade,RPPN Brumas do Espinhaço e Ermo dos Gerais,NA,BR,1297,5,2012,PRESERVED_SPECIMEN,FPMZB,BHZB,8770,418,"Ferreira Junior, C.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46668,Constantia cipoensis,Constantia,cipoensis,Porto & Brade,Species,Accepted,NA,64451-2,46668,0,13,"c(-43.709444, -19.049444)",TRUE
198601,GBIF_146481,Constantia microscopica,-18.196389,-43.568056,4900642288,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,F.E.L.Miranda,"Campus da UFVJM, próximo ao Córrego Soberbo",NA,BR,NA,11,2017,PRESERVED_SPECIMEN,JBRJ,RB,RB01542371,8384,J.E.Q. Faria; T.J.O. Otoni; M.R.V. Zanatta; M. Kulmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46670,Constantia microscopica,Constantia,microscopica,F.E.L.Miranda,Species,Accepted,NA,301294-2,46670,0,13,"c(-43.568056, -18.196389)",TRUE
292063,GBIF_289707,Constantia microscopica,-16.55,-42.9,1089057483,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,F.E.L.Miranda,Trila da tropa,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,UNICAMP,UEC,107153,515,"Borba, EL; Felix, JM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46670,Constantia microscopica,Constantia,microscopica,F.E.L.Miranda,Species,Accepted,NA,301294-2,46670,0,13,"c(-42.9, -16.55)",TRUE
296903,GBIF_295366,Constantia microscopica,-18.418611,-43.171667,3108665332,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,F.E.L.Miranda,NA,NA,BR,1243,8,2020,PRESERVED_SPECIMEN,UFVJM,HDJF,7945,287,"Menezes, ELF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46670,Constantia microscopica,Constantia,microscopica,F.E.L.Miranda,Species,Accepted,NA,301294-2,46670,0,13,"c(-43.171667, -18.418611)",TRUE
296998,GBIF_295464,Constantia microscopica,-18.255278,-43.045555,3108665633,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,F.E.L.Miranda,Próximo ao cemitério.,NA,BR,1159,10,2020,PRESERVED_SPECIMEN,UFVJM,HDJF,8016,372,"Menezes, ELF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46670,Constantia microscopica,Constantia,microscopica,F.E.L.Miranda,Species,Accepted,NA,301294-2,46670,0,13,"c(-43.045555, -18.255278)",TRUE
385312,GBIF_424531,Constantia cristinae,-18.193333,-43.346389,1424271935,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,F.E.L.Miranda,Chapada do Couto.,NA,BR,1416,9,2007,PRESERVED_SPECIMEN,JBRJ,RB,RB00558238,902,"Mota,N.F.O.; Giorni,V,Pivari,M.O. & Marino F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46669,Constantia cristinae,Constantia,cristinae,F.E.L.Miranda,Species,Accepted,NA,300343-2,46669,0,13,"c(-43.346389, -18.193333)",TRUE
434535,GBIF_501538,Constantia cristinae,-18.193417,-43.346528,1087639515,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,F.E.L.Miranda,"Parque Estadual do Rio Preto, Chapada do Couto.",NA,BR,1416,9,2007,PRESERVED_SPECIMEN,UFMG,BHCB,111801,902,"Mota, NFO; et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46669,Constantia cristinae,Constantia,cristinae,F.E.L.Miranda,Species,Accepted,NA,300343-2,46669,0,13,"c(-43.346528, -18.193417)",TRUE
436759,GBIF_503826,Constantia cipoensis,-19.051111,-43.709722,1252588927,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Constantia,SPECIES,Porto & Brade,"Serra do Cipó, RPPNs Brumas do Espinhaço e Ermos dos Gerais.Próximo a sede, em direção a entrada da RPPN",NA,BR,1300,4,2014,PRESERVED_SPECIMEN,UFMG,BHCB,180196,3337,"Batista, JAN; Carvalho, BM de; Ferreira, C; Fernandes, FM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,46668,Constantia cipoensis,Constantia,cipoensis,Porto & Brade,Species,Accepted,NA,64451-2,46668,0,13,"c(-43.709722, -19.051111)",TRUE
