V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
140494,GBIF_66230,Corycium orobanchoides,-34.375,19.125,2469054586,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,NA,NA,NA,ZA,40,10,2008,PRESERVED_SPECIMEN,HER,NA,HER0001130,2425,"Burman, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47819,Corycium orobanchoides,Corycium,orobanchoides,(L.f.) Sw.,Species,Accepted,NA,624415-1,47819,10,-1,"c(19.125, -34.375)",TRUE
140517,GBIF_66253,Corycium excisum,-34.375,19.375,2469056080,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,NA,NA,NA,ZA,20,11,1995,PRESERVED_SPECIMEN,HER,NA,HER0001692,no,"Dunston, T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47812,Corycium excisum,Corycium,excisum,Lindl.,Species,Accepted,NA,624410-1,47812,6,-1,"c(19.375, -34.375)",TRUE
140657,GBIF_66395,Corycium bicolorum,-34.375,19.125,2469055627,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,NA,NA,NA,ZA,30,11,1980,PRESERVED_SPECIMEN,HER,NA,HER0001688,569,"Williams, S.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47806,Corycium bicolorum,Corycium,bicolorum,(Thunb.) Sw.,Species,Accepted,NA,624405-1,47806,12,-1,"c(19.125, -34.375)",TRUE
140692,GBIF_66430,Corycium excisum,-34.375,19.375,2469055256,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,NA,NA,NA,ZA,60,11,1986,PRESERVED_SPECIMEN,HER,NA,HER0001129,479,"Drewe, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47812,Corycium excisum,Corycium,excisum,Lindl.,Species,Accepted,NA,624410-1,47812,6,-1,"c(19.375, -34.375)",TRUE
146476,GBIF_76786,Corycium nigrescens,-28.99853,25.092539,1056082720,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,(Sond.) Schltr.,NA,NA,ZA,NA,2,1954,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046936,4540,Edmund (Ted) André Charles Louis Eloi Schelpe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47818,Corycium nigrescens,Corycium,nigrescens,Sond.,Species,Accepted,NA,624414-1,47818,10,4,"c(25.092539, -28.99853)",TRUE
155693,GBIF_87516,Corycium orobanchoides,-34.003914,18.532273,3865149553,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,Sw.,"CBS [Cape Bonae Spei, Cape of Good Hope]",NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,PH,NA,PH00596190,s.n.,Leitner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47819,Corycium orobanchoides,Corycium,orobanchoides,(L.f.) Sw.,Species,Accepted,NA,624415-1,47819,7,3,"c(18.532273, -34.003914)",TRUE
163841,GBIF_104210,Corycium excisum,-34.55,19.65,2515781173,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,(Lindl.) Schltr.,Terra Capensis Koude Rivier.,NA,ZA,NA,12,1896,PRESERVED_SPECIMEN,NA,Botany,WAG.1477067,"Schlechter, FRR 9625",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47812,Corycium excisum,Corycium,excisum,Lindl.,Species,Accepted,NA,624410-1,47812,10,4,"c(19.65, -34.55)",TRUE
167028,GBIF_107848,Corycium crispum,-33.558333,18.45,1988110324,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,NA,"Cape Region, just past Atlantis on Highway R307 to Mamre and Darling, about 1 km west of the main road into Atlantis, 7 km west of the junction with Highway R304.",NA,ZA,NA,10,2003,PRESERVED_SPECIMEN,BBM,UBC,V221554,5633,Helen Kennedy;Fred R. Ganders,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47809,Corycium crispum,Corycium,crispum,(Thunb.) Sw.,Species,Accepted,NA,624408-1,47809,12,-1,"c(18.45, -33.558333)",TRUE
197837,GBIF_145530,Corycium orobanchoides,-28.99853,25.092539,1056766707,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,(Sw.) Schltr.,NA,NA,ZA,NA,10,1954,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046939,9581,Terence Macleane Salter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47819,Corycium orobanchoides,Corycium,orobanchoides,(L.f.) Sw.,Species,Accepted,NA,624415-1,47819,8,4,"c(25.092539, -28.99853)",TRUE
212372,GBIF_165503,Corycium flanaganii,-30.731166,28.140666,2243151598,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Corycium,SPECIES,NA,Regio Eastern Cape Barkly East,NA,ZA,NA,12,2002,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000009350830,2466,Bytebier B.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,47813,Corycium flanaganii,Corycium,flanaganii,(Bolus) Kurzweil & H.P.Linder,Species,Accepted,NA,962497-1,47813,29,-1,"c(28.140666, -30.731166)",TRUE
