V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104430,GBIF_657,Cremastra appendiculata,27.5544,88.4517,1056573816,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,VARIETY,(D.Don) Makino,NA,NA,IN,NA,5,1913,PRESERVED_SPECIMEN,NHMUK,BOT,BM000526055,16/9.5.,Charles Carmichael Lacaita,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,0,14,"c(88.4517, 27.5544)",TRUE
125165,GBIF_46621,Cremastra appendiculata,24.780744,112.377423,1303832438,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,空,NA,CN,NA,NA,1931,PRESERVED_SPECIMEN,IBSC,NA,fbb3a4c6-b6bf-11e1-8c2f-acd112e444a7,without-number,N.K.Chun,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(112.377423, 24.780744)",TRUE
125291,GBIF_46756,Cremastra appendiculata,24.813781,113.184435,1303972686,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,帽峰,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,IBSC,NA,00ef0fa1-b6c0-11e1-8c2f-acd112e444a7,without-number,高锡朋,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(113.184435, 24.813781)",TRUE
127155,GBIF_50506,Cremastra appendiculata,25.670153,99.958012,1304084143,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,华家庄,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec73cad2-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(99.958012, 25.670153)",TRUE
127290,GBIF_51010,Cremastra appendiculata,26.56023,100.17643,1304084127,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,练坪马耳山,NA,CN,NA,NA,1929,PRESERVED_SPECIMEN,KUN,NA,ec73cb42-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(100.17643, 26.56023)",TRUE
127384,GBIF_51262,Cremastra appendiculata,24.780744,112.377423,1303972700,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,NA,NA,CN,NA,NA,1931,PRESERVED_SPECIMEN,IBSC,NA,00eeeab4-b6c0-11e1-8c2f-acd112e444a7,without-number,陈念劬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(112.377423, 24.780744)",TRUE
147563,GBIF_78063,Cremastra appendiculata,33.92,106.52,4043349271,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,NA,NA,CN,NA,NA,1974,PRESERVED_SPECIMEN,WNU,NA,2151C0001O00025211,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(106.52, 33.92)",TRUE
147972,GBIF_78567,Cremastra appendiculata,33.77,106.08,4044191758,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,NA,NA,CN,NA,NA,1972,PRESERVED_SPECIMEN,LZU,NA,2151C0001500117703,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(106.08, 33.77)",TRUE
185317,GBIF_130828,Cremastra appendiculata,23.765556,121.270833,3946791600,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,(D. Don) Makino,"Hualien Hsien, Wanjun Hsiang along Wanjung Forest Road, at road mileage sign 44km. Tawiwan Grid: 27762 E, 262911 N.",NA,TW,1630,4,1998,PRESERVED_SPECIMEN,MO,Tropicos,101313004,472,Yui-Ching Kao,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,1,11,"c(121.270833, 23.765556)",TRUE
204494,GBIF_156773,Cremastra appendiculata,23.483333,120.816667,1821785896,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cremastra,SPECIES,NA,Tzuchung,NA,TW,2200,1,2004,PRESERVED_SPECIMEN,TAIF,PLANT,195973,6858,Shih-Wen Chung,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48775,Cremastra appendiculata,Cremastra,appendiculata,(D.Don) Makino,Species,Accepted,NA,624633-1,48775,14,-1,"c(120.816667, 23.483333)",TRUE
