V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104075,GBIF_292,Crepidium maculatum,6.066667,116.5,1056909248,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,Marg.,Mt. Kinabalu; Penibukan; 4000-5000',NA,MY,1371.5,3,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000088067,33026,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,472159,Crepidium maculatum,Crepidium,maculatum,(Ridl.) Schuit. & J.J.Wood,Species,Accepted,NA,77117326-1,472159,25,1,"c(116.5, 6.066667)",TRUE
104383,GBIF_608,Crepidium punctatum,-0.54,114.2787,1056798972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Wood) Szlach.,NA,NA,ID,NA,2,1932,PRESERVED_SPECIMEN,NHMUK,BOT,BM000088060,s.n.,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48993,Crepidium punctatum,Crepidium,punctatum,(J.J.Wood) Szlach.,Species,Accepted,NA,988220-1,48993,0,18,"c(114.2787, -0.54)",TRUE
104384,GBIF_609,Crepidium taurinum,-21.505,165.5758,1057349263,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(Rchb.f.) Kuntze,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000088124,384,Jean Armand Isidore Pancher,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,49033,Crepidium taurinum,Crepidium,taurinum,(Rchb.f.) Szlach.,Species,Accepted,NA,988248-1,49033,7,10,"c(165.5758, -21.505)",TRUE
106561,GBIF_9759,Crepidium zippelii,-0.9576,135.9462,2513805554,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Sm.) Marg.,"Ridge near Paraai, Biak.",NA,ID,NA,7,1959,PRESERVED_SPECIMEN,NA,Botany,L.1506087,"Wilde, JJFE de 1183",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,49063,Crepidium zippelii,Crepidium,zippelii,(J.J.Sm.) Szlach.,Species,Accepted,NA,988270-1,49063,5,10,"c(135.9462, -0.9576)",TRUE
106562,GBIF_9760,Crepidium punctatum,5.13333,115.95,2513802867,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Wood) Szlach.,"Interior residency, Crocker Range, above Kalang Waterfall,, c. 10 km N of Tenom.",NA,MY,NA,10,1986,PRESERVED_SPECIMEN,NA,Botany,L.1506106,"Vogel, EF de; Huisman, J; Vermeulen, JJ; Welzen, PC van 8170",Vogel EF de; Huisman J; Vermeulen JJ; Welzen PC van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48993,Crepidium punctatum,Crepidium,punctatum,(J.J.Wood) Szlach.,Species,Accepted,NA,988220-1,48993,0,18,"c(115.95, 5.13333)",TRUE
106563,GBIF_9761,Crepidium purpureonervosum,-7.75,113.68333,2513804060,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Sm.) Szlach.,Poeger- watangan.,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1506108,"Koorders, SH 20750 ß",Koorders SH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48995,Crepidium purpureonervosum,Crepidium,purpureonervosum,(J.J.Sm.) Szlach.,Species,Accepted,NA,988221-1,48995,0,17,"c(113.68333, -7.75)",TRUE
106564,GBIF_9762,Crepidium maculatum,6.08333,116.54583,2513803073,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,Marg. & Szlach.,"Upper Kinabalu. Penibukan, N. of Pinokkok falls.",NA,MY,NA,10,1933,PRESERVED_SPECIMEN,NA,Botany,L.1506148,"Clemens, J; Clemens, MS 40926",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,472159,Crepidium maculatum,Crepidium,maculatum,(Ridl.) Schuit. & J.J.Wood,Species,Accepted,NA,77117326-1,472159,22,4,"c(116.54583, 6.08333)",TRUE
106668,GBIF_9874,Crepidium graciliscapum,5.86667,116.51667,2513816474,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Sm.) J.J.Wood,Tenompok.,NA,MY,NA,8,1931,PRESERVED_SPECIMEN,NA,Botany,L.1517928,"Clemens, J; Clemens, MS 26411",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48885,Crepidium graciliscapum,Crepidium,graciliscapum,(Ames & C.Schweinf.) Szlach.,Species,Accepted,NA,988142-1,48885,23,3,"c(116.51667, 5.86667)",TRUE
106669,GBIF_9875,Crepidium luniferum,-1.7,101.26667,2513816437,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Sm.) Seidenf.,Sumatra W. kust G. Kerintji,NA,ID,NA,3,1920,PRESERVED_SPECIMEN,NA,Botany,L.1518145,"Bünnemeijer, HAB 8890",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48931,Crepidium luniferum,Crepidium,luniferum,(J.J.Sm.) Szlach.,Species,Accepted,NA,988178-1,48931,6,11,"c(101.26667, -1.7)",TRUE
106670,GBIF_9876,Crepidium luniferum,-1.7,101.26667,2513815039,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Sm.) Seidenf.,Sumatra W. kust G. Kerintji,NA,ID,NA,3,1920,PRESERVED_SPECIMEN,NA,Botany,L.1518147,"Bünnemeijer, HAB 8753",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48931,Crepidium luniferum,Crepidium,luniferum,(J.J.Sm.) Szlach.,Species,Accepted,NA,988178-1,48931,6,11,"c(101.26667, -1.7)",TRUE
106671,GBIF_9877,Crepidium perakense,3.41667,97.66667,2513816385,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(Ridl.) Holttum,"Gunung Leuser Nature Reserve, Atjeh, North Sumatra. Upper Mamas River valley expedition, c. 15 km W. of Kutacane. Upper Mamas. Camp Pawang.",NA,ID,NA,6,1979,PRESERVED_SPECIMEN,NA,Botany,L.1518208,"Wilde, WJJO de; Wilde-Duyfjes, BEE de 18360",Wilde WJJO de; Wilde-Duyfjes BEE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48980,Crepidium perakense,Crepidium,perakense,(Ridl.) Szlach.,Species,Accepted,NA,988211-1,48980,6,8,"c(97.66667, 3.41667)",TRUE
106858,GBIF_10071,Crepidium triphyllum,-3.24125,129.65178,2513121594,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(J.J.Sm.) Marg.,"Archipel. Ind. Seram, Woeloe. [Seram] [Seram]",NA,ID,NA,12,1917,PRESERVED_SPECIMEN,NA,Botany,L  0063648,Kornassi 728,Kornassi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,489611,Crepidium triphyllum,Crepidium,triphyllum,(J.J.Sm.) Marg.,Species,Accepted,NA,77129196-1,489611,0,15,"c(129.65178, -3.24125)",TRUE
107551,GBIF_10783,Crepidium olivaceum,-6.53333,147.28333,2513801826,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,Marg. & Szlach.,Ridge between Gang creek and Bulum River.,NA,PG,NA,6,1964,PRESERVED_SPECIMEN,NA,Botany,L.1506124,"Hoogland, RD 9123",Hoogland RD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48970,Crepidium olivaceum,Crepidium,olivaceum,(Schltr.) Szlach.,Species,Accepted,NA,988204-1,48970,9,8,"c(147.28333, -6.53333)",TRUE
107672,GBIF_10912,Crepidium orbiculare,18.81625,98.89181,2513815121,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(W.W.Sm. & Jeffrey) Seidenf.,"Thailand, Province Chiang Mai, District: Muang, Doi Sutep--Pui national Park, summit ridge of Doi Sutep at Sahn Goo ruins",NA,TH,NA,7,1989,PRESERVED_SPECIMEN,NA,Botany,L.1518020,"Jai, S; Bella 7",Jai S; Bella,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48972,Crepidium orbiculare,Crepidium,orbiculare,(W.W.Sm. & Jeffrey) Seidenf.,Species,Accepted,NA,999822-1,48972,0,28,"c(98.89181, 18.81625)",TRUE
107673,GBIF_10913,Crepidium purpureum,19.35,98.93333,2513818081,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(Lindl.) Szlach.,"Thailand, Province: Chiang Mai, district: Chiang Dao, Doi Chiang Dao, SE foothills near Ban Yang Pong Luang.",NA,TH,NA,7,1989,PRESERVED_SPECIMEN,NA,Botany,L.1518060,"Maxwell, JF 89- 919",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48996,Crepidium purpureum,Crepidium,purpureum,(Lindl.) Szlach.,Species,Accepted,NA,988222-1,48996,0,16,"c(98.93333, 19.35)",TRUE
107674,GBIF_10914,Crepidium megalanthum,-7,146.66667,2513815329,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(Schltr.) P.F.Hunt,"Patep, Morobe District, T.N.G.",NA,PG,NA,4,1965,PRESERVED_SPECIMEN,NA,Botany,L.1518163,"Millar, AN NGF 22502",Millar AN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,48946,Crepidium megalanthum,Crepidium,megalanthum,(Schltr.) Szlach.,Species,Accepted,NA,988189-1,48946,8,10,"c(146.66667, -7)",TRUE
107675,GBIF_10915,Crepidium acuminatum,18.33333,99.21667,2513816679,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,(D.Don) Szlach.,"Thailand, Province: Lampoon, District: Mae Tah, Doi Kuhn Dahn National Park, north side of Doi Mah Meun, above Suan Sohn and """"""""Yaw"""""""" 3; upper water catchment valley.",NA,TH,NA,6,1993,PRESERVED_SPECIMEN,NA,Botany,L.1518266,"Maxwell, JF 93- 600",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48806,Crepidium acuminatum,Crepidium,acuminatum,(D.Don) Szlach.,Species,Accepted,NA,988091-1,48806,0,15,"c(99.21667, 18.33333)",TRUE
107941,GBIF_11191,Crepidium flammeum,3.41667,97.66667,2513120191,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crepidium,SPECIES,Szlach. & Marg.,"Gunung Leuser Nature Reserve, Atjeh, North Sumatra. Upper Mamas River valley expedition, c. 15 km. W. of Kutacane. Kem Pawang.",NA,ID,NA,6,1979,PRESERVED_SPECIMEN,NA,Botany,L  0063308,"Wilde, WJJO de; Wilde-Duyfjes, BEE de 18209",Wilde WJJO de; Wilde-Duyfjes BEE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,48877,Crepidium flammeum,Crepidium,flammeum,Szlach. & Marg.,Species,Accepted,NA,1008700-1,48877,0,15,"c(97.66667, 3.41667)",TRUE
