V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113479,GBIF_17648,Crossoliparis wendlandii,19.437778,-103.944722,1893958567,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,"Rchb. f., 1866","2 km al NO de El Terrero, 11-12 km al NE de Minatitlán",NA,MX,1150,7,1992,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,12065,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,8,5,"c(-103.944722, 19.437778)",TRUE
113627,GBIF_17810,Crossoliparis wendlandii,19.449167,-103.95,1893958679,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,"Rchb. f., 1866","1 Km al E de El Terrero, 13-14 km al ENE de Minatitlán, 31 km al NO de Colima",NA,MX,1150,8,1994,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,17054,without-number,Francisco Javier Santana Michel; Bruce Benz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,8,5,"c(-103.95, 19.449167)",TRUE
185186,GBIF_130680,Crossoliparis wendlandii,8.833333,-82.683333,4031632802,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb. f.) L.O. Williams,"Valley of the upper Río Chiriquí Viejo, vicinity of Monte Lirio",NA,PA,1600,6,1935,PRESERVED_SPECIMEN,MO,Tropicos,101715584,216,Russell J. Seibert,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,14,6,"c(-82.683333, 8.833333)",TRUE
265151,GBIF_232907,Crossoliparis wendlandii,13.734722,-89.293611,1258999394,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb. f.) L.O. Williams,Boquerón del Volcán San Salvador,NA,SV,1800,7,1976,PRESERVED_SPECIMEN,SEL,Tropicos,1753599,523,Fritz Hamer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,14,6,"c(-89.293611, 13.734722)",TRUE
283073,GBIF_263501,Crossoliparis wendlandii,16.58,-92.5,1258999415,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb. f.) L.O. Williams,W of Belem along road from San Cristobal Las Casas to Teopisca.,NA,MX,2040,12,1986,PRESERVED_SPECIMEN,CAS,Tropicos,1753595,66189,Dennis E. Breedlove;DeAda Mally;H. Mally,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,14,6,"c(-92.5, 16.58)",TRUE
366351,GBIF_396576,Crossoliparis wendlandii,8.507188,-80.102665,1055789618,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb.f.) L.O.Williams,NA,NA,PA,NA,NA,1935,PRESERVED_SPECIMEN,NHMUK,BOT,BM000077412,195,R J. Seibert,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,12,10,"c(-80.102665, 8.507188)",TRUE
389409,GBIF_429775,Crossoliparis wendlandii,16.578056,-92.522778,3323588198,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,"(Rchb. f.) L.O. Williams, 1946",W of Belen along road from San Cristóbal to Teopisca,NA,MX,1020,12,1986,PRESERVED_SPECIMEN,CAS,CAS,NO DISPONIBLE,without-number,D. E. Breedlove; D. H. Mally,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,19,6,"c(-92.522778, 16.578056)",TRUE
389861,GBIF_430419,Crossoliparis wendlandii,16.864722,-92.483611,3323589130,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,"(Rchb. f.) L.O. Williams, 1946",Paraje Kulak'tik,NA,MX,965,11,1965,PRESERVED_SPECIMEN,CAS,CAS,NO DISPONIBLE,without-number,D. E. Breedlove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,19,6,"c(-92.483611, 16.864722)",TRUE
516418,GBIF_621436,Crossoliparis wendlandii,16.58,-92.5,1258999372,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb. f.) L.O. Williams,W of Belem along road from San Cristobal to Teopisca,NA,MX,2040,12,1986,PRESERVED_SPECIMEN,CAS,Tropicos,1753596,66289,Dennis E. Breedlove;H. Mally,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,14,6,"c(-92.5, 16.58)",TRUE
527733,GBIF_636559,Crossoliparis wendlandii,16.87,-92.47,1258999399,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb. f.) L.O. Williams,Paraje of Kulak'tik.,NA,MX,1676.4,11,1965,PRESERVED_SPECIMEN,DS,Tropicos,1753597,14195,Dennis E. Breedlove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,14,6,"c(-92.47, 16.87)",TRUE
529289,GBIF_639450,Crossoliparis wendlandii,9.54,-83.93,1258999409,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb. f.) L.O. Williams,bei San Jose,NA,CR,NA,8,1907,PRESERVED_SPECIMEN,AMES,Tropicos,1753598,s.n.,Adolphe Tonduz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,14,6,"c(-83.93, 9.54)",TRUE
590867,GBIF_737059,Crossoliparis wendlandii,16.88056,-97.63778,3308089253,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,"Rchb. f., 1866","Distrito: Putla. La Era, a 254 km en LR (68°) de Santa Cruz Itundujia.",NA,MX,2219,10,2007,PRESERVED_SPECIMEN,IBUNAM,MEXU,1257476,without-number,Kenia Velásco Gutiérrez; J. Juárez; F. García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,8,5,"c(-97.63778, 16.88056)",TRUE
631099,GBIF_795197,Crossoliparis wendlandii,13.737058,-89.28534,2846238305,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Crossoliparis,SPECIES,(Rchb. f.) L.O. Williams,NA,NA,SV,1800,11,1975,PRESERVED_SPECIMEN,SEL,Tropicos,101214104,523,Fritz Hamer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462560,Crossoliparis wendlandii,Crossoliparis,wendlandii,(Rchb.f.) Marg.,Species,Accepted,NA,77103864-1,462560,14,6,"c(-89.28534, 13.737058)",TRUE
