V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
124981,GBIF_46425,Cryptarrhena kegelii,-1,-59,1042680454,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,NA,"Rebio Uatumã., grade do PPBio. Solo areno-argiloso. Beira da trilha LO03, ca. de 15 m do piquete LO3/P200.",NA,BR,0,3,2008,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",226224,187,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,51881,Cryptarrhena kegelii,Cryptarrhena,kegelii,Rchb.f.,Species,Accepted,NA,624660-1,51881,7,-1,"c(-59, -1)",TRUE
127527,GBIF_51722,Cryptarrhena guatemalensis,3.62348,-53.20925,4565160408,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2010,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,51880,Cryptarrhena guatemalensis,Cryptarrhena,guatemalensis,Schltr.,Species,Accepted,NA,71668-2,51880,7,-1,"c(-53.20925, 3.62348)",TRUE
127531,GBIF_51727,Cryptarrhena kegelii,3.62348,-53.20925,4565160413,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,51881,Cryptarrhena kegelii,Cryptarrhena,kegelii,Rchb.f.,Species,Accepted,NA,624660-1,51881,7,-1,"c(-53.20925, 3.62348)",TRUE
127709,GBIF_52004,Cryptarrhena kegelii,3.62348,-53.20925,4565160718,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,51881,Cryptarrhena kegelii,Cryptarrhena,kegelii,Rchb.f.,Species,Accepted,NA,624660-1,51881,7,-1,"c(-53.20925, 3.62348)",TRUE
127792,GBIF_52174,Cryptarrhena guatemalensis,3.62348,-53.20925,4565160902,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,51880,Cryptarrhena guatemalensis,Cryptarrhena,guatemalensis,Schltr.,Species,Accepted,NA,71668-2,51880,7,-1,"c(-53.20925, 3.62348)",TRUE
127805,GBIF_52202,Cryptarrhena guatemalensis,3.62348,-53.20925,4565160936,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,8,2011,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,51880,Cryptarrhena guatemalensis,Cryptarrhena,guatemalensis,Schltr.,Species,Accepted,NA,71668-2,51880,7,-1,"c(-53.20925, 3.62348)",TRUE
127939,GBIF_52551,Cryptarrhena kegelii,3.62348,-53.20925,4565215323,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,51881,Cryptarrhena kegelii,Cryptarrhena,kegelii,Rchb.f.,Species,Accepted,NA,624660-1,51881,7,-1,"c(-53.20925, 3.62348)",TRUE
172248,GBIF_115423,Cryptarrhena guatemalensis,10.54,-84.89,1258454939,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,Schltr.,El Arenal,NA,CR,542.5,1,1926,PRESERVED_SPECIMEN,US,Tropicos,1244487,45243,Paul C. Standley;Juvenal Valerio R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,51880,Cryptarrhena guatemalensis,Cryptarrhena,guatemalensis,Schltr.,Species,Accepted,NA,71668-2,51880,0,7,"c(-84.89, 10.54)",TRUE
172249,GBIF_115424,Cryptarrhena guatemalensis,16.63333,-88.73333,1258454941,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,Schltr.,"Between Monkey River and Cockscomb, Monkey River",NA,BZ,NA,12,1942,PRESERVED_SPECIMEN,LL,Tropicos,1244492,4309,Percy H. Gentle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,51880,Cryptarrhena guatemalensis,Cryptarrhena,guatemalensis,Schltr.,Species,Accepted,NA,71668-2,51880,0,7,"c(-88.73333, 16.63333)",TRUE
175189,GBIF_118513,Cryptarrhena guatemalensis,10.431389,-84.003611,4061080656,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cryptarrhena,SPECIES,Schltr.,La Selva Biological Station. Arboleda.,NA,CR,100,8,2000,PRESERVED_SPECIMEN,NA,Tropicos,3468592,508,Mario A. Blanco,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,51880,Cryptarrhena guatemalensis,Cryptarrhena,guatemalensis,Schltr.,Species,Accepted,NA,71668-2,51880,0,7,"c(-84.003611, 10.431389)",TRUE
