V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
35,ALA_40,Cryptostylis subulata,-41.3689653,148.141746,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Constable Creek,Australia,AU,145,12,1988,PRESERVED_SPECIMEN,HO,HO,HO402928,11286,"Buchanan, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(148.141746, -41.3689653)",TRUE
73,ALA_78,Cryptostylis subulata,-41.366667,146.825,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Frankford Highway,Australia,AU,210,1,1986,PRESERVED_SPECIMEN,HO,HO,HO410909,s.n.,"Jarman, S.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(146.825, -41.366667)",TRUE
270,ALA_302,Cryptostylis subulata,-40.933333,145.566667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Rocky Cape National Park,Australia,AU,70,1,1986,PRESERVED_SPECIMEN,HO,HO,HO116854,1128,"Collier, P.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(145.566667, -40.933333)",TRUE
396,ALA_439,Cryptostylis subulata,-42.1857903,145.2741599,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Macquarie Heads,Australia,AU,10,1,1984,PRESERVED_SPECIMEN,HO,HO,HO89841,5435,"Moscal, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(145.2741599, -42.1857903)",TRUE
477,ALA_528,Cryptostylis subulata,-40.566667,144.75,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,"1km inland from end of Ainslie Beach, S of Boat River",Australia,AU,50,12,2004,PRESERVED_SPECIMEN,HO,HO,HO529383,s.n.,"Lazarus, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(144.75, -40.566667)",TRUE
540,ALA_605,Cryptostylis subulata,-41.783333,145.533333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Rosebery,Australia,AU,180,2,1930,PRESERVED_SPECIMEN,HO,HO,HO105740,8,"Nye, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(145.533333, -41.783333)",TRUE
570,ALA_641,Cryptostylis subulata,-41.7137403,145.2664154,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Stringer Creek Road,Australia,AU,420,1,1984,PRESERVED_SPECIMEN,HO,HO,HO314540,s.n.,"Jarman, S.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(145.2664154, -41.7137403)",TRUE
941,ALA_1060,Cryptostylis subulata,-43.55,146.883333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Old Catamaran Road,Australia,AU,NA,11,1981,PRESERVED_SPECIMEN,HO,HO,HO537383,s.n.,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(146.883333, -43.55)",TRUE
1037,ALA_1169,Cryptostylis subulata,-42.966667,147.15,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,(Labill.) Rchb.f.,Lower Longley,Australia,AU,NA,2,1930,PRESERVED_SPECIMEN,HO,HO,HO502143,s.n.,"Rodway, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52186,Cryptostylis subulata,Cryptostylis,subulata,(Labill.) Rchb.f.,Species,Accepted,NA,624768-1,52186,0,17,"c(147.15, -42.966667)",TRUE
1049,ALA_1181,Cryptostylis ovata,-32.666667,116.083333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cryptostylis,species,R.Br.,Dwellingup District. Nowra Block,Australia,AU,NA,12,1938,PRESERVED_SPECIMEN,HO,HO,HO503581,s.n.,"Kalmborg, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52180,Cryptostylis ovata,Cryptostylis,ovata,R.Br.,Species,Accepted,NA,624762-1,52180,0,5,"c(116.083333, -32.666667)",TRUE
