V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113502,GBIF_17677,Cuitlauzina pendula,19.566667,-104.274722,1893972231,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"Lex., 1825",2 km al SE de la Estación Científica Las Joyas,NA,MX,900,4,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8303,without-number,Raúl López Velázquez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52240,Cuitlauzina pendula,Cuitlauzina,pendula,Lex.,Species,Accepted,NA,624776-1,52240,6,4,"c(-104.274722, 19.566667)",TRUE
113617,GBIF_17798,Cuitlauzina pendula,19.625,-104.31,1893972202,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"Lex., 1825","La Cumbre, antes de Corralitos",NA,MX,950,4,1997,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16087,without-number,Francisco Javier Santana Michel; Ofelia Vargas Ponce; José Ismael Calzada; Lucio Lozada,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52240,Cuitlauzina pendula,Cuitlauzina,pendula,Lex.,Species,Accepted,NA,624776-1,52240,6,4,"c(-104.31, 19.625)",TRUE
129361,GBIF_54034,Cuitlauzina egertonii,8.95,-82.766667,1261390778,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Lindl.) Dressler & N.H. Williams,"Foothills of the Cordillera de Talamanca, lower montane forest in the area of Sitio Cotón (Cotonsito), along the road to Sitio Coto Brus.",NA,CR,1600,9,1983,PRESERVED_SPECIMEN,MO,Tropicos,675401,24571,Gerrit Davidse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235179,Cuitlauzina egertonii,Cuitlauzina,egertonii,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426082-2,235179,1,24,"c(-82.766667, 8.95)",TRUE
129644,GBIF_54323,Cuitlauzina convallarioides,14.396389,-90.595278,1258561562,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,Schltr.,"Las Cachiflanas, Volcán de Pacaya.",NA,GT,2250,4,1921,PRESERVED_SPECIMEN,MO,Tropicos,1342967,523,Adolphe Tonduz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235178,Cuitlauzina convallarioides,Cuitlauzina,convallarioides,(Schltr.) Dressler & N.H.Williams,Species,Accepted,NA,50426083-2,235178,26,5,"c(-90.595278, 14.396389)",TRUE
129665,GBIF_54344,Cuitlauzina convallarioides,9.62,-83.9,1258577076,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Schltr.) Dressler & N.H. Williams,"Pedregoso, 2 1/2 km south of Copey",NA,CR,1990,2,1990,PRESERVED_SPECIMEN,MO,Tropicos,1357295,90-00875,Jason R. Grant;Michael H. Grayum;Donald R. Hodel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235178,Cuitlauzina convallarioides,Cuitlauzina,convallarioides,(Schltr.) Dressler & N.H.Williams,Species,Accepted,NA,50426083-2,235178,1,25,"c(-83.9, 9.62)",TRUE
138207,GBIF_63744,Cuitlauzina pendula,17.0654,-96.7236,1586249320,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(La Llave & Lex.) Bateman,"Near Iruchapa, Oaxaca.",NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,29236,3502,T. MacDougal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52240,Cuitlauzina pendula,Cuitlauzina,pendula,Lex.,Species,Accepted,NA,624776-1,52240,21,4,"c(-96.7236, 17.0654)",TRUE
138520,GBIF_64068,Cuitlauzina pendula,17.2617,-97.375,1576157960,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,La Llave & Lex.,"San Juan Diuxi, District de Nochistlán.",NA,MX,NA,3,1995,PRESERVED_SPECIMEN,USF,Herb,214479,95-3-15,Vicencio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52240,Cuitlauzina pendula,Cuitlauzina,pendula,Lex.,Species,Accepted,NA,624776-1,52240,11,4,"c(-97.375, 17.2617)",TRUE
139275,GBIF_64854,Cuitlauzina pulchella,13.57,-87.06,4399479570,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"(Bateman ex Lindl.) Dressler & N.H. Williams, 2003",Santa Elena,NA,HN,0,9,1996,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Linares, J.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,7,35,"c(-87.06, 13.57)",TRUE
139373,GBIF_64958,Cuitlauzina pulchella,13.5132,-89.4808,4399479785,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"(Bateman ex Lindl.) Dressler & N.H. Williams, 2003",Cerro Grande de Apaneca,NA,SV,0,1,1978,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Hamer, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,7,35,"c(-89.4808, 13.5132)",TRUE
139855,GBIF_65502,Cuitlauzina pulchella,14.3339,-88.3959,4399480786,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"(Bateman ex Lindl.) Dressler & N.H. Williams, 2003",Celaque,NA,HN,0,3,1992,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Hawkins, T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,7,35,"c(-88.3959, 14.3339)",TRUE
161334,GBIF_101493,Cuitlauzina convallarioides,10.052778,-84.069444,1253593272,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Schltr.) Dressler & N. H. Williams,Alrededores de la Urbanizacion El Castillo. Cabeceras del Rio Tibas. Calle Cienagas. Bosquetes y potrero.,NA,CR,1700,12,1995,PRESERVED_SPECIMEN,INBio,Plantae,1515487,without-number,Eduardo Lepiz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235178,Cuitlauzina convallarioides,Cuitlauzina,convallarioides,(Schltr.) Dressler & N.H.Williams,Species,Accepted,NA,50426083-2,235178,2,23,"c(-84.069444, 10.052778)",TRUE
172313,GBIF_115489,Cuitlauzina convallarioides,10.15,-84.37,1258567305,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,Schltr.,Llanura Bonita de Zarcero,NA,CR,1800,4,1938,PRESERVED_SPECIMEN,F,Tropicos,1348213,600,Austin Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235178,Cuitlauzina convallarioides,Cuitlauzina,convallarioides,(Schltr.) Dressler & N.H.Williams,Species,Accepted,NA,50426083-2,235178,26,5,"c(-84.37, 10.15)",TRUE
172315,GBIF_115491,Cuitlauzina egertonii,15.470833,-90.370833,1258577064,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Lindl.) Dressler & N.H. Williams,Cobán,NA,GT,1350,2,1908,PRESERVED_SPECIMEN,AMES,Tropicos,1357299,II 718,Hans von Türckheim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235179,Cuitlauzina egertonii,Cuitlauzina,egertonii,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426082-2,235179,1,24,"c(-90.370833, 15.470833)",TRUE
172316,GBIF_115492,Cuitlauzina candida,15.08,-92.09,1258577087,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Lindl.) Dressler & N.H. Williams,"Subida al Volcan Tacana, 2 km Talquiem muy cerca frontera",NA,MX,1900,9,1985,PRESERVED_SPECIMEN,US,Tropicos,1357303,1669,Miguel Á. Soto A.;L.M. Calvo;Gerardo A. Salazar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235177,Cuitlauzina candida,Cuitlauzina,candida,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426081-2,235177,1,24,"c(-92.09, 15.08)",TRUE
176228,GBIF_119600,Cuitlauzina convallarioides,9.62,-83.9,4061233734,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,Schltr.,"Pedregoso, 2 1/2 km south of Copey",NA,CR,1990,2,1990,PRESERVED_SPECIMEN,US,Tropicos,101599585,90-875,Jason R. Grant;Michael H. Grayum;Donald R. Hodel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235178,Cuitlauzina convallarioides,Cuitlauzina,convallarioides,(Schltr.) Dressler & N.H.Williams,Species,Accepted,NA,50426083-2,235178,26,5,"c(-83.9, 9.62)",TRUE
182572,GBIF_127920,Cuitlauzina egertonii,16.095833,-91.645833,1258561636,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Lindl.) Dressler & N.H. Williams,Along gravel road at km 1.7 leading to Dos Lagunas (from main blacktop road to Lagos de Montebello).,NA,MX,1500,1,1979,PRESERVED_SPECIMEN,MO,Tropicos,1343018,46542,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235179,Cuitlauzina egertonii,Cuitlauzina,egertonii,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426082-2,235179,1,24,"c(-91.645833, 16.095833)",TRUE
186299,GBIF_131910,Cuitlauzina egertonii,8.816667,-82.483333,1258561527,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Lindl.) Dressler & N.H. Williams,"Vicinity of Boquete, Finca Collins.",NA,PA,1676.4,7,1959,PRESERVED_SPECIMEN,MO,Tropicos,1342943,1107,William L. Stern;Kenton  L. Chambers;John D. Dwyer;John E. Ebinger,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235179,Cuitlauzina egertonii,Cuitlauzina,egertonii,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426082-2,235179,1,24,"c(-82.483333, 8.816667)",TRUE
187169,GBIF_132807,Cuitlauzina egertonii,16.82,-93.42,1258561648,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Lindl.) Dressler & N.H. Williams,"6 miles N of Ocozocoautla, along gravel road to Apitpac. In and at edge of disturbed forest",NA,MX,1000,7,1977,PRESERVED_SPECIMEN,MO,Tropicos,1343014,40553,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235179,Cuitlauzina egertonii,Cuitlauzina,egertonii,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426082-2,235179,1,24,"c(-93.42, 16.82)",TRUE
188746,GBIF_134499,Cuitlauzina pulchella,14.35,-89.15,4031466998,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Bateman ex Lindl.) Dressler & N.H. Williams,Road to Los Esesmiles,NA,SV,2100,5,1970,PRESERVED_SPECIMEN,MO,Tropicos,101803333,128,Fritz Hamer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,1,35,"c(-89.15, 14.35)",TRUE
188819,GBIF_134584,Cuitlauzina egertonii,16.083333,-91.75,4031525148,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Lindl.) Dressler & N.H. Williams,Shore of Lake Montebello.,NA,MX,1350,3,1937,PRESERVED_SPECIMEN,MO,Tropicos,102026146,5467,Otto Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235179,Cuitlauzina egertonii,Cuitlauzina,egertonii,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426082-2,235179,1,24,"c(-91.75, 16.083333)",TRUE
238867,GBIF_199135,Cuitlauzina pulchella,16.9,-91.52,3307589590,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"(Bateman ex Lindl.) Schltr., 1922","Mts around Hacienda Sta María, ca 35 km east of Comitán",NA,MX,1450,2,1935,PRESERVED_SPECIMEN,IBUNAM,MEXU,8891,without-number,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,20,20,"c(-91.52, 16.9)",TRUE
238975,GBIF_199248,Cuitlauzina pendula,16.01517,-96.1139,3308671386,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"Lex., 1825",Distrito: Pochutla. El Vigía.,NA,MX,1762,3,2006,PRESERVED_SPECIMEN,IBUNAM,MEXU,1294713,without-number,José Pascual,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52240,Cuitlauzina pendula,Cuitlauzina,pendula,Lex.,Species,Accepted,NA,624776-1,52240,6,4,"c(-96.1139, 16.01517)",TRUE
239355,GBIF_199648,Cuitlauzina pulchella,16.741944,-92.6975,3307583609,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"(Bateman ex Lindl.) Schltr., 1922","Cerro Huitepec, al O de San Cristóbal de Las Casas",NA,MX,2800,3,1936,PRESERVED_SPECIMEN,IBUNAM,MEXU,8900,without-number,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,20,20,"c(-92.6975, 16.741944)",TRUE
240086,GBIF_200454,Cuitlauzina pulchella,16.70111,-92.7239,3308437780,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,"(Bateman ex Lindl.) Schltr., 1922",Km. 2.7 del camino ermita Nachig-Elambo,NA,MX,2230,5,1995,PRESERVED_SPECIMEN,IBUNAM,MEXU,694898,without-number,Héctor Mejía E.; Alfonso Luna G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,20,20,"c(-92.7239, 16.70111)",TRUE
252832,GBIF_218285,Cuitlauzina egertonii,8.966083,-82.829417,476431375,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,NA,NA,NA,CR,NA,NA,without-year,PRESERVED_SPECIMEN,OTS,Wilson Botanical Garden - Las Cruces Biological Station,20100156,without-number,"Oviedo-Brenes, Federico",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235179,Cuitlauzina egertonii,Cuitlauzina,egertonii,(Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426082-2,235179,31,1,"c(-82.829417, 8.966083)",TRUE
257630,GBIF_223572,Cuitlauzina convallarioides,14.477222,-90.880278,1258577106,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Schltr.) Dressler & N.H. Williams,Volcán de Fuego,NA,GT,1524,3,1892,PRESERVED_SPECIMEN,US,Tropicos,1357298,2641,John Donnell Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235178,Cuitlauzina convallarioides,Cuitlauzina,convallarioides,(Schltr.) Dressler & N.H.Williams,Species,Accepted,NA,50426083-2,235178,1,25,"c(-90.880278, 14.477222)",TRUE
257631,GBIF_223573,Cuitlauzina pulchella,13.6,-88.85,1258577099,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cuitlauzina,SPECIES,(Bateman ex Lindl.) Schltr.,Volcán de San Vicente,NA,SV,1350,3,1922,PRESERVED_SPECIMEN,US,Tropicos,1357302,21611,Paul C. Standley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,235180,Cuitlauzina pulchella,Cuitlauzina,pulchella,(Bateman ex Lindl.) Dressler & N.H.Williams,Species,Accepted,NA,50426084-2,235180,20,20,"c(-88.85, 13.6)",TRUE
