V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104498,GBIF_729,Cyclopogon comosus,19.525225,-97.007517000000007,1897491019,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,"(Rchb. f.) Burns-Bal. & E.W. Greenw., 1986",Rancho Viejo,NA,MX,907.5,3,2012,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Milton Hugo Díaz Toribio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52741,Cyclopogon comosus,Cyclopogon,comosus,(Rchb.f.) Burns-Bal. & E.W.Greenw.,Species,Accepted,NA,942900-1,52741,8,21,"c(-97.007517, 19.525225)",TRUE
111263,GBIF_15273,Cyclopogon apricus,-20.466667,-41.833333,4526420819,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,Angiospermas,"Parque Nacional do caparaó, trilha para cachoeira do Aurélio.",NA,BR,NA,12,2010,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00720690,265,"Machado, T.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52727,Cyclopogon apricus,Cyclopogon,apricus,(Lindl.) Schltr.,Species,Accepted,NA,73670-2,52727,15,1,"c(-41.833333, -20.466667)",TRUE
111275,GBIF_15285,Cyclopogon elatus,-22.25,-44.566667,4526421808,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,Angiospermas,Trilha do Hotel Simon para o três Picos.,NA,BR,NA,10,1994,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00476822,1366,J.M.A. Braga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52753,Cyclopogon elatus,Cyclopogon,elatus,(Sw.) Schltr.,Species,Accepted,NA,73688-2,52753,13,-1,"c(-44.566667, -22.25)",TRUE
111292,GBIF_15304,Cyclopogon variegatus,-22.450833,-44.789722,4526423538,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,Angiospermas,Trilha Centro de Visitantes-Lago Azul.,NA,BR,NA,8,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00762286,53,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52825,Cyclopogon variegatus,Cyclopogon,variegatus,Barb.Rodr.,Species,Accepted,NA,73740-2,52825,11,1,"c(-44.789722, -22.450833)",TRUE
111299,GBIF_15312,Cyclopogon argyrifolius,-20.267778,-40.525278,4526424213,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,Angiospermas,Trilha da Represa. Floresta Ombrófila Densa Submontana. Reserva Biológica de Duas Bocas.,NA,BR,NA,7,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00542997,5267,R.C. Forzza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52728,Cyclopogon argyrifolius,Cyclopogon,argyrifolius,(Barb.Rodr.) Barb.Rodr.,Species,Accepted,NA,77100733-1,52728,21,1,"c(-40.525278, -20.267778)",TRUE
111345,GBIF_15359,Cyclopogon argyrifolius,-20.516111,-41.083611,4526426450,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,Angiospermas,Trilha na mata para o Forninho. Floresta Ombrófila Densa Altomontana com inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,10,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549071,2230,"C.N. Fraga;P. Labiak,R. C. Forzza",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52728,Cyclopogon argyrifolius,Cyclopogon,argyrifolius,(Barb.Rodr.) Barb.Rodr.,Species,Accepted,NA,77100733-1,52728,21,1,"c(-41.083611, -20.516111)",TRUE
111351,GBIF_15365,Cyclopogon argyrifolius,-22.451944,-44.792222,4526426640,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,Angiospermas,"Trilha Centro de Visitantes - Lago Azul, proximidades da lanchonete.",NA,BR,NA,8,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00796049,55,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52728,Cyclopogon argyrifolius,Cyclopogon,argyrifolius,(Barb.Rodr.) Barb.Rodr.,Species,Accepted,NA,77100733-1,52728,21,1,"c(-44.792222, -22.451944)",TRUE
111445,GBIF_15464,Cyclopogon congestus,-20.187222,-40.306944,4526434417,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,Angiospermas,Vertente sudeste. Acesso pelo Bairro Jardim Tropical (Trilha de FURNAS). APA Mestre Álvaro,NA,BR,NA,9,2010,PRESERVED_SPECIMEN,NA,VIES,VIES023976,75,"Cribari, R.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52743,Cyclopogon congestus,Cyclopogon,congestus,(Vell.) Hoehne,Species,Accepted,NA,73680-2,52743,14,-1,"c(-40.306944, -20.187222)",TRUE
113659,GBIF_17844,Cyclopogon pringlei,19.939444,-104.181111,1893967120,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,"(S. Watson) Garay & W. Kittr., 1986","La Soledad, 5-6 km al O de Unión de Tula",NA,MX,800,7,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,17852,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,52806,Cyclopogon pringlei,Cyclopogon,pringlei,(S.Watson) Soto Arenas,Species,Accepted,NA,946092-1,52806,22,8,"c(-104.181111, 19.939444)",TRUE
114235,GBIF_18432,Cyclopogon elatus,18.193,-66.6583,1930150944,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyclopogon,SPECIES,(Sw.) Schltr.,"Arroyo de los Corchos, between Adjuntas and Jajuya",NA,PR,NA,3,1915,PRESERVED_SPECIMEN,NY,NY,50070,5281,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,52753,Cyclopogon elatus,Cyclopogon,elatus,(Sw.) Schltr.,Species,Accepted,NA,73688-2,52753,0,13,"c(-66.6583, 18.193)",TRUE
