V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
1,ALA_1,Cymbidium canaliculatum,-24.8,147.6,dr1030,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Don & Betty Wood,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53114,Cymbidium canaliculatum,Cymbidium,canaliculatum,R.Br.,Species,Accepted,NA,624961-1,53114,0,5,"c(147.6, -24.8)",TRUE
2224,ALA_2543,Cymbidium madidum,-25.9,152.5,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,Lindl.,NA,Australia,AU,NA,NA,1927,PRESERVED_SPECIMEN,HO,HO,HO503362,s.n.,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53285,Cymbidium madidum,Cymbidium,madidum,Lindl.,Species,Accepted,NA,625082-1,53285,0,6,"c(152.5, -25.9)",TRUE
5075,ALA_6002,Cymbidium suave,-34.835,150.483333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,"Bugong Rd, Budgong, creek crossing over small creek, 500 m from end of bitumen.",Australia,AU,NA,5,2005,PRESERVED_SPECIMEN,CANB,CANB,CANB 665114.1,19228,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53395,Cymbidium suave,Cymbidium,suave,R.Br.,Species,Accepted,NA,625187-1,53395,0,5,"c(150.483333, -34.835)",TRUE
5692,ALA_6755,Cymbidium canaliculatum,-26.5,150.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,NA,Australia,AU,NA,5,1967,PRESERVED_SPECIMEN,CANB,CANB,CBG 17339.1,s.n.,"Carroll, E.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53114,Cymbidium canaliculatum,Cymbidium,canaliculatum,R.Br.,Species,Accepted,NA,624961-1,53114,0,5,"c(150.5, -26.5)",TRUE
5860,ALA_6968,Cymbidium canaliculatum,-18.1,144.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,NA,Australia,AU,NA,8,1996,PRESERVED_SPECIMEN,CANB,CANB,CBG 9613389.1,12249,"Telford, I.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53114,Cymbidium canaliculatum,Cymbidium,canaliculatum,R.Br.,Species,Accepted,NA,624961-1,53114,0,5,"c(144.5, -18.1)",TRUE
5954,ALA_7089,Cymbidium canaliculatum,-26.6,149.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,NA,Australia,AU,NA,10,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9407946.1,881,"Crane, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53114,Cymbidium canaliculatum,Cymbidium,canaliculatum,R.Br.,Species,Accepted,NA,624961-1,53114,0,5,"c(149.4, -26.6)",TRUE
6077,ALA_7237,Cymbidium madidum,-17.3,145.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,Lindl.,NA,Australia,AU,NA,8,1958,PRESERVED_SPECIMEN,CANB,CANB,CANB 58322.1,1010,"Jones, W.T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53285,Cymbidium madidum,Cymbidium,madidum,Lindl.,Species,Accepted,NA,625082-1,53285,0,6,"c(145.9, -17.3)",TRUE
6378,ALA_7616,Cymbidium suave,-35.4,150.383333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,c. 5 km along Pigeon House Mountain road from the Princes Highway.,Australia,AU,NA,9,1985,PRESERVED_SPECIMEN,CANB,CANB,CBG 8503405.1,3744,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53395,Cymbidium suave,Cymbidium,suave,R.Br.,Species,Accepted,NA,625187-1,53395,0,5,"c(150.383333, -35.4)",TRUE
7325,ALA_8853,Cymbidium suave,-35.4,150.416667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,Corner of Pigeon House Mountain turnoff from Princes Highway.,Australia,AU,NA,11,1991,PRESERVED_SPECIMEN,CANB,CANB,CBG 9407931.1,7658,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53395,Cymbidium suave,Cymbidium,suave,R.Br.,Species,Accepted,NA,625187-1,53395,0,5,"c(150.416667, -35.4)",TRUE
7395,ALA_8947,Cymbidium madidum,-17.3,145.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,Lindl.,NA,Australia,AU,NA,1,1995,PRESERVED_SPECIMEN,CANB,CANB,CANB 514476.2,s.n.,leg. ign.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53285,Cymbidium madidum,Cymbidium,madidum,Lindl.,Species,Accepted,NA,625082-1,53285,0,6,"c(145.5, -17.3)",TRUE
7925,ALA_9644,Cymbidium canaliculatum,-27.8,151.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,NA,Australia,AU,NA,5,1939,PRESERVED_SPECIMEN,CANB,CANB,CANB 528714.1,120,"Millett, M.R.O.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53114,Cymbidium canaliculatum,Cymbidium,canaliculatum,R.Br.,Species,Accepted,NA,624961-1,53114,0,5,"c(151.1, -27.8)",TRUE
8189,ALA_9997,Cymbidium canaliculatum,-15.3,145.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cymbidium,species,R.Br.,NA,Australia,AU,NA,11,1957,PRESERVED_SPECIMEN,CANB,CANB,CANB 58304.1,3365,"Webb, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53114,Cymbidium canaliculatum,Cymbidium,canaliculatum,R.Br.,Species,Accepted,NA,624961-1,53114,0,5,"c(145.1, -15.3)",TRUE
