V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
127336,GBIF_51163,Cymbilabia undulata,23.763342,98.82524,1303968200,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,Chen Kang Hsien,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,010a8421-b6c0-11e1-8c2f-acd112e444a7,without-number,C.W.Wang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(98.82524, 23.763342)",TRUE
127401,GBIF_51299,Cymbilabia undulata,24.615701,100.709787,1304081771,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,Suau-Luh-sha,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec7f9e42-b6bf-11e1-8c2f-acd112e444a7,without-number,李鸣岗,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(100.709787, 24.615701)",TRUE
170636,GBIF_112726,Cymbilabia undulata,24.45,100.83,4044758152,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,NA,NA,CN,NA,NA,1959,PRESERVED_SPECIMEN,KUN,NA,0026845,without-number,许溯桂,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(100.83, 24.45)",TRUE
279720,GBIF_259025,Cymbilabia undulata,25.75,98.666667,574820972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,China:Yunnan Province:Shweli Salwin divide,NA,CN,2286,6,1924,PRESERVED_SPECIMEN,RBGE,E,E00123450,24334,"Forrest, George",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(98.666667, 25.75)",TRUE
332161,GBIF_343425,Cymbilabia undulata,27.125833,98.838333,730540753,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,"China:Yunnan:Fugong:Xian:Aludi, Yaping Cun, ca. 25 direct km N of Fugong city, on the road from the Nujiang to the Myanmar border at Yaping pass, E side of Gaoligong Shan.",NA,CN,1708,4,2004,PRESERVED_SPECIMEN,RBGE,E,E00626847,19381,"Gaoligong Shan Biotic Survey Expedition - Autumn 2004,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(98.838333, 27.125833)",TRUE
343006,GBIF_361194,Cymbilabia undulata,27.73,98.67,4043491215,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,NA,NA,CN,NA,NA,1959,PRESERVED_SPECIMEN,KUN,NA,0026843,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(98.67, 27.73)",TRUE
391277,GBIF_433176,Cymbilabia undulata,27.5544,88.4517,1056562404,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,(Lindl.) J.J.Sm.,NA,NA,IN,NA,3,1892,PRESERVED_SPECIMEN,NHMUK,BOT,BM000538942,72,R Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,16,9,"c(88.4517, 27.5544)",TRUE
406172,GBIF_460007,Cymbilabia undulata,24.45,100.83,4044855902,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,NA,NA,CN,NA,NA,1963,PRESERVED_SPECIMEN,KUN,NA,0026848,without-number,武全安,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(100.83, 24.45)",TRUE
406199,GBIF_460088,Cymbilabia undulata,23.45,104.67,4045197688,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,NA,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,WUK,NA,0269362,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(104.67, 23.45)",TRUE
467872,GBIF_543411,Cymbilabia undulata,27.083333,90.633333,574786636,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,Bhutan:Tongsa District:Shamgang,NA,BT,2090,5,2000,PRESERVED_SPECIMEN,RBGE,E,E00280410,24,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(90.633333, 27.083333)",TRUE
467884,GBIF_543427,Cymbilabia undulata,25.285556,98.705556,730557317,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,China:Yunnan:Tengchong:Xian:Youtu Cun. In the vicinity of Linjiapu on the W side of Gaoligong Shan.,NA,CN,2100,5,2006,PRESERVED_SPECIMEN,RBGE,E,E00629743,29071,"Gaoligong Shan Biotic Survey Expedition - Summer 2006,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(98.705556, 25.285556)",TRUE
472794,GBIF_551496,Cymbilabia undulata,27.5544,88.4517,1056555093,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,(Lindl.) J.J.Sm.,NA,NA,IN,NA,3,1893,PRESERVED_SPECIMEN,NHMUK,BOT,BM000538941,72,R Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,16,9,"c(88.4517, 27.5544)",TRUE
544812,GBIF_666345,Cymbilabia undulata,29.32,95.33,2417429784,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymbilabia,SPECIES,NA,NA,NA,CN,NA,NA,1983,PRESERVED_SPECIMEN,PE,NA,01446204,without-number,程树志  李勃生,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538130,Cymbilabia undulata,Cymbilabia,undulata,(Lindl.) D.K.Liu & Ming H.Li,Species,Accepted,NA,77206159-1,538130,28,-1,"c(95.33, 29.32)",TRUE
