V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104102,GBIF_319,Cymboglossum pseudocymbiforme,-0.54,114.2787,1055505216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,VARIETY,J.J.Wood,NA,NA,ID,NA,NA,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506900,s.n.,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538083,Cymboglossum pseudocymbiforme,Cymboglossum,pseudocymbiforme,(J.J.Wood) Ormerod & Cootes,Species,Accepted,NA,77205860-1,538083,19,5,"c(114.2787, -0.54)",TRUE
104414,GBIF_639,Cymboglossum cymbidiifolium,-0.54,114.2787,1057324624,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,VARIETY,J.J.Wood,NA,NA,ID,NA,11,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506785,50143,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538078,Cymboglossum cymbidiifolium,Cymboglossum,cymbidiifolium,(Ridl.) Ormerod & Cootes,Species,Accepted,NA,77205855-1,538078,21,2,"c(114.2787, -0.54)",TRUE
104415,GBIF_640,Cymboglossum pseudocymbiforme,5.377939,117.087456,1055535812,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,VARIETY,J.J.Wood,NA,NA,MY,NA,7,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506888,33938,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538083,Cymboglossum pseudocymbiforme,Cymboglossum,pseudocymbiforme,(J.J.Wood) Ormerod & Cootes,Species,Accepted,NA,77205860-1,538083,19,5,"c(117.087456, 5.377939)",TRUE
106517,GBIF_9713,Cymboglossum caricifolium,4.58333,115.71667,2513797309,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,VARIETY,J.J.Wood,About half way trail Maligan- long Pa Sia.,NA,MY,NA,12,1986,PRESERVED_SPECIMEN,NA,Botany,L.1499895,"Vermeulen, JJ; Duistermaat, H 914",Vermeulen JJ; Duistermaat H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538077,Cymboglossum caricifolium,Cymboglossum,caricifolium,(J.J.Wood) Ormerod & Cootes,Species,Accepted,NA,77205854-1,538077,19,5,"c(115.71667, 4.58333)",TRUE
106607,GBIF_9807,Cymboglossum cymbiforme,-1.7,101.26667,2513807411,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,SPECIES,J.J.Sm.,"Archipel. Ind. Sumatra, W.K., G.Koerintji.",NA,ID,NA,3,1920,PRESERVED_SPECIMEN,NA,Botany,L.1510444,"Bünnemeijer, HAB 8906",Bünnemeijer HAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,53457,Cymboglossum cymbiforme,Cymboglossum,cymbiforme,(J.J.Sm.) Rauschert,Species,Accepted,NA,912322-1,53457,12,7,"c(101.26667, -1.7)",TRUE
106618,GBIF_9820,Cymboglossum grande,6.08333,116.55,2513810151,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,SPECIES,Ridl.,"Upper Kinabalu, B.N. Borneo",NA,MY,NA,1,1932,PRESERVED_SPECIMEN,NA,Botany,L.1511193,"Clemens, J; Clemens, MS 27861",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538079,Cymboglossum grande,Cymboglossum,grande,(Ridl.) Ormerod & Cootes,Species,Accepted,NA,77205856-1,538079,19,5,"c(116.55, 6.08333)",TRUE
107611,GBIF_10843,Cymboglossum cymbidiifolium,6.08333,116.54583,2513808422,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,VARIETY,J.J.Wood,NA,NA,MY,NA,11,1932,PRESERVED_SPECIMEN,NA,Botany,L.1510439,"Clemens, J; Clemens, MS 50143",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538078,Cymboglossum cymbidiifolium,Cymboglossum,cymbidiifolium,(Ridl.) Ormerod & Cootes,Species,Accepted,NA,77205855-1,538078,21,2,"c(116.54583, 6.08333)",TRUE
122741,GBIF_44040,Cymboglossum pseudocymbiforme,4.31667,115.7,2513808505,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,SPECIES,J.J.Wood,"Sabah, Interior Zone, E of trail Long Pa Sia - Long Samado, c.2 km from the Sarawak border.",NA,MY,NA,10,1986,PRESERVED_SPECIMEN,NA,Botany,L.1510959,"Vogel, EF de 8495",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538083,Cymboglossum pseudocymbiforme,Cymboglossum,pseudocymbiforme,(J.J.Wood) Ormerod & Cootes,Species,Accepted,NA,77205860-1,538083,19,5,"c(115.7, 4.31667)",TRUE
123344,GBIF_44689,Cymboglossum cymbiforme,-2.05,101.3,2513806568,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,SPECIES,J.J.Sm.,"W.Sumatra, Barisan Range, Road Tapa - Sungai Penuh, km.19",NA,ID,NA,3,1974,PRESERVED_SPECIMEN,NA,Botany,L.1510441,"Vogel, EF de 2873",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,53457,Cymboglossum cymbiforme,Cymboglossum,cymbiforme,(J.J.Sm.) Rauschert,Species,Accepted,NA,912322-1,53457,12,7,"c(101.3, -2.05)",TRUE
123362,GBIF_44708,Cymboglossum grande,5.96667,116.68333,2513807361,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cymboglossum,SPECIES,Ridl.,"B.N. Borneo: Mt. Kinabalu, Paka.",NA,MY,NA,11,1931,PRESERVED_SPECIMEN,NA,Botany,L.1511192,"Clemens, J; Clemens, MS 30019",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538079,Cymboglossum grande,Cymboglossum,grande,(Ridl.) Ormerod & Cootes,Species,Accepted,NA,77205856-1,538079,19,5,"c(116.68333, 5.96667)",TRUE
