V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104018,GBIF_233,Cynorkis fastigiata,-23.345,47.6,1056136705,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Thouars,Vangaindrano,NA,MG,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM013718102,1778,George Francis Scott-Elliot,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53589,Cynorkis fastigiata,Cynorkis,fastigiata,Thouars,Species,Accepted,NA,625265-1,53589,0,7,"c(47.6, -23.345)",TRUE
106277,GBIF_9466,Cynorkis gabonensis,-1.673,11.75283,2516039960,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Summerh.,13½ km on the road Moukabou to Mbigou.,NA,GA,NA,3,2013,PRESERVED_SPECIMEN,NA,Botany,WAG.1488587,"Wieringa, JJ; Proosdij, ASJ van; Nzabi, T 7371",Wieringa JJ; Proosdij ASJ van; Nzabi T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53606,Cynorkis gabonensis,Cynorkis,gabonensis,Summerh.,Species,Accepted,NA,625271-1,53606,0,8,"c(11.75283, -1.673)",TRUE
106557,GBIF_9755,Cynorkis gibbosa,-18.91666,47.93333,2513803026,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Ridl.,Vallée [?] Mandraka.,NA,MG,NA,12,1909,PRESERVED_SPECIMEN,NA,Botany,L.1505727,"Alleizette, AC d' s.n.",Alleizette AC d',TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53609,Cynorkis gibbosa,Cynorkis,gibbosa,Ridl.,Species,Accepted,NA,625273-1,53609,0,5,"c(47.93333, -18.91666)",TRUE
107042,GBIF_10261,Cynorkis anacamptoides,7.5,36.5,2515865294,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Kraenzl.,ETHIOPIA. Kaffa prov. At road between Jimma and Bonga. About 45 km.S.W. of Jimma. At the edge of the Belleta forest.,NA,ET,NA,11,1970,PRESERVED_SPECIMEN,NA,Botany,WAG.1132039,"Friis, I; Hounde, A; Jacobsen, K 106",Friis I; Hounde A; Jacobsen K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53514,Cynorkis anacamptoides,Cynorkis,anacamptoides,Kraenzl.,Species,Accepted,NA,625332-1,53514,0,8,"c(36.5, 7.5)",TRUE
107043,GBIF_10262,Cynorkis compacta,-30.3,30.41667,2515712991,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Rchb.f.,"Station Dumisa, Fundort Moyeni.",NA,ZA,NA,10,1910,PRESERVED_SPECIMEN,NA,Botany,WAG.1132060,"Rudatis, AGH 1192",Rudatis AGH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53568,Cynorkis compacta,Cynorkis,compacta,Rchb.f.,Species,Accepted,NA,625258-1,53568,0,7,"c(30.41667, -30.3)",TRUE
107044,GBIF_10263,Cynorkis uniflora,-18.9425,47.69361,2517414924,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Lindl.,"E of Antananarivo, c. 5 km west of Carion, near the village of Antsahamarina, on the track to Ambatomanga.",NA,MG,NA,1,1995,PRESERVED_SPECIMEN,NA,Botany,WAG.1132121,"Du Puy, DJ; Cribb, PJ; Andriantiana, JL; Ranaivojaona, R M 830",Du Puy DJ; Cribb PJ; Andriantiana JL; Ranaivojaona R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53760,Cynorkis uniflora,Cynorkis,uniflora,Lindl.,Species,Accepted,NA,625312-1,53760,0,6,"c(47.69361, -18.9425)",TRUE
107308,GBIF_10533,Cynorkis flexuosa,-17.92972,48.45361,2517725590,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Lindl.,"EC Madagascar, Toamasina (Tamatave) Province, route from Ambatondrazaka to Didy, (SE of Lac Alaotra).",NA,MG,NA,1,1995,PRESERVED_SPECIMEN,NA,Botany,WAG.1924447,"Du Puy, DJ; Cribb, PJ; Andriantiana, JL; Ranaivojaona, R M 770",Du Puy DJ; Cribb PJ; Andriantiana JL; Ranaivojaona R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53600,Cynorkis flexuosa,Cynorkis,flexuosa,Lindl.,Species,Accepted,NA,625270-1,53600,0,6,"c(48.45361, -17.92972)",TRUE
108102,GBIF_11356,Cynorkis anacamptoides,0.3,6.61667,2517697844,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Kraenzl.,Track Nova Moca (Bon Sucesso) to Calvario. Summit of Calvario.,NA,ST,NA,1,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1132025,"Wilde (WALG), JJFE de; Arends, JC; Groenendijk, EMC 139",Wilde (WALG) JJFE de; Arends JC; Groenendijk EMC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53514,Cynorkis anacamptoides,Cynorkis,anacamptoides,Kraenzl.,Species,Accepted,NA,625332-1,53514,0,8,"c(6.61667, 0.3)",TRUE
110252,GBIF_14128,Cynorkis uniflora,-20.07667,47.01111,439192984,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Lindl.,Ibity,NA,MG,1650,2,2003,PRESERVED_SPECIMEN,MNHN,P,P00692195,without-number,"Andriamihajarivo, T.;Et, al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53760,Cynorkis uniflora,Cynorkis,uniflora,Lindl.,Species,Accepted,NA,625312-1,53760,0,6,"c(47.01111, -20.07667)",TRUE
110259,GBIF_14136,Cynorkis orchioides,-17.95778,44.48667,2423831819,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cynorkis,SPECIES,Schltr.,NA,NA,MG,275,11,2011,PRESERVED_SPECIMEN,MNHN,P,P00931845,without-number,"Gautier, L.;&, al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,53686,Cynorkis orchioides,Cynorkis,orchioides,Schltr.,Species,Accepted,NA,625423-1,53686,0,7,"c(44.48667, -17.95778)",TRUE
