V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114986,GBIF_19203,Cyrtochiloides ochmatochila,9.78,-83.75,2239573226,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Rchb.f.) N.H.Williams & M.W.Chase,"Above Río Taus, Selva.",NA,CR,NA,8,1972,PRESERVED_SPECIMEN,NY,NY,4054608,2749,R. W. Lent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,0,34,"c(-83.75, 9.78)",TRUE
115424,GBIF_19652,Cyrtochiloides ochmatochila,9.834436,-83.906622,2239577140,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Rchb.f.) N.H.Williams & M.W.Chase,from 3 km. SE of Cartago.,NA,CR,NA,8,1967,PRESERVED_SPECIMEN,NY,NY,04054604,4225,J. Taylor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,0,34,"c(-83.906622, 9.834436)",TRUE
137029,GBIF_62526,Cyrtochiloides ochmatochila,-1.4667,-78.8,1632927357,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Lindl.,"Esmeralda-Santo Domingo Road, 44 km S of Esmeralda, on Calabash.",NA,EC,NA,8,1980,PRESERVED_SPECIMEN,USF,Herb,149909,3842,"R. P. Sauleda, M. Ragan, H. Luther, R. Wunderlin, B. Hansen, L. Davenport, J. Wiersema",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,32,1,"c(-78.8, -1.4667)",TRUE
139295,GBIF_64877,Cyrtochiloides ochmatochila,15.097302000000001,-92.141417,1897602255,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,"(Rchb. f.) N.H. Williams & M.W. Chase, 2001",Benito Juarez el Plan,NA,MX,0,9,2007,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,380,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,9,15,"c(-92.141417, 15.097302)",TRUE
151630,GBIF_83242,Cyrtochiloides ochmatochila,9.817385,-83.690547,2239572556,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Rchb.f.) N.H.Williams & M.W.Chase,NA,NA,CR,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,4054607,2749,R. W. Lent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,0,34,"c(-83.690547, 9.817385)",TRUE
174724,GBIF_118032,Cyrtochiloides panduriformis,10.24,-84.16,1258460760,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Ames & C. Schweinf.,"Volcán Poás, Isla Bonita on slopes",NA,CR,NA,7,1947,PRESERVED_SPECIMEN,AMES,Tropicos,1249975,447,G. P. DeWolf;E. H. Taylor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239119,Cyrtochiloides panduriformis,Cyrtochiloides,panduriformis,(Ames & C.Schweinf.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1079852-2,239119,28,9,"c(-84.16, 10.24)",TRUE
189658,GBIF_135488,Cyrtochiloides ochmatochila,-1.6,-80.7,1261378386,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Lindl.,"San Sebastian, Machalilla National Park, ridgetop moist forest.",NA,EC,725,1,1991,PRESERVED_SPECIMEN,MO,Tropicos,663264,72577,Alwyn H. Gentry;Robin B. Foster;Carmen Josse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,32,1,"c(-80.7, -1.6)",TRUE
231813,GBIF_191198,Cyrtochiloides panduriformis,8.85,-82.516667,4031873032,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Ames & C. Schweinf.) N.H. Williams & M.W. Chase,Vicinity of Bajo Chorro.,NA,PA,1900,7,1940,PRESERVED_SPECIMEN,MO,Tropicos,101808466,704,"R. E. Woodson, Jr.;R.W. Schery",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239119,Cyrtochiloides panduriformis,Cyrtochiloides,panduriformis,(Ames & C.Schweinf.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1079852-2,239119,3,15,"c(-82.516667, 8.85)",TRUE
247805,GBIF_212130,Cyrtochiloides ochmatochila,5.6575,-74.181111,1934710176,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,NA,Sin Datos.,NA,CO,NA,9,2007,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,546215,1605,Mariano Ospina H.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,33,1,"c(-74.181111, 5.6575)",TRUE
259826,GBIF_226230,Cyrtochiloides riopalenqueana,-0.58333,-79.36666,4061776006,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Dodson,Río Palenque Biological Station.,NA,EC,220,9,1972,PRESERVED_SPECIMEN,RPSC,Tropicos,101596979,5180,Calaway H. Dodson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239120,Cyrtochiloides riopalenqueana,Cyrtochiloides,riopalenqueana,(Dodson) N.H.Williams & M.W.Chase,Species,Accepted,NA,1047225-2,239120,27,6,"c(-79.36666, -0.58333)",TRUE
263010,GBIF_230136,Cyrtochiloides panduriformis,10.3,-84.8,1258602465,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Ames & C. Schweinf.) N.H. Williams & M.W. Chase,"Monteverde, near Finca Culibri",NA,CR,1500,8,1988,PRESERVED_SPECIMEN,SEL,Tropicos,1380340,88-22,John T. Atwood;William A. Haber,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239119,Cyrtochiloides panduriformis,Cyrtochiloides,panduriformis,(Ames & C.Schweinf.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1079852-2,239119,3,15,"c(-84.8, 10.3)",TRUE
283646,GBIF_264263,Cyrtochiloides riopalenqueana,0.45,-79.54,1261352720,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Dodson,Km 122 on Santo Domingo-Esmeraldas road.,NA,EC,100,9,1980,PRESERVED_SPECIMEN,SEL,Tropicos,636154,10424,Calaway H. Dodson;Carl A. Luer;Jane Luer;Pete Morgan;H. Morgan;Janet Kuhn;A. Perry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239120,Cyrtochiloides riopalenqueana,Cyrtochiloides,riopalenqueana,(Dodson) N.H.Williams & M.W.Chase,Species,Accepted,NA,1047225-2,239120,27,6,"c(-79.54, 0.45)",TRUE
296698,GBIF_295131,Cyrtochiloides ochmatochila,6.828333,-73.27331,3946223914,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Rchb. f.) N.H. Williams & M.W. Chase,Microcuenca El Ramo,NA,CO,1663,9,2013,PRESERVED_SPECIMEN,Universidad del Valle (UniValle),CUVC,63495,7062,E. Méndez-Vargas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,3,15,"c(-73.27331, 6.828333)",TRUE
320671,GBIF_327026,Cyrtochiloides ochmatochila,9.83,-83.89,4060933442,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Rchb. f.,"Cultivated at Las Concavas, note says: """"""""common sp. of Atlantic slope""""""""",NA,CR,NA,6,1928,PRESERVED_SPECIMEN,NA,Tropicos,1249855,972,C. H. Lankester,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,27,4,"c(-83.89, 9.83)",TRUE
350783,GBIF_372477,Cyrtochiloides panduriformis,9.78,-84.01,1258460769,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Ames & C. Schweinf.,San Cristobal Road,NA,CR,8000,5,1928,PRESERVED_SPECIMEN,AMES,Tropicos,1249977,2180,Harvey E. Stork,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239119,Cyrtochiloides panduriformis,Cyrtochiloides,panduriformis,(Ames & C.Schweinf.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1079852-2,239119,28,9,"c(-84.01, 9.78)",TRUE
350988,GBIF_372713,Cyrtochiloides ochmatochila,14.554167,-91.21,1258624071,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Rchb. f.) N.H. Williams & M.W. Chase,Finca Moca,NA,GT,1371.6,10,1934,PRESERVED_SPECIMEN,AMES,Tropicos,1399957,1564,Alexander F. Skutch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,3,15,"c(-91.21, 14.554167)",TRUE
359058,GBIF_384366,Cyrtochiloides ochmatochila,15.41,-92.61,1258574307,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,(Rchb. f.) N.H. Williams & M.W. Chase,"Mt. Ovando, near Escuintla",NA,MX,NA,10,1941,PRESERVED_SPECIMEN,AMO,Tropicos,1354780,6051,Eizi Matuda,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,3,15,"c(-92.61, 15.41)",TRUE
378332,GBIF_415330,Cyrtochiloides ochmatochila,-1.4628,-78.1869,1701752224,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,NA,Ecuador,NA,EC,NA,1,1987,PRESERVED_SPECIMEN,F,Botany,V0434250F,1659,E. A. Christenson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,33,1,"c(-78.1869, -1.4628)",TRUE
383326,GBIF_421594,Cyrtochiloides riopalenqueana,-0.58333,-79.36666,1261368679,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Dodson,Río Palenque Biological Station.,NA,EC,220,9,1973,PRESERVED_SPECIMEN,MO,Tropicos,653272,5371,Calaway H. Dodson;Kiat W. Tan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239120,Cyrtochiloides riopalenqueana,Cyrtochiloides,riopalenqueana,(Dodson) N.H.Williams & M.W.Chase,Species,Accepted,NA,1047225-2,239120,27,6,"c(-79.36666, -0.58333)",TRUE
383670,GBIF_421950,Cyrtochiloides ochmatochila,8.75,-82.25,1261362718,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,Rchb. f.,"Vicinity of Fortuna Dam, along trail across Rio Hornito; forested slopes.",NA,PA,1150,12,1987,PRESERVED_SPECIMEN,MO,Tropicos,646976,11787,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,27,4,"c(-82.25, 8.75)",TRUE
386446,GBIF_426125,Cyrtochiloides ochmatochila,15.73018,-92.965366,2628926530,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochiloides,SPECIES,"(Rchb. f.) N.H. Williams & M.W. Chase, 2001",Finca en El Soconusco,NA,MX,0,NA,without-year,PRESERVED_SPECIMEN,AMO,AMO,12476,without-number,Erik Pohlens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239118,Cyrtochiloides ochmatochila,Cyrtochiloides,ochmatochila,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1094024-2,239118,9,15,"c(-92.965366, 15.73018)",TRUE
