V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104136,GBIF_353,Cyrtochilum ventilabrum,2.59,-76.053,1056437321,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,(Rchb.f. & Warsz.) Kraenzl.,"Near San Andrés, Tierra a Dentro [Tierradentro]; 2000 m",NA,CO,2000,2,1883,PRESERVED_SPECIMEN,NHMUK,BOT,BM000534415,2773,Friedrich Carl Lehmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54653,Cyrtochilum ventilabrum,Cyrtochilum,ventilabrum,(Rchb.f. & Warsz.) Kraenzl.,Species,Accepted,NA,75559-2,54653,0,27,"c(-76.053, 2.59)",TRUE
106792,GBIF_10004,Cyrtochilum meirax,4.85,-75.56667,2517244127,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,Rchb.f.,Risaralda: Mnpio. de Sta. Rosa de Cabal; Al W de Termales de Sta. Rosa Hda. La Gaviota.,NA,CO,NA,11,1985,PRESERVED_SPECIMEN,NA,Botany,U.1462242,"Wolf, J 441",Wolf J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54577,Cyrtochilum meirax,Cyrtochilum,meirax,(Rchb.f.) Dalström,Species,Accepted,NA,1021202-1,54577,11,7,"c(-75.56667, 4.85)",TRUE
114195,GBIF_18392,Cyrtochilum meirax,10.93,-73.97,2251703476,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,(Rchb.f.) Dalström,"Sierra Nevada de Santa Marta, In forest N of finca Los Arroyitos",NA,CO,NA,9,1972,PRESERVED_SPECIMEN,NY,NY,4054707,2226,J. H. Kirkbride Jr.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54577,Cyrtochilum meirax,Cyrtochilum,meirax,(Rchb.f.) Dalström,Species,Accepted,NA,1021202-1,54577,0,18,"c(-73.97, 10.93)",TRUE
114267,GBIF_18464,Cyrtochilum tetracopis,10.9,-73.97,2251712025,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,(Rchb.f.) Kraenzl.,Sierra Nevada de Santa Marta. E of La Finca de Cortes 0.5 km.,NA,CO,NA,8,1972,PRESERVED_SPECIMEN,NY,NY,04054745,1861,J. H. Kirkbride Jr.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54640,Cyrtochilum tetracopis,Cyrtochilum,tetracopis,(Rchb.f.) Kraenzl.,Species,Accepted,NA,75549-2,54640,0,18,"c(-73.97, 10.9)",TRUE
114335,GBIF_18533,Cyrtochilum flexuosum,-0.22,-78.8,2251690850,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,Kunth,"Reserva Florística-Ecológica """"""""Rio Guajalito"""""""", Km. 59 de la carretera antigua Quito-Sto. Domingo de los Colorados, Faldas al oeste del Volcán Pichincha",NA,EC,NA,5,1988,PRESERVED_SPECIMEN,NY,NY,04054674,3714,V. Zak,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54528,Cyrtochilum flexuosum,Cyrtochilum,flexuosum,Kunth,Species,Accepted,NA,316853-2,54528,0,5,"c(-78.8, -0.22)",TRUE
114505,GBIF_18706,Cyrtochilum pardinum,-2.917677,-79.075314,2382917240,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,(Lindl.) Lindl.,Cuenca. Parroquia Banos. Hacienda Yanasacha,NA,EC,3100,8,1978,PRESERVED_SPECIMEN,NY,NY,04109735,2611,J. D. Boeke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54598,Cyrtochilum pardinum,Cyrtochilum,pardinum,Lindl.,Species,Accepted,NA,321442-2,54598,9,6,"c(-79.075314, -2.917677)",TRUE
114870,GBIF_19081,Cyrtochilum tetraplasium,-10.02,-76.18,2382930359,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,Rchb.f.,"9 km SSE of Huánuco, 1.8 km SE of Yaca;",NA,PE,NA,4,1965,PRESERVED_SPECIMEN,NY,NY,04109801,1184,R. M. Bird,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54641,Cyrtochilum tetraplasium,Cyrtochilum,tetraplasium,(Rchb.f.) Dalström,Species,Accepted,NA,1021214-1,54641,11,7,"c(-76.18, -10.02)",TRUE
114972,GBIF_19188,Cyrtochilum aureum,-13.885664,-70.472892,2382932352,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,(Lindl.) Garay,10 km south of Ollachea,NA,PE,NA,8,1980,PRESERVED_SPECIMEN,NY,NY,4109658,2975,J. D. Boeke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54485,Cyrtochilum aureum,Cyrtochilum,aureum,(Lindl.) Senghas,Species,Accepted,NA,999949-1,54485,6,9,"c(-70.472892, -13.885664)",TRUE
115016,GBIF_19234,Cyrtochilum ringens,-16.32,-67.88,2382934881,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,Rchb.f.,3.1 km SE of Unduavi bridge (below) on old road.,NA,BO,NA,11,1982,PRESERVED_SPECIMEN,NY,NY,04109797,8696,J. C. Solomon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54620,Cyrtochilum ringens,Cyrtochilum,ringens,(Rchb.f.) Dalström,Species,Accepted,NA,1021210-1,54620,11,7,"c(-67.88, -16.32)",TRUE
115174,GBIF_19397,Cyrtochilum tetraplasium,-16.13,-68.08,2382915083,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtochilum,SPECIES,Rchb.f.,23.2 km below dam at Lago Zongo. Valle del Zongo,NA,BO,NA,3,1984,PRESERVED_SPECIMEN,NY,NY,4109805,11948,J. C. Solomon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54641,Cyrtochilum tetraplasium,Cyrtochilum,tetraplasium,(Rchb.f.) Dalström,Species,Accepted,NA,1021214-1,54641,11,7,"c(-68.08, -16.13)",TRUE
