V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
62,ALA_67,Cyrtostylis reniformis,-42.35,147.866667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,Little Swanport Private Forest Reserve,Australia,AU,300,9,2004,PRESERVED_SPECIMEN,HO,HO,HO537699,46,"Daley, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147.866667, -42.35)",TRUE
92,ALA_100,Cyrtostylis reniformis,-41,147.383333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,Bridport,Australia,AU,NA,6,1946,PRESERVED_SPECIMEN,HO,HO,HO56635,s.n.,"Hart, M.P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147.383333, -41)",TRUE
144,ALA_159,Cyrtostylis reniformis,-42.983333,147,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,Mt Misery,Australia,AU,300,10,1931,PRESERVED_SPECIMEN,HO,HO,HO105761,784,"Long, F.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147, -42.983333)",TRUE
146,ALA_161,Cyrtostylis reniformis,-41.45,147.15,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,Launceston,Australia,AU,NA,9,1951,PRESERVED_SPECIMEN,HO,HO,HO56581,s.n.,"Burns, T.E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147.15, -41.45)",TRUE
158,ALA_174,Cyrtostylis reniformis,-41.533333,147.183333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,Breadalbane,Australia,AU,NA,9,1892,PRESERVED_SPECIMEN,HO,HO,HO511475,2627,"Simson, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147.183333, -41.533333)",TRUE
372,ALA_411,Cyrtostylis reniformis,-41.233333,147,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,"Hillwood, Launceston",Australia,AU,NA,9,1959,PRESERVED_SPECIMEN,HO,HO,HO56594,64,"Burns, T.E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147, -41.233333)",TRUE
442,ALA_490,Cyrtostylis reniformis,-42.8671868,147.407493,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,"Knopwood Hill, Howrah",Australia,AU,190,9,1988,PRESERVED_SPECIMEN,HO,HO,HO118949,3335,"Collier, P.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147.407493, -42.8671868)",TRUE
508,ALA_563,Cyrtostylis reniformis,-41.316667,148.25,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,Georges Bay,Australia,AU,NA,8,1875,PRESERVED_SPECIMEN,HO,HO,HO511477,42,"Simson, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(148.25, -41.316667)",TRUE
548,ALA_614,Cyrtostylis reniformis,-42.349944,147.917694,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,"“Wind Song” property, Little Swanport, Callitris Gully.",Australia,AU,40,9,2018,PRESERVED_SPECIMEN,HO,HO,HO594423,2034,"de Salas, M.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147.917694, -42.349944)",TRUE
556,ALA_624,Cyrtostylis robusta,-41.250833,148.300278,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,D.L.Jones & M.A.Clem.,Betweem Grants Lagoon and Binalong Bay beach (E side of track).,Australia,AU,2,7,2020,PRESERVED_SPECIMEN,HO,HO,HO602439,2901,"Wapstra, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54926,Cyrtostylis robusta,Cyrtostylis,robusta,D.L.Jones & M.A.Clem.,Species,Accepted,NA,933210-1,54926,0,21,"c(148.300278, -41.250833)",TRUE
620,ALA_694,Cyrtostylis reniformis,-42.3691695,147.8864223,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,N of Dunraven Creek,Australia,AU,200,7,1985,PRESERVED_SPECIMEN,HO,HO,HO500597,1126,"Duncan, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(147.8864223, -42.3691695)",TRUE
627,ALA_702,Cyrtostylis robusta,-41.011694,147.169806,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,D.L.Jones & M.A.Clem.,"Bellingham, Gees Marsh Road",Australia,AU,4,8,2008,PRESERVED_SPECIMEN,HO,HO,HO548767,293,"Janes, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54926,Cyrtostylis robusta,Cyrtostylis,robusta,D.L.Jones & M.A.Clem.,Species,Accepted,NA,933210-1,54926,0,21,"c(147.169806, -41.011694)",TRUE
629,ALA_706,Cyrtostylis robusta,-42.135778,148.300475,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,D.L.Jones & M.A.Clem.,"Freycinet Lodge, Freycinet National Park.",Australia,AU,10,7,2016,PRESERVED_SPECIMEN,HO,HO,HO585466,2353,"Wapstra, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54926,Cyrtostylis robusta,Cyrtostylis,robusta,D.L.Jones & M.A.Clem.,Species,Accepted,NA,933210-1,54926,0,21,"c(148.300475, -42.135778)",TRUE
649,ALA_727,Cyrtostylis reniformis,-41.271469,146.4121,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Cyrtostylis,species,R.Br.,Henry Somerset [Orchid] Conservation Area.,Australia,AU,57,9,2014,PRESERVED_SPECIMEN,HO,HO,HO581320,2033,"Wapstra, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54923,Cyrtostylis reniformis,Cyrtostylis,reniformis,R.Br.,Species,Accepted,NA,626431-1,54923,0,5,"c(146.4121, -41.271469)",TRUE
