V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104099,GBIF_316,Dendrolirium ornatum,-0.54,114.2787,1055773098,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,(Blume) Lindl.,NA,NA,ID,NA,5,1932,PRESERVED_SPECIMEN,NHMUK,BOT,BM000506622,29676,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,60004,Dendrolirium ornatum,Dendrolirium,ornatum,Blume,Species,Accepted,NA,629332-1,60004,9,5,"c(114.2787, -0.54)",TRUE
122638,GBIF_43931,Dendrolirium lasiopetalum,10.41667,99.08333,2513798125,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,(Blume) Lindl.,"Siam, Chumpawn.",NA,TH,NA,1,1927,PRESERVED_SPECIMEN,NA,Botany,L.1499960,"Kerr, AFG 351",Kerr AFG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462909,Dendrolirium lasiopetalum,Dendrolirium,lasiopetalum,(Willd.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104574-1,462909,22,2,"c(99.08333, 10.41667)",TRUE
123350,GBIF_44695,Dendrolirium ornatum,10.411,123.1328,2513808286,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,(Blume) Lindl.,"Philippines, Negros Occidental, Kinabkaban River, Canlaon Volcano.",NA,PH,NA,3,1954,PRESERVED_SPECIMEN,NA,Botany,L.1510603,"Edaño, GE PNH 21755",Edaño GE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,60004,Dendrolirium ornatum,Dendrolirium,ornatum,Blume,Species,Accepted,NA,629332-1,60004,9,5,"c(123.1328, 10.411)",TRUE
123351,GBIF_44696,Dendrolirium ornatum,16.2838,121.0896,2513807920,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,(Blume) Lindl.,"Vicinity of Dupax, Province of Nueva Vizcaya, Luzon.",NA,PH,NA,3,1912,PRESERVED_SPECIMEN,NA,Botany,L.1510605,"McGregor, RC BS 11131",McGregor RC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,60004,Dendrolirium ornatum,Dendrolirium,ornatum,Blume,Species,Accepted,NA,629332-1,60004,9,5,"c(121.0896, 16.2838)",TRUE
123368,GBIF_44718,Dendrolirium lasiopetalum,-1.51667,120.21667,2513809171,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,(Willd.) Ormerod,"5 km beyond Wanga Village, Napu Subdistrict, Poso District.",NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1511457,Hort Bot Singapore SBGO 1938,Hort Bot Singapore,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462909,Dendrolirium lasiopetalum,Dendrolirium,lasiopetalum,(Willd.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104574-1,462909,16,9,"c(120.21667, -1.51667)",TRUE
125271,GBIF_46733,Dendrolirium tomentosum,18.516726,110.029085,1303972343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,NA,保亭至铜甲,NA,CN,NA,NA,1932,PRESERVED_SPECIMEN,IBSC,NA,00f064a9-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462934,Dendrolirium tomentosum,Dendrolirium,tomentosum,(J.Koenig) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104572-1,462934,30,-1,"c(110.029085, 18.516726)",TRUE
125274,GBIF_46736,Dendrolirium tomentosum,18.252625,109.511923,1303972389,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,NA,洋淋,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00f06591-b6c0-11e1-8c2f-acd112e444a7,without-number,侯宽昭,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462934,Dendrolirium tomentosum,Dendrolirium,tomentosum,(J.Koenig) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104572-1,462934,30,-1,"c(109.511923, 18.252625)",TRUE
125680,GBIF_47226,Dendrolirium lasiopetalum,18.252013,109.504134,1303972255,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,NA,横婆坡黎村之西,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,IBSC,NA,00f08614-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462909,Dendrolirium lasiopetalum,Dendrolirium,lasiopetalum,(Willd.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104574-1,462909,28,-1,"c(109.504134, 18.252013)",TRUE
125683,GBIF_47229,Dendrolirium lasiopetalum,18.516726,110.029085,1303972345,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,NA,铜甲文化之间,NA,CN,NA,NA,1932,PRESERVED_SPECIMEN,IBSC,NA,00f06ea4-b6c0-11e1-8c2f-acd112e444a7,without-number,左景烈、陈念劬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462909,Dendrolirium lasiopetalum,Dendrolirium,lasiopetalum,(Willd.) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104574-1,462909,28,-1,"c(110.029085, 18.516726)",TRUE
125684,GBIF_47230,Dendrolirium tomentosum,22.929376,112.044025,1303972354,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrolirium,SPECIES,NA,罗石村,NA,CN,NA,NA,1928,PRESERVED_SPECIMEN,IBSC,NA,00f06f8d-b6c0-11e1-8c2f-acd112e444a7,without-number,黄季荘,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462934,Dendrolirium tomentosum,Dendrolirium,tomentosum,(J.Koenig) S.C.Chen & J.J.Wood,Species,Accepted,NA,77104572-1,462934,30,-1,"c(112.044025, 22.929376)",TRUE
