V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
112399,GBIF_16447,Dendrophylax varius,20.416978,-75.462953,473281138,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(J.F. Gmelin) Urban,Loma del Gato,NA,CU,NA,12,1919,PRESERVED_SPECIMEN,UdeM,MT,MT00115817,196,"Clément José, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,60157,Dendrophylax varius,Dendrophylax,varius,(Aubl.) Urb.,Species,Accepted,NA,77827-2,60157,12,5,"c(-75.462953, 20.416978)",TRUE
114406,GBIF_18605,Dendrophylax porrectus,27.956831,-82.408572,1928575603,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.f.) Carlsward & Whitten,Cypress head near Flora,NA,US,NA,1,1925,PRESERVED_SPECIMEN,NY,NY,01392350,11624,J. K. Small,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,239250,Dendrophylax porrectus,Dendrophylax,porrectus,(Rchb.f.) Carlsward & Whitten,Species,Accepted,NA,20011416-1,239250,0,29,"c(-82.408572, 27.956831)",TRUE
115155,GBIF_19377,Dendrophylax sallei,18.921703,-70.729947,1929060184,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.f.) Carlsward & Whitten,Prope Constanza.,NA,DO,NA,5,1910,PRESERVED_SPECIMEN,NY,NY,59636,3251,H. von Türckheim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,60155,Dendrophylax sallei,Dendrophylax,sallei,(Rchb.f.) Benth. ex Rolfe,Species,Accepted,NA,1063291-2,60155,17,10,"c(-70.729947, 18.921703)",TRUE
136930,GBIF_62423,Dendrophylax porrectus,28.1592,-82.3981,1676085676,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb. f.) Fawc. & Rendle,Cypress Creek Preserve.,NA,US,NA,2,2017,PRESERVED_SPECIMEN,USF,Herb,293289,636,"J. R. Campbell, S. Dickman",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239250,Dendrophylax porrectus,Dendrophylax,porrectus,(Rchb.f.) Carlsward & Whitten,Species,Accepted,NA,20011416-1,239250,14,6,"c(-82.3981, 28.1592)",TRUE
137985,GBIF_63509,Dendrophylax porrectus,29.0283,-81.3031,2872930307,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.) Carlsward & Whitten,"438 W University Avenue, SE corner of Adell and University, DeLand.",NA,US,NA,5,2019,PRESERVED_SPECIMEN,USF,Herb,300649,s.n.,T. Upchurch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239250,Dendrophylax porrectus,Dendrophylax,porrectus,(Rchb.f.) Carlsward & Whitten,Species,Accepted,NA,20011416-1,239250,2,22,"c(-81.3031, 29.0283)",TRUE
137987,GBIF_63511,Dendrophylax porrectus,26.6731,-81.4206,1802484927,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.) Carlsward & Whitten,Spirit of the Wild Wildlife Management Area.,NA,US,NA,1,2017,PRESERVED_SPECIMEN,USF,Herb,295830,s.n.,"M. Smith, K. Gulledge",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239250,Dendrophylax porrectus,Dendrophylax,porrectus,(Rchb.f.) Carlsward & Whitten,Species,Accepted,NA,20011416-1,239250,2,22,"c(-81.4206, 26.6731)",TRUE
138363,GBIF_63905,Dendrophylax porrectus,19.6319,-71.6478,1503203320,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.) Carlsward & Whitten,4 km N of Guanito.,NA,DO,NA,8,1982,PRESERVED_SPECIMEN,USF,Herb,167136,7582,"R. P. Sauleda, D.K. Sauleda, M.E. Ragan, D.D. Dodd",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239250,Dendrophylax porrectus,Dendrophylax,porrectus,(Rchb.f.) Carlsward & Whitten,Species,Accepted,NA,20011416-1,239250,2,22,"c(-71.6478, 19.6319)",TRUE
138975,GBIF_64546,Dendrophylax porrectus,27.8656,-82.1569,3336447306,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.) Carlsward & Whitten,"Alderman's Ford Nature Preserve, Lithia; cedar grove N of Thompson Road.",NA,US,NA,9,2016,PRESERVED_SPECIMEN,USF,Herb,302198,1634,S. Dickman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239250,Dendrophylax porrectus,Dendrophylax,porrectus,(Rchb.f.) Carlsward & Whitten,Species,Accepted,NA,20011416-1,239250,2,22,"c(-82.1569, 27.8656)",TRUE
139048,GBIF_64622,Dendrophylax porrectus,18.6717,-68.7413,1503203305,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.) Carlsward & Whitten,"Bánica, on Cerro San Francisco, 0.5 km from Bánica.",NA,DO,NA,8,1982,PRESERVED_SPECIMEN,USF,Herb,167138,7604,"R. P. Sauleda, D.K. Sauleda, M.E. Ragan, D.D. Dodd",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239250,Dendrophylax porrectus,Dendrophylax,porrectus,(Rchb.f.) Carlsward & Whitten,Species,Accepted,NA,20011416-1,239250,2,22,"c(-68.7413, 18.6717)",TRUE
143101,GBIF_68966,Dendrophylax sallei,18.53,-70.38,1930924475,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrophylax,SPECIES,(Rchb.f.) Carlsward & Whitten,"30 km. E of San José de Ocoa on La Laguna road in Cañada de la Majaguita, Sección El Rosalito (de San José de Ocoa), margin of Río Nizao.",NA,DO,NA,9,1981,PRESERVED_SPECIMEN,NY,NY,59641,16439,M. M. Mejía Pimentel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,60155,Dendrophylax sallei,Dendrophylax,sallei,(Rchb.f.) Benth. ex Rolfe,Species,Accepted,NA,1063291-2,60155,17,10,"c(-70.38, 18.53)",TRUE
