V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106955,GBIF_10171,Diaphananthe lecomtei,1.13167,13.10333,2515738762,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,VARIETY,NA,"west bank Ovindo river across c. 4 km, opposite Mayibout I, 12 km from Bélinga.",NA,GA,NA,10,1987,PRESERVED_SPECIMEN,NA,Botany,WAG0137261,"Louis, AM; Sterck, FJ; Elias, AA 2435",Louis AM; Sterck FJ; Elias AA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,472175,Diaphananthe lecomtei,Diaphananthe,lecomtei,(Finet) P.J.Cribb & Carlsward,Species,Accepted,NA,77123391-1,472175,29,-1,"c(13.10333, 1.13167)",TRUE
106956,GBIF_10172,Diaphananthe ichneumonea,0.66667,10.46667,2515650195,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Lindl.) Schltr.,"Crystal mountains, 9 km NE of Tchimbélé.",NA,GA,NA,12,1989,PRESERVED_SPECIMEN,NA,Botany,WAG0137263,"Wieringa, JJ 277",Wieringa JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,472173,Diaphananthe ichneumonea,Diaphananthe,ichneumonea,(Lindl.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123389-1,472173,19,9,"c(10.46667, 0.66667)",TRUE
106974,GBIF_10190,Diaphananthe pellucida,5.41667,-4.06667,2517634493,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Lindl.) Schltr.,"Banco Forest Reserve, Route du Rail.",NA,CI,NA,11,1974,PRESERVED_SPECIMEN,NA,Botany,WAG0139665,"Koning, J de 4677",Koning J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,60607,Diaphananthe pellucida,Diaphananthe,pellucida,(Lindl.) Schltr.,Species,Accepted,NA,629540-1,60607,0,16,"c(-4.06667, 5.41667)",TRUE
107039,GBIF_10258,Diaphananthe odoratissima,5.3,-6,2517451955,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Rchb.f.) Schltr.,"c. 60 km N of Sassandra, left bank of Davo River, E of Béyo.",NA,CI,NA,1,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1131944,"Leeuwenberg, AJM 2585",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,472177,Diaphananthe odoratissima,Diaphananthe,odoratissima,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123393-1,472177,19,10,"c(-6, 5.3)",TRUE
107040,GBIF_10259,Diaphananthe odoratissima,7.3,-7.73333,2517260149,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Rchb.f.) Schltr.,NA,NA,CI,NA,10,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1131946,"Burg, WJ van der 1159",Burg WJ van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,472177,Diaphananthe odoratissima,Diaphananthe,odoratissima,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123393-1,472177,19,10,"c(-7.73333, 7.3)",TRUE
107070,GBIF_10291,Diaphananthe bidens,4.58333,13.73333,2517708884,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Afzel. ex Sw.) Schltr.,"Bertoua, 5 km along road to Batouri, before junction of road to Bétaré Oya.",NA,CM,NA,8,1961,PRESERVED_SPECIMEN,NA,Botany,WAG.1134668,"Breteler, FJ 1793",Breteler FJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,60563,Diaphananthe bidens,Diaphananthe,bidens,(Afzel. ex Sw.) Schltr.,Species,Accepted,NA,629505-1,60563,0,23,"c(13.73333, 4.58333)",TRUE
107071,GBIF_10292,Diaphananthe bidens,5.81667,-0.28333,2515815135,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Afzel. ex Sw.) Schltr.,"Nsawam to Aburi road, c. 1/3 way.",NA,GH,NA,4,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1134729,"Morton, JK A 3648",Morton JK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,60563,Diaphananthe bidens,Diaphananthe,bidens,(Afzel. ex Sw.) Schltr.,Species,Accepted,NA,629505-1,60563,0,23,"c(-0.28333, 5.81667)",TRUE
107072,GBIF_10293,Diaphananthe fragrantissima,5.46667,10.56667,2515694498,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Rchb.f.) Schltr.,Institut de Cultures Perennes (I.C.P.) just passing the bridge crossing the Moun River on the road from Bafoussam - Foumbot. Hill overlooking the area around.,NA,CM,NA,10,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1134750,"Wilde, JJFE de 8545",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,60582,Diaphananthe fragrantissima,Diaphananthe,fragrantissima,(Rchb.f.) Schltr.,Species,Accepted,NA,629520-1,60582,0,17,"c(10.56667, 5.46667)",TRUE
107073,GBIF_10294,Diaphananthe pellucida,2.91667,10.8,2515806635,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Lindl.) Schltr.,"Mvila, Nyangong, Bingalanda mountains, TCP Ecol 1 plot N24.",NA,CM,NA,11,1999,PRESERVED_SPECIMEN,NA,Botany,WAG.1134769,"Shu Neba, G X 6787",Shu Neba G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,60607,Diaphananthe pellucida,Diaphananthe,pellucida,(Lindl.) Schltr.,Species,Accepted,NA,629540-1,60607,0,16,"c(10.8, 2.91667)",TRUE
107074,GBIF_10295,Diaphananthe pellucida,5.38333,-4.05,2515815136,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Lindl.) Schltr.,Banco Forest Reserve.,NA,CI,NA,12,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1134790,"Koning, J de 4952",Koning J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,60607,Diaphananthe pellucida,Diaphananthe,pellucida,(Lindl.) Schltr.,Species,Accepted,NA,629540-1,60607,0,16,"c(-4.05, 5.38333)",TRUE
107075,GBIF_10296,Diaphananthe pellucida,6.36667,-4.88333,2515713040,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diaphananthe,SPECIES,(Lindl.) Schltr.,Oroumba Boca.,NA,CI,NA,2,1963,PRESERVED_SPECIMEN,NA,Botany,WAG.1134792,"Wit, HCD de s.n.",Wit HCD de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,60607,Diaphananthe pellucida,Diaphananthe,pellucida,(Lindl.) Schltr.,Species,Accepted,NA,629540-1,60607,0,16,"c(-4.88333, 6.36667)",TRUE
