V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113426,GBIF_17591,Dichromanthus aurantiacus,19.939444,-104.181111,1893971823,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Lindl., 1840","La Soledad, 5-6 km al O de Unión de Tula",NA,MX,800,7,1995,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,17855,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239467,Dichromanthus aurantiacus,Dichromanthus,aurantiacus,(Lex.) Salazar & Soto Arenas,Species,Accepted,NA,1198652-2,239467,20,7,"c(-104.181111, 19.939444)",TRUE
113528,GBIF_17703,Dichromanthus aurantiacus,19.491667,-103.975,1893974685,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Hemsl., 1884","La Antena, Cerro Grande, 5 km NNO de El Terrero",NA,MX,1280,7,1992,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16541,without-number,José Antonio Vázquez García; Alicia Leinberger; Leticia Hernández López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239467,Dichromanthus aurantiacus,Dichromanthus,aurantiacus,(Lex.) Salazar & Soto Arenas,Species,Accepted,NA,1198652-2,239467,20,7,"c(-103.975, 19.491667)",TRUE
113548,GBIF_17726,Dichromanthus aurantiacus,19.591667,-104.291667,1893974771,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Hemsl., 1884","Tierritas Blancas, Estación Científica Las Joyas",NA,MX,1000,9,1985,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1136,without-number,Rafael Soltero Quintana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239467,Dichromanthus aurantiacus,Dichromanthus,aurantiacus,(Lex.) Salazar & Soto Arenas,Species,Accepted,NA,1198652-2,239467,20,7,"c(-104.291667, 19.591667)",TRUE
113671,GBIF_17859,Dichromanthus aurantiacus,19.625,-104.275,1893974835,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Hemsl., 1884","Las Mantequillas, Estación Científica Las Joyas",NA,MX,800,8,1986,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1086,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239467,Dichromanthus aurantiacus,Dichromanthus,aurantiacus,(Lex.) Salazar & Soto Arenas,Species,Accepted,NA,1198652-2,239467,20,7,"c(-104.275, 19.625)",TRUE
128163,GBIF_52792,Dichromanthus aurantiacus,19.4871661,-98.846064,4168470711,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Hemsl., 1884","6 Km al SE de Texcoco, ca. 0.5 Km al SE de Huexotla, sobre el camino hacia la mina de arena",NA,MX,1150,9,1977,PRESERVED_SPECIMEN,CP,CHAPA,37679,without-number,J. García P.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239467,Dichromanthus aurantiacus,Dichromanthus,aurantiacus,(Lex.) Salazar & Soto Arenas,Species,Accepted,NA,1198652-2,239467,20,7,"c(-98.846064, 19.4871661)",TRUE
128180,GBIF_52809,Dichromanthus aurantiacus,16.841667,-92.458333,3307558777,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Hemsl., 1884",Paraje of Mahben Chauk. Mpio. Tenejapa,NA,MX,495,7,1964,PRESERVED_SPECIMEN,CAS,CAS,5796,without-number,D. E. Breedlove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,239467,Dichromanthus aurantiacus,Dichromanthus,aurantiacus,(Lex.) Salazar & Soto Arenas,Species,Accepted,NA,1198652-2,239467,20,7,"c(-92.458333, 16.841667)",TRUE
128182,GBIF_52811,Dichromanthus cinnabarinus,19.4871101,-98.8510411,1893405907,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Hemsl., 1884","Area Experimental Forestal 'La Siberia', 2 km al oriente de San Luis Huexotla.",NA,MX,1160,10,1979,PRESERVED_SPECIMEN,UACh,CHAP,43280,without-number,E. Guízar N.; Col.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,61360,Dichromanthus cinnabarinus,Dichromanthus,cinnabarinus,(Lex.) Garay,Species,Accepted,NA,79614-2,61360,12,7,"c(-98.8510411, 19.4871101)",TRUE
128195,GBIF_52824,Dichromanthus cinnabarinus,17.925,-96.408333,1893415687,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Lindl., 1840",3.4 mi E of Mitla Jct. along hwy. 190,NA,MX,847.5,8,1975,PRESERVED_SPECIMEN,SDNHM,SD,37945,without-number,Wallace; Dunn; Ledoux,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,61360,Dichromanthus cinnabarinus,Dichromanthus,cinnabarinus,(Lex.) Garay,Species,Accepted,NA,79614-2,61360,12,7,"c(-96.408333, 17.925)",TRUE
128201,GBIF_52831,Dichromanthus cinnabarinus,16.741667,-92.641667,3307558493,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,"(Lex.) Hemsl., 1884","Cerro San Cristóbal in San Cristóbal las Casas, Municipio of San Cristóbal las Casas",NA,MX,1080,10,1965,PRESERVED_SPECIMEN,CAS,CAS,17944,without-number,D. E. Breedlove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,61360,Dichromanthus cinnabarinus,Dichromanthus,cinnabarinus,(Lex.) Garay,Species,Accepted,NA,79614-2,61360,12,7,"c(-92.641667, 16.741667)",TRUE
130057,GBIF_54748,Dichromanthus cinnabarinus,23.66666,-99.68333,1259335112,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dichromanthus,SPECIES,(Lex.) Garay,"On top of broad flat mt. 22 kilo. SE of Miquihuana. Scattered Agave, Rhus, many grasses and herbaceous compositae.",NA,MX,2500,8,1941,PRESERVED_SPECIMEN,MO,Tropicos,2059925,875,L.R. Stanford;K.L. Retherford;R.D. Northcraft,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61360,Dichromanthus cinnabarinus,Dichromanthus,cinnabarinus,(Lex.) Garay,Species,Accepted,NA,79614-2,61360,0,12,"c(-99.68333, 23.66666)",TRUE
