V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
25984,ALA_38077,Didymoplexis pallens,-15.9,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,NA,Australia,AU,NA,1,1993,PRESERVED_SPECIMEN,CANB,CANB,CANB 669395.1,s.n.,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(145.2, -15.9)",TRUE
29001,ALA_44098,Didymoplexis pallens,-12.8,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,NA,Australia,AU,NA,12,1988,PRESERVED_SPECIMEN,CANB,CANB,CANB 738010.1,34,"Lawler, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(143.3, -12.8)",TRUE
29517,ALA_45114,Didymoplexis pallens,-16.9,145.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,NA,Australia,AU,NA,2,2004,PRESERVED_SPECIMEN,CANB,CANB,CANB 599481.2,8888,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(145.6, -16.9)",TRUE
31253,ALA_48675,Didymoplexis pallens,-12.5,135.15,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,"19 km N of Mirrngadja, Arnhemland.",Australia,AU,NA,11,1987,PRESERVED_SPECIMEN,CANB,CANB,CANB 383246.1,1552,"Leach, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(135.15, -12.5)",TRUE
48932,ALA_72502,Didymoplexis pallens,-16.2,125.4,dr15863,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,NA,Australia,AU,NA,12,1995,PRESERVED_SPECIMEN,PERTH,PERTH,PERTH 8042314,RLB 633,"Barrett, R.L.; Barrett, M.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(125.4, -16.2)",TRUE
49050,ALA_72633,Didymoplexis pallens,-16.2,125.4,dr15863,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,NA,Australia,AU,NA,1,2001,PRESERVED_SPECIMEN,PERTH,PERTH,PERTH 8042322,RLB 1644,"Barrett, R.L.; Dixon, K.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(125.4, -16.2)",TRUE
52413,ALA_76536,Didymoplexis pallens,-16,125.3,dr15863,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,NA,Australia,AU,NA,12,1994,PRESERVED_SPECIMEN,PERTH,PERTH,PERTH 5197325,RLB 948,"Barrett, R.L.; Barrett, M.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(125.3, -16)",TRUE
70304,ALA_97716,Didymoplexis pallens,-12.91116,131.65079,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,"Bamboo Walk, along banks of Mary River, near Mary River crossing Arnhem Hwy",Australia,AU,NA,12,2003,PRESERVED_SPECIMEN,DNA,DNA,DNA D0160665,687,Ian Donald Cowie | Raelee Ann Kerrigan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(131.65079, -12.91116)",TRUE
70478,ALA_98028,Didymoplexis pallens,-13.166667,130.166667,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,Channel Pt.,Australia,AU,NA,11,1990,PRESERVED_SPECIMEN,DNA,DNA,DNA D0222072,8369,D. Lucas | Jeremy Russell-Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(130.166667, -13.166667)",TRUE
70513,ALA_98094,Didymoplexis pallens,-12.0964,134.1936,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Didymoplexis,species,Griff.,"Near Liverpool River; 2nd Barge, c 30 km from Maningrida on RHS of road approaching old barge landing",Australia,AU,NA,10,2007,PRESERVED_SPECIMEN,DNA,DNA,DNA D0183477,1,Deborah Bisa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61658,Didymoplexis pallens,Didymoplexis,pallens,Griff.,Species,Accepted,NA,629745-1,61658,0,6,"c(134.1936, -12.0964)",TRUE
