V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104088,GBIF_305,Dilochia cantleyi,1.2361,114.4858,1055783920,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Hook.f.) Ridl.,NA,NA,ID,NA,9,1958,PRESERVED_SPECIMEN,NHMUK,BOT,BM000091444,A18,S Collenette,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61847,Dilochia cantleyi,Dilochia,cantleyi,(Hook.f.) Ridl.,Species,Accepted,NA,629775-1,61847,0,15,"c(114.4858, 1.2361)",TRUE
106311,GBIF_9503,Dilochia cantleyi,1.13333,110.21667,3353000391,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Hook.f.) Ridl.,G. Penrissen.,NA,MY,NA,3,1997,PRESERVED_SPECIMEN,NA,Botany,L.4405351,"Roelfsema, T; Schuiteman, A; Vogel, APTM s.n.",Roelfsema T; Schuiteman A; Vogel APTM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61847,Dilochia cantleyi,Dilochia,cantleyi,(Hook.f.) Ridl.,Species,Accepted,NA,629775-1,61847,0,15,"c(110.21667, 1.13333)",TRUE
106548,GBIF_9746,Dilochia rigida,5.83333,116.33333,2513801657,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Ridl.) J.J.Wood,West Coast Resid. Mt. Alab S ridgeleading towards the top.,NA,MY,NA,10,1986,PRESERVED_SPECIMEN,NA,Botany,L.1503222,"Vogel, EF de 8089",Vogel EF de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61854,Dilochia rigida,Dilochia,rigida,(Ridl.) J.J.Wood,Species,Accepted,NA,971371-1,61854,0,16,"c(116.33333, 5.83333)",TRUE
107541,GBIF_10771,Dilochia longilabris,1.86667,116.18333,2513799459,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,J.J.Sm.,Bij de Kemoel.,NA,ID,NA,9,1925,PRESERVED_SPECIMEN,NA,Botany,L.1503217,"Endert, FH 3597",Endert FH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61851,Dilochia longilabris,Dilochia,longilabris,J.J.Sm.,Species,Accepted,NA,629779-1,61851,0,7,"c(116.18333, 1.86667)",TRUE
107543,GBIF_10773,Dilochia cantleyi,4.46667,115.71667,2513800887,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Hook.f.) Ridl.,Lower slope of Bukit Ramau approx. 6 km N of Long Miau,NA,MY,NA,4,2000,PRESERVED_SPECIMEN,NA,Botany,L.1503280,"Lim, SP SAN 143205",Lim SP,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61847,Dilochia cantleyi,Dilochia,cantleyi,(Hook.f.) Ridl.,Species,Accepted,NA,629775-1,61847,0,15,"c(115.71667, 4.46667)",TRUE
107838,GBIF_11085,Dilochia cantleyi,1.13333,110.21667,2514224332,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Hook.f.) Ridl.,"Malaysia. Sarawak, 1st Div., G. Penrissen. Hort Leiden. Flowering in greenhouse 8.",NA,MY,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.2105805,"Roelfsema, T; Schuiteman, A; Vogel, APTM 970067",Roelfsema T; Schuiteman A; Vogel APTM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61847,Dilochia cantleyi,Dilochia,cantleyi,(Hook.f.) Ridl.,Species,Accepted,NA,629775-1,61847,0,15,"c(110.21667, 1.13333)",TRUE
122665,GBIF_43961,Dilochia cantleyi,4.3,115.31667,2513800095,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Hook.f.) Ridl.,"summit of bukit pagon kecil b. pagon periuk, limbang 5th division",NA,MY,NA,8,1984,PRESERVED_SPECIMEN,NA,Botany,L.1503203,"Awa, D; Lee Meng Hock, B S 47749",Awa D; Lee Meng Hock B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61847,Dilochia cantleyi,Dilochia,cantleyi,(Hook.f.) Ridl.,Species,Accepted,NA,629775-1,61847,0,15,"c(115.31667, 4.3)",TRUE
122666,GBIF_43962,Dilochia cantleyi,4.55,116.31667,2513800748,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Hook.f.) Ridl.,NA,NA,MY,NA,1,1994,PRESERVED_SPECIMEN,NA,Botany,L.1503205,Fidilis Krispinus SAN 136755,Fidilis Krispinus,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61847,Dilochia cantleyi,Dilochia,cantleyi,(Hook.f.) Ridl.,Species,Accepted,NA,629775-1,61847,0,15,"c(116.31667, 4.55)",TRUE
123644,GBIF_45012,Dilochia rigida,4.05,115.78333,2515726896,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Ridl.) J.J.Wood,"Kalimantan Timur: Gunung (Mt.) Buduk Rakik, north of Long Bawan, Krayan.",NA,ID,NA,8,1981,PRESERVED_SPECIMEN,NA,Botany,L.2108548,"Kato, M; et al. B/ 11070",Kato M; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61854,Dilochia rigida,Dilochia,rigida,(Ridl.) J.J.Wood,Species,Accepted,NA,971371-1,61854,0,16,"c(115.78333, 4.05)",TRUE
132491,GBIF_57518,Dilochia rigida,5.83333,116.33333,2513800706,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dilochia,SPECIES,(Ridl.) J.J.Wood,"West Coast Residency, Mt. Alab, South ridge leading towards the top.",NA,MY,NA,10,1986,PRESERVED_SPECIMEN,NA,Botany,L.1503220,"Vogel, EF de; Huisman, J; Vermeulen, JJ; Welzen, PC van 8647",Vogel EF de; Huisman J; Vermeulen JJ; Welzen PC van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61854,Dilochia rigida,Dilochia,rigida,(Ridl.) J.J.Wood,Species,Accepted,NA,971371-1,61854,0,16,"c(116.33333, 5.83333)",TRUE
