V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
132490,GBIF_57517,Dimorphorchis lowii,5.9167,116.75,2513800500,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,SPECIES,(Lindl.) Rolfe,"Ranau, Mt. Tambayukan.",NA,MY,NA,5,1970,PRESERVED_SPECIMEN,NA,Botany,L.1503178,"Gibot, A SAN 55403",Gibot A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61927,Dimorphorchis lowii,Dimorphorchis,lowii,(Lindl.) Rolfe,Species,Accepted,NA,629794-1,61927,0,14,"c(116.75, 5.9167)",TRUE
159361,GBIF_99171,Dimorphorchis breviscapa,5.68333,116.36667,2513783667,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,SPECIES,J.J.Sm.,"Sabah, Interior Zone, road Tambunan-Keningau, along river.",NA,MY,NA,4,1987,PRESERVED_SPECIMEN,NA,Botany,L.1488080,"Vermeulen, JJ 1313",Vermeulen JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490075,Dimorphorchis breviscapa,Dimorphorchis,breviscapa,(J.J.Sm.) Kocyan & Schuit.,Species,Accepted,NA,77138146-1,490075,19,6,"c(116.36667, 5.68333)",TRUE
204272,GBIF_156532,Dimorphorchis beccarii,-8.812028,160.796056,2825627045,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,VARIETY,NA,Malaita Island,NA,SB,650,8,2015,PRESERVED_SPECIMEN,TAIF,PLANT,502108,SITW08651,Tian-Chuan Hsu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488452,Dimorphorchis beccarii,Dimorphorchis,beccarii,(Rchb.f.) Kocyan & Schuit.,Species,Accepted,NA,77138144-1,488452,26,-1,"c(160.796056, -8.812028)",TRUE
204291,GBIF_156552,Dimorphorchis beccarii,-10.462292,161.747556,3345661624,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,VARIETY,NA,Mangana,NA,SB,324,10,2016,PRESERVED_SPECIMEN,TAIF,PLANT,528777,SITW12402,Hsin-Chieh Hung,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488452,Dimorphorchis beccarii,Dimorphorchis,beccarii,(Rchb.f.) Kocyan & Schuit.,Species,Accepted,NA,77138144-1,488452,26,-1,"c(161.747556, -10.462292)",TRUE
204869,GBIF_157195,Dimorphorchis beccarii,-8.829722,160.836944,2825658255,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,VARIETY,NA,Malaita Province,NA,SB,450,9,2015,PRESERVED_SPECIMEN,TAIF,PLANT,515953,SITW10124,Chien-Fan Chen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488452,Dimorphorchis beccarii,Dimorphorchis,beccarii,(Rchb.f.) Kocyan & Schuit.,Species,Accepted,NA,77138144-1,488452,26,-1,"c(160.836944, -8.829722)",TRUE
205287,GBIF_157674,Dimorphorchis beccarii,-10.545222,161.846806,3345652790,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,VARIETY,NA,Makira Island,NA,SB,280,3,2017,PRESERVED_SPECIMEN,TAIF,PLANT,531802,SITW13161,Tian-Chuan Hsu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488452,Dimorphorchis beccarii,Dimorphorchis,beccarii,(Rchb.f.) Kocyan & Schuit.,Species,Accepted,NA,77138144-1,488452,26,-1,"c(161.846806, -10.545222)",TRUE
308936,GBIF_310222,Dimorphorchis beccarii,-10.573361,161.8205,2825623903,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,VARIETY,NA,Materato Village - Mt. Gasi,NA,SB,910,7,2015,PRESERVED_SPECIMEN,TAIF,PLANT,482694,SITW06714,Hsin-Chieh Hung,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,488452,Dimorphorchis beccarii,Dimorphorchis,beccarii,(Rchb.f.) Kocyan & Schuit.,Species,Accepted,NA,77138144-1,488452,26,-1,"c(161.8205, -10.573361)",TRUE
330134,GBIF_340946,Dimorphorchis breviscapa,-6.47889,145.24111,1144798677,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,SPECIES,NA,Papouasie Nouvelle Guinée - In den Wäldern am Kenejia,NA,PG,150,10,1908,PRESERVED_SPECIMEN,G,Geneva Herbarium – General Collection (G),G-G-179378/1,without-number,"Schlechter, R. (Coll. Delessert 1920)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490075,Dimorphorchis breviscapa,Dimorphorchis,breviscapa,(J.J.Sm.) Kocyan & Schuit.,Species,Accepted,NA,77138146-1,490075,26,-1,"c(145.24111, -6.47889)",TRUE
363345,GBIF_392829,Dimorphorchis breviscapa,-6.244173,146.170882,2251708491,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,SPECIES,(J.J.Sm.) Kocyan & Schuit.,"Umi River, Markham Valley",NA,PG,NA,11,1959,PRESERVED_SPECIMEN,NY,NY,04070074,32618,L. J. Brass,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,490075,Dimorphorchis breviscapa,Dimorphorchis,breviscapa,(J.J.Sm.) Kocyan & Schuit.,Species,Accepted,NA,77138146-1,490075,0,26,"c(146.170882, -6.244173)",TRUE
447953,GBIF_516548,Dimorphorchis breviscapa,-3.1,129.46667,2513788049,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dimorphorchis,SPECIES,J.J.Sm.,"c. seram, manusela np:a low hill north of kanikeh, kecematan seram utara [Seram]",NA,ID,NA,1,1985,PRESERVED_SPECIMEN,NA,Botany,L.1488081,"Kato, M; Sunarno, B; Akiyama, H C- 3077",Kato M; Sunarno B; Akiyama H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490075,Dimorphorchis breviscapa,Dimorphorchis,breviscapa,(J.J.Sm.) Kocyan & Schuit.,Species,Accepted,NA,77138146-1,490075,19,6,"c(129.46667, -3.1)",TRUE
