V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
112586,GBIF_16651,Dinema polybulbon,20.1667,-75.6833,473281196,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,(Swartz) Lindley,"Loma del Gato, Magdalena",NA,CU,NA,7,1921,PRESERVED_SPECIMEN,UdeM,MT,MT00115834,10281,"León, Hno",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,6,7,"c(-75.6833, 20.1667)",TRUE
114463,GBIF_18664,Dinema polybulbon,18.041653,-76.403457,1928296278,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,(Sw.) Lindl.,"Vicinity of Mill Bank, Portland",NA,JM,250,2,1920,PRESERVED_SPECIMEN,NY,NY,56804,124,W. R. Maxon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,0,12,"c(-76.403457, 18.041653)",TRUE
137950,GBIF_63471,Dinema polybulbon,14.598,-87.8327,1576158808,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,(Sw.) Lindl.,"Near El Achote, Siguatepeque.",NA,HN,1350,7,1936,PRESERVED_SPECIMEN,USF,Herb,50954,6209,"T. G. Yuncker, R. F. Dawson & H. R. Youse",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,0,12,"c(-87.8327, 14.598)",TRUE
142154,GBIF_67956,Dinema polybulbon,17.79,-94.1,1895507780,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,"Sw., 1788",Along rd between Jalapa and Coatepec,NA,MX,0,12,1947,PRESERVED_SPECIMEN,CNS-UT,LL,00279595,without-number,D. S. Correll,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,8,3,"c(-94.1, 17.79)",TRUE
142169,GBIF_67971,Dinema polybulbon,17.79,-94.1,1895413106,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,"(Sw.) Dressler, 1961","La Laja, 2 Km al W de Corral Falso en el camino a Pinoltepec",NA,MX,0,1,1985,PRESERVED_SPECIMEN,CNS-UT,TEX,00279419,without-number,R. Torres C.; H. M. Hernández M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,13,6,"c(-94.1, 17.79)",TRUE
142630,GBIF_68478,Dinema polybulbon,16.095,-93.095,1895511533,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,"(Sw.) Lindl., 1831","En el Cañon del Sumidero, en el último mirador",NA,MX,0,11,1984,PRESERVED_SPECIMEN,CNS-UT,TEX,00279420,without-number,E. M. Martínez S.; O. Téllez V.; M. Sousa P.; G. Davidse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,6,12,"c(-93.095, 16.095)",TRUE
142777,GBIF_68635,Dinema polybulbon,20.007937,-75.625609,1928555711,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,(Sw.) Lindl.,"Province Oriente: Sierra Maestra, La Gran Piedra, above Daiquirí",NA,CU,NA,10,1916,PRESERVED_SPECIMEN,NY,NY,56819,8138,E. L. Ekman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,0,12,"c(-75.625609, 20.007937)",TRUE
142807,GBIF_68666,Dinema polybulbon,18.005072,-76.353856,1928776275,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,(Sw.) Lindl.,"Corn Puss Gap, John Crow Mountains",NA,JM,609.6,1,1958,PRESERVED_SPECIMEN,NY,NY,56806,18081,T. G. Yuncker,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,0,12,"c(-76.353856, 18.005072)",TRUE
143194,GBIF_69062,Dinema polybulbon,18.213623,-77.276569,1928008980,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,(Sw.) Lindl.,Ca. 1-2 miles NW of the Mason River Field Station and 4-5 miles NW of Kellits. Border of St. Ann & Clarendo,NA,JM,671,12,1979,PRESERVED_SPECIMEN,NY,NY,01047824,1526,J. F. Pruski,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,0,12,"c(-77.276569, 18.213623)",TRUE
151713,GBIF_83327,Dinema polybulbon,18.28942,-77.573722,1931108378,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dinema,SPECIES,(Sw.) Lindl.,"Island View Hill, Wilson Valley district, 1.5 miles north of WARSOP",NA,JM,640.1,10,1960,PRESERVED_SPECIMEN,NY,NY,56812,21418,G. R. Proctor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,61937,Dinema polybulbon,Dinema,polybulbon,(Sw.) Lindl.,Species,Accepted,NA,629796-1,61937,0,12,"c(-77.573722, 18.28942)",TRUE
