V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
146457,GBIF_76766,Diplomeris hirsuta,26.891,88.467,1057160871,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,(Lindl.) Lindl.,"Sevoke [Sevok, Sivok, Sivoke], """"""""Sikkim""""""""",NA,IN,NA,6,1890,PRESERVED_SPECIMEN,NHMUK,BOT,BM013767092,s.n.,Hermann H. Kunstler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62494,Diplomeris hirsuta,Diplomeris,hirsuta,(Lindl.) Lindl.,Species,Accepted,NA,629980-1,62494,0,15,"c(88.467, 26.891)",TRUE
344653,GBIF_364148,Diplomeris pulchella,25.245112,91.73841,1056728560,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,D.Don,Mausmai [= Mawsmai],NA,IN,914,10,1886,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042058,45056,Charles Baron Clarke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62496,Diplomeris pulchella,Diplomeris,pulchella,D.Don,Species,Accepted,NA,629981-1,62496,0,5,"c(91.73841, 25.245112)",TRUE
459245,GBIF_530240,Diplomeris pulchella,25.422022,91.682688,1055634445,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,D.Don,Environs of Tserapundzi till near Mairong,NA,IN,1112.5,10,1855,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042057,248,Herbarium Schlagintweit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62496,Diplomeris pulchella,Diplomeris,pulchella,D.Don,Species,Accepted,NA,629981-1,62496,0,5,"c(91.682688, 25.422022)",TRUE
459535,GBIF_530567,Diplomeris pulchella,27.833333,97.75,1056364261,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,D.Don,"Nam Tamai Valley; Nam Tamai Valley; 27°50'N, 97°45'E; 3500'",NA,MM,1067,9,1937,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042052,13089,Capt. Francis (Frank) Kingdon-Ward,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62496,Diplomeris pulchella,Diplomeris,pulchella,D.Don,Species,Accepted,NA,629981-1,62496,0,5,"c(97.75, 27.833333)",TRUE
472433,GBIF_551080,Diplomeris hirsuta,26.891,88.467,1057275723,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,(Lindl.) Lindl.,"Sevoke [Sevok, Sivok, Sivoke], """"""""Sikkim""""""""",NA,IN,NA,NA,1891,PRESERVED_SPECIMEN,NHMUK,BOT,BM000033686,184,Robert Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62494,Diplomeris hirsuta,Diplomeris,hirsuta,(Lindl.) Lindl.,Species,Accepted,NA,629980-1,62494,0,15,"c(88.467, 26.891)",TRUE
472868,GBIF_551579,Diplomeris pulchella,26.886395,98.206742,1055939030,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,D.Don,North Triangle (Hkinlum) 4000',NA,MM,1219,8,1953,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042060,21270,Capt. Francis (Frank) Kingdon-Ward,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62496,Diplomeris pulchella,Diplomeris,pulchella,D.Don,Species,Accepted,NA,629981-1,62496,0,5,"c(98.206742, 26.886395)",TRUE
475089,GBIF_554333,Diplomeris hirsuta,28.3523,85.7833,1055465295,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,(Lindl.) Lindl.,Gossain Than [= Shishapangma],NA,CN,NA,NA,1818,PRESERVED_SPECIMEN,NHMUK,BOT,BM013767091,s.n.,Nathaniel Wallich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62494,Diplomeris hirsuta,Diplomeris,hirsuta,(Lindl.) Lindl.,Species,Accepted,NA,629980-1,62494,0,15,"c(85.7833, 28.3523)",TRUE
494886,GBIF_585715,Diplomeris pulchella,25.174,93.014,1057606046,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,D.Don,"Haflong, North Cachar Hills",NA,IN,NA,8,1908,PRESERVED_SPECIMEN,NHMUK,BOT,BM013767093,468,William Grant Craib,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62496,Diplomeris pulchella,Diplomeris,pulchella,D.Don,Species,Accepted,NA,629981-1,62496,0,5,"c(93.014, 25.174)",TRUE
545878,GBIF_668797,Diplomeris pulchella,29.32,95.33,2417430394,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,NA,NA,NA,CN,NA,NA,1974,PRESERVED_SPECIMEN,PE,NA,01485514,without-number,青藏队植被组,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62496,Diplomeris pulchella,Diplomeris,pulchella,D.Don,Species,Accepted,NA,629981-1,62496,5,-1,"c(95.33, 29.32)",TRUE
546281,GBIF_669918,Diplomeris pulchella,25.08,104.89,2417334708,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diplomeris,SPECIES,NA,NA,NA,CN,NA,NA,1960,PRESERVED_SPECIMEN,PE,NA,00338187,without-number,张志松，张永田,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62496,Diplomeris pulchella,Diplomeris,pulchella,D.Don,Species,Accepted,NA,629981-1,62496,5,-1,"c(104.89, 25.08)",TRUE
