V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
126009,GBIF_47743,Diploprora championii,23.519195,110.462487,1303972455,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,罗香村，屋背埇,NA,CN,NA,NA,1948,PRESERVED_SPECIMEN,IBSC,NA,00f013f9-b6c0-11e1-8c2f-acd112e444a7,without-number,钟济新,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(110.462487, 23.519195)",TRUE
126527,GBIF_48750,Diploprora championii,23.519195,110.462487,1303972422,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,猺山，罗香，猪头崖山,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,IBSC,NA,00f0119a-b6c0-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(110.462487, 23.519195)",TRUE
126606,GBIF_48965,Diploprora championii,23.125462,104.702829,1304083734,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,Sze-tai-po(老君山),NA,CN,NA,NA,1947,PRESERVED_SPECIMEN,KUN,NA,ec760fd0-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(104.702829, 23.125462)",TRUE
126809,GBIF_49461,Diploprora championii,22.983563,103.687613,1304083735,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,白木滩,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7610ae-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(103.687613, 22.983563)",TRUE
127234,GBIF_50740,Diploprora championii,22.097768,107.957979,1303972258,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,十万大山,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00f092f2-b6c0-11e1-8c2f-acd112e444a7,without-number,曾怀德,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(107.957979, 22.097768)",TRUE
147322,GBIF_77805,Diploprora championii,22.98,103.68,4043536635,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,NA,NA,CN,NA,NA,1958,PRESERVED_SPECIMEN,KUN,NA,0021359,without-number,胡月英，文绍康,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(103.68, 22.98)",TRUE
147575,GBIF_78075,Diploprora championii,22.98,103.68,4043455035,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,NA,NA,CN,NA,NA,1959,PRESERVED_SPECIMEN,YUKU,NA,2151C0001C05003742,without-number,<td><td>1960级,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(103.68, 22.98)",TRUE
147792,GBIF_78364,Diploprora championii,22.98,103.68,4044573628,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,NA,NA,CN,NA,NA,1954,PRESERVED_SPECIMEN,KUN,NA,0021358,without-number,毛品一,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(103.68, 22.98)",TRUE
170281,GBIF_112196,Diploprora championii,22.98,103.68,4043503692,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,NA,NA,CN,NA,NA,1959,PRESERVED_SPECIMEN,KUN,NA,0021353,without-number,云大生物系,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(103.68, 22.98)",TRUE
170378,GBIF_112334,Diploprora championii,24.52,117.37,4044101302,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Diploprora,SPECIES,NA,NA,NA,CN,NA,NA,1959,PRESERVED_SPECIMEN,IBSC,NA,0626546,without-number,吴兆洪,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62511,Diploprora championii,Diploprora,championii,(Lindl.) Hook.f.,Species,Accepted,NA,629983-1,62511,16,-1,"c(117.37, 24.52)",TRUE
