V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104026,GBIF_241,Disa flexuosa,-28.99853,25.092539,1055417883,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,(L.) Lindl.,NA,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042110,s.n.,Fr Masson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62801,Disa flexuosa,Disa,flexuosa,(L.) Sw.,Species,Accepted,NA,630115-1,62801,5,5,"c(25.092539, -28.99853)",TRUE
104027,GBIF_242,Disa neglecta,-28.99853,25.092539,1055707859,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,Sond.,NA,NA,ZA,NA,12,1801,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042439,s.n.,Robert Brown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62883,Disa neglecta,Disa,neglecta,Sond.,Species,Accepted,NA,630185-1,62883,0,5,"c(25.092539, -28.99853)",TRUE
104028,GBIF_243,Disa cornuta,-28.99853,25.092539,1056800990,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,(L.) Sw.,NA,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042482,3,J. Bowie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62767,Disa cornuta,Disa,cornuta,(L.) Sw.,Species,Accepted,NA,630091-1,62767,0,8,"c(25.092539, -28.99853)",TRUE
104029,GBIF_244,Disa glandulosa,-28.99853,25.092539,1055475168,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,Burch. ex Lindl.,NA,NA,ZA,NA,12,1931,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042524,1879,Terence Macleane Salter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62813,Disa glandulosa,Disa,glandulosa,Burch. ex Lindl.,Species,Accepted,NA,630123-1,62813,0,16,"c(25.092539, -28.99853)",TRUE
104030,GBIF_245,Disa ferruginea,-28.99853,25.092539,1056278352,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,Sw.,NA,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042569,325/6,Terence Macleane Salter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62799,Disa ferruginea,Disa,ferruginea,Sw.,Species,Accepted,NA,630113-1,62799,0,3,"c(25.092539, -28.99853)",TRUE
104031,GBIF_246,Disa uniflora,-28.99853,25.092539,1056132863,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,P.J.Bergius,NA,NA,ZA,NA,4,1772,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042644,s.n.,James Robertson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63006,Disa uniflora,Disa,uniflora,P.J.Bergius,Species,Accepted,NA,630282-1,63006,0,11,"c(25.092539, -28.99853)",TRUE
104032,GBIF_247,Disa oligantha,-28.99853,25.092539,1056099722,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,Rchb.f.,NA,NA,ZA,NA,12,1896,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042679,2185,Anthony Hurt Wolley-Dod,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,62902,Disa oligantha,Disa,oligantha,Rchb.f.,Species,Accepted,NA,630196-1,62902,0,7,"c(25.092539, -28.99853)",TRUE
104033,GBIF_248,Disa ophrydea,-28.99853,25.092539,1057114872,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,Bolus,NA,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042833,4,J. Bowie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62904,Disa ophrydea,Disa,ophrydea,(Lindl.) Bolus,Species,Accepted,NA,630198-1,62904,9,5,"c(25.092539, -28.99853)",TRUE
104216,GBIF_434,Disa welwitschii,7.658,-8.376667,1825803283,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,Rchb.f.,"Nimba Mountains, east slope of range",NA,GN,1615,6,2007,PRESERVED_SPECIMEN,NHMUK,BOT,BM001209399,7685,"Carel Christiaan Hugo Jongkind, J.-L. Holié, P Cherif",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63019,Disa welwitschii,Disa,welwitschii,Rchb.f.,Species,Accepted,NA,630295-1,63019,0,7,"c(-8.376667, 7.658)",TRUE
104338,GBIF_559,Disa biflora,-28.99853,25.092539,1055867650,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disa,SPECIES,(L.) T.Durand & Schinz,NA,NA,ZA,NA,8,1934,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042096,4732,Terence Macleane Salter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,62726,Disa biflora,Disa,biflora,(L.) Druce,Species,Accepted,NA,630058-1,62726,14,5,"c(25.092539, -28.99853)",TRUE
