V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
231153,GBIF_190495,Discyphus scopulariae,8.523333,-80.038333,1260613201,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb. f.) Schltr.,"Llano Bonito, north of Las Margaritas.",NA,PA,450,7,1935,PRESERVED_SPECIMEN,MO,Tropicos,3218651,528,Russell J. Seibert,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,1,11,"c(-80.038333, 8.523333)",TRUE
263166,GBIF_230310,Discyphus scopulariae,6.83333,-63.25,4061572699,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb. f.) Schltr.,"2 to 8 km E of La Paragua S of Río Paragua, forest and savannah.",NA,VE,200,7,1978,PRESERVED_SPECIMEN,NA,Tropicos,1944991,5625,Ronald L. Liesner;Ángel C. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,1,11,"c(-63.25, 6.83333)",TRUE
297188,GBIF_295655,Discyphus scopulariae,-12.016667,-38.016667,1094892549,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb.f.) Schltr.,Azevedo.,NA,BR,100,7,2011,PRESERVED_SPECIMEN,UEFS,HUEFS,175485,900,"Popovkin, A.V.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,0,17,"c(-38.016667, -12.016667)",TRUE
311046,GBIF_312729,Discyphus scopulariae,-12.016667,-38.016667,1094892542,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb.f.) Schltr.,Azevedo.,NA,BR,100,7,2011,PRESERVED_SPECIMEN,UEFS,HUEFS,175486,901,"Popovkin, A.V.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,0,17,"c(-38.016667, -12.016667)",TRUE
311480,GBIF_313173,Discyphus scopulariae,-11.033333,-38.033333,1094915343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb.f.) Schltr.,Pau de umbigo.,NA,BR,NA,8,2013,PRESERVED_SPECIMEN,UEFS,HUEFS,198746,1516,"Popovkin, A.V.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,0,17,"c(-38.033333, -11.033333)",TRUE
336539,GBIF_350136,Discyphus scopulariae,10.655817,-61.418126,4130827741,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb.f.) Schltr.,"St. Joseph, Trinidad, W.I.",NA,TT,NA,8,1973,PRESERVED_SPECIMEN,TRIN,TRIN,TRIN20862,13475,C. McMillan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,0,17,"c(-61.418126, 10.655817)",TRUE
496963,GBIF_588009,Discyphus scopulariae,-9.873919,-36.966203,1587313973,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb.f.) Schltr.,"APA de Murici, Fazenda Pedra Branca.",NA,BR,NA,6,2010,PRESERVED_SPECIMEN,IMA,MAC,48484,2797,M.N.Rodrigues; J.W.A.Silva; D.Oliveira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,0,17,"c(-36.966203, -9.873919)",TRUE
497248,GBIF_588302,Discyphus scopulariae,-9.615439,-36.492808,1587316839,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Discyphus,SPECIES,(Rchb.f.) Schltr.,"Coimbra, Grota da Burra.",NA,BR,NA,3,2011,PRESERVED_SPECIMEN,IMA,MAC,52578,10668,Chagas-Mota,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,0,17,"c(-36.492808, -9.615439)",TRUE
680256,SPECIESLINKS_69178,Discyphus scopulariae,6.83333,-63.25,1944991,Plantae,NA,NA,NA,Orchidaceae,Discyphus,NA,(Rchb. f.) Schltr.,"2 to 8 km E of La Paragua S of Río Paragua, forest and savannah.",Venezuela,Venezuela,NA,7,1978,PreservedSpecimen,NA,MO-DUPLICATES,1944991,5625,Ronald L. Liesner|Ángel C. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,1,11,"c(-63.25, 6.83333)",TRUE
690711,SPECIESLINKS_100846,Discyphus scopulariae,-10.5033,-37.052799,78741,Plantae,NA,NA,NA,Orchidaceae,Discyphus,NA,(Rchb.f.) Schltr.,"Refúgio da Vida Silvestre Mata do Junco, Trilho estreito.",Brasil,Brasil,NA,8,2014,PreservedSpecimen,UFPE,UFP,78741,1250,"Pessoa, E; Louzada, RB; Queiroz, R; Cavalcanti, D; Lucena, D; Aguiar, JN; et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63090,Discyphus scopulariae,Discyphus,scopulariae,(Rchb.f.) Schltr.,Species,Accepted,NA,82228-2,63090,0,17,"c(-37.052799, -10.5033)",TRUE
