V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104040,GBIF_255,Disperis paludosa,-28.99853,25.092539,1056493903,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Harv.,NA,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000048143,s.n.,William Henry Harvey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63194,Disperis paludosa,Disperis,paludosa,Harv. ex Lindl.,Species,Accepted,NA,630380-1,63194,10,4,"c(25.092539, -28.99853)",TRUE
104348,GBIF_569,Disperis cooperi,-28.99853,25.092539,1057207808,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Harv.,NA,NA,ZA,NA,3,1901,PRESERVED_SPECIMEN,NHMUK,BOT,BM000048100,8096,J Wylie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63136,Disperis cooperi,Disperis,cooperi,Harv.,Species,Accepted,NA,630325-1,63136,0,5,"c(25.092539, -28.99853)",TRUE
107085,GBIF_10306,Disperis dicerochila,-3.13333,37.25,2515862320,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Summerh.,Mt. Kilimanjaro. (Machame-route).,NA,TZ,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1135108,"Laan, FM van der; Wubben, JM 1119",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63142,Disperis dicerochila,Disperis,dicerochila,Summerh.,Species,Accepted,NA,630331-1,63142,0,8,"c(37.25, -3.13333)",TRUE
107086,GBIF_10307,Disperis nitida,5.01667,9.83333,2515820524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Summerh.,"Massif du Manengouba (2411m), 15km NW. Nkongsamba (feuille IGN 1/200.000 Mamfe).",NA,CM,NA,8,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1135131,"Letouzey, RG 14404",Letouzey RG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63188,Disperis nitida,Disperis,nitida,Summerh.,Species,Accepted,NA,630375-1,63188,0,8,"c(9.83333, 5.01667)",TRUE
108136,GBIF_11394,Disperis purpurata,-32.625,20.375,2517716954,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SUBSPECIES,NA,"Klipdrift, Roggeveld. 3220CB.",NA,ZA,NA,9,1954,PRESERVED_SPECIMEN,NA,Botany,WAG.1135138,"Acocks, JPH 17783",Acocks JPH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63200,Disperis purpurata,Disperis,purpurata,Rchb.f.,Species,Accepted,NA,630386-1,63200,7,-1,"c(20.375, -32.625)",TRUE
110617,GBIF_14533,Disperis trilineata,-18.06194,44.52083,2449844037,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Schltr.,NA,NA,MG,297,2,2012,PRESERVED_SPECIMEN,MNHN,P,P00782701,without-number,"Bolliger, R.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63220,Disperis trilineata,Disperis,trilineata,Schltr.,Species,Accepted,NA,630404-1,63220,0,7,"c(44.52083, -18.06194)",TRUE
122969,GBIF_44288,Disperis lindleyana,-33.94963,23.15652,2515841299,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Rchb.f.,"Deepwalls forest reserve, forest path near railway terminal.",NA,ZA,NA,11,1963,PRESERVED_SPECIMEN,NA,Botany,WAG.1135126,"Bos, JJ 910",Bos JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63174,Disperis lindleyana,Disperis,lindleyana,Rchb.f.,Species,Accepted,NA,630360-1,63174,0,7,"c(23.15652, -33.94963)",TRUE
124073,GBIF_45482,Disperis anthoceros,-8.53333,31.5,2515713046,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,VARIETY,NA,Tatanda Mission.,NA,TZ,NA,2,1994,PRESERVED_SPECIMEN,NA,Botany,WAG.1135100,"Bidgood, GS; Mbago, FM; Vollesen, KB 2466",Bidgood GS; Mbago FM; Vollesen KB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63107,Disperis anthoceros,Disperis,anthoceros,Rchb.f.,Species,Accepted,NA,630308-1,63107,7,-1,"c(31.5, -8.53333)",TRUE
124074,GBIF_45483,Disperis galerita,7.95,39.16667,2515856759,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Rchb.f.,"Lower slope of Mt. Cilalo, near Swedish Mission, Asella.",NA,ET,NA,9,1965,PRESERVED_SPECIMEN,NA,Botany,WAG.1135119,"Wilde, WJJO de; Wilde-Duyfjes, BEE de 7976",Wilde WJJO de; Wilde-Duyfjes BEE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63153,Disperis galerita,Disperis,galerita,Rchb.f.,Species,Accepted,NA,630340-1,63153,0,7,"c(39.16667, 7.95)",TRUE
124075,GBIF_45484,Disperis reichenbachiana,-0.88333,34.65,2515865343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Disperis,SPECIES,Welw. ex Rchb.f.,Nyangweta forest.,NA,KE,NA,4,1978,PRESERVED_SPECIMEN,NA,Botany,WAG.1135140,"Plaizier, AC 1183",Plaizier AC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63205,Disperis reichenbachiana,Disperis,reichenbachiana,Welw. ex Rchb.f.,Species,Accepted,NA,630389-1,63205,0,16,"c(34.65, -0.88333)",TRUE
