V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104403,GBIF_628,Domingoa haematochila,21.62117,-79.03635,1056902819,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,(Rchb.f.) Schltr.,NA,NA,CU,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000505039,3321,Charles Wright,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63610,Domingoa haematochila,Domingoa,haematochila,(Rchb.f.) Carabia,Species,Accepted,NA,83127-2,63610,7,10,"c(-79.03635, 21.62117)",TRUE
114565,GBIF_18767,Domingoa nodosa,18.178652,-71.210084,1929203484,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,(Cogn.) Schltr.,NA,NA,DO,NA,10,1910,PRESERVED_SPECIMEN,NY,NY,56413,956a,M. D. Fuertes Lorén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63613,Domingoa nodosa,Domingoa,nodosa,(Cogn.) Schltr.,Species,Accepted,NA,83130-2,63613,0,15,"c(-71.210084, 18.178652)",TRUE
137594,GBIF_63107,Domingoa purpurea,16.2991,-93.3838,1585944607,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,(Lindl.) L. O. Williams,"Near Cornitau, Chiapas.",NA,MX,NA,5,1954,PRESERVED_SPECIMEN,USF,Herb,27879,3522,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,372643,Domingoa purpurea,Domingoa,purpurea,(Lindl.) Van den Berg & Soto Arenas,Species,Accepted,NA,77088566-1,372643,23,9,"c(-93.3838, 16.2991)",TRUE
139067,GBIF_64641,Domingoa gemma,18.4642,-97.3973,1585944608,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,(Rchb. f.) Ames & Correll,Tehuacan - Orizaba.,NA,MX,NA,5,1954,PRESERVED_SPECIMEN,USF,Herb,27878,3524,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,372652,Domingoa gemma,Domingoa,gemma,(Rchb.f.) Van den Berg & Soto Arenas,Species,Accepted,NA,77088567-1,372652,20,6,"c(-97.3973, 18.4642)",TRUE
140103,GBIF_65810,Domingoa purpurea,15.352082,-92.23188,1897602313,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,"(Lindl.) Van den Berg & Soto Arenas, 2007",Rivera Morelos,NA,MX,0,5,2008,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,LJB 290,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,372643,Domingoa purpurea,Domingoa,purpurea,(Lindl.) Van den Berg & Soto Arenas,Species,Accepted,NA,77088566-1,372643,6,35,"c(-92.23188, 15.352082)",TRUE
140106,GBIF_65814,Domingoa purpurea,14.4796,-89.0837,4399481343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,"(Lindl.) Van den Berg & Soto Arenas, 2007",San Francisco Mountain,NA,HN,0,8,1975,PRESERVED_SPECIMEN,EAPZ,EAP,NO DISPONIBLE,without-number,"Molina, A.; Molina, A.l.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,372643,Domingoa purpurea,Domingoa,purpurea,(Lindl.) Van den Berg & Soto Arenas,Species,Accepted,NA,77088566-1,372643,6,35,"c(-89.0837, 14.4796)",TRUE
142209,GBIF_68018,Domingoa purpurea,19.207781,-96.824169,1895451503,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,"(Lindl.) L.O. Williams, 1940",Encinal,NA,MX,385,6,1971,PRESERVED_SPECIMEN,CNS-UT,LL,00244095,without-number,F. Ventura A.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,372643,Domingoa purpurea,Domingoa,purpurea,(Lindl.) Van den Berg & Soto Arenas,Species,Accepted,NA,77088566-1,372643,24,9,"c(-96.824169, 19.207781)",TRUE
152066,GBIF_83694,Domingoa haematochila,18.737751,-71.610972,1930250616,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,(Rchb.f.) Carabia,Juan Santiago,NA,DO,1066.8,10,1946,PRESERVED_SPECIMEN,NY,NY,56409,9244,R. A. Howard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63610,Domingoa haematochila,Domingoa,haematochila,(Rchb.f.) Carabia,Species,Accepted,NA,83127-2,63610,0,17,"c(-71.610972, 18.737751)",TRUE
152600,GBIF_84249,Domingoa haematochila,18.445674,-70.12425,1929260822,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,(Rchb.f.) Carabia,"Río Nigua, San Cristóbal",NA,DO,NA,3,1965,PRESERVED_SPECIMEN,NY,NY,56407,1901,B. A. Lavastre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63610,Domingoa haematochila,Domingoa,haematochila,(Rchb.f.) Carabia,Species,Accepted,NA,83127-2,63610,0,17,"c(-70.12425, 18.445674)",TRUE
152772,GBIF_84428,Domingoa haematochila,19.08,-69.47,1931091158,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Domingoa,SPECIES,(Rchb.f.) Carabia,Los Haitises: entre Cueva La Arena y la boca de la Bahía de San Lorenzo (oeste de Sabana de la Mar): orilla de la Bahía de Samaná. Parque Nacional Los Haitises,NA,DO,NA,6,1982,PRESERVED_SPECIMEN,NY,NY,56380,21128,T. A. Zanoni,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63610,Domingoa haematochila,Domingoa,haematochila,(Rchb.f.) Carabia,Species,Accepted,NA,83127-2,63610,0,17,"c(-69.47, 19.08)",TRUE
