V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
130257,GBIF_54953,Draconanthes aberrans,-0.56666,-77.63333,1258359068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,(Schltr.) Luer,Sumaco Napo-Galeras National Park. Sumaco Mountain. Collections made from summit crater. Shrubby paramo.,NA,EC,3732,3,1996,PRESERVED_SPECIMEN,MO,Tropicos,1146641,2229,John L. Clark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,0,14,"c(-77.63333, -0.56666)",TRUE
131048,GBIF_55770,Draconanthes aberrans,-10.381389,-75.6375,1257586628,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,(Schltr.) Luer,Along trail Milpo to Sta. Barbara.,NA,PE,3225,11,2009,PRESERVED_SPECIMEN,MO,Tropicos,100234622,23157,H. van der Werff;Rodolfo Vásquez;A. Peña Cruz;J. Mateo M.;R. Rivera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,0,14,"c(-75.6375, -10.381389)",TRUE
172832,GBIF_116030,Draconanthes aberrans,-14.884972,-68.778278,1257598060,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,(Schltr.) Luer,"Area Natural de manejo Integrado Apolobamba, sector Codo, primer campamento para bajar a lavar oro al río, mas allá de Chaka, por el antiguo camino Sorapata-Apolo.",NA,BO,3316,4,2009,PRESERVED_SPECIMEN,LPB,Tropicos,100246362,13834,Alfredo F. Fuentes;Judith Quispe;M. Villalobos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,0,14,"c(-68.778278, -14.884972)",TRUE
175026,GBIF_118343,Draconanthes trachysepala,0.75,-77.96666,1259956278,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,Schltr.,Páramos de El Angel S of Volcán Chiles. Espeletia paramo and mountain forest dominated by Gynoxis and Polylepis.,NA,EC,3850,3,1985,PRESERVED_SPECIMEN,AAU,Tropicos,2622975,59072,Bente Eriksen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538809,Draconanthes trachysepala,Draconanthes,trachysepala,"(Schltr.) Kolan., S.Nowak & Szlach.",Species,Accepted,NA,77209440-1,538809,28,6,"c(-77.96666, 0.75)",TRUE
191609,GBIF_137509,Draconanthes aberrans,-4.383,-79.1,4130391617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,NA,"Parque Nacional Podocarpus. Road Yangana - Cerro Toledo, at entrance to crest. Subparamo scrub and bogs in the pass.",NA,EC,3100,2,1985,PRESERVED_SPECIMEN,AU,AAU,B.Ollgaard58214,without-number,B. Ollgaard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,14,-1,"c(-79.1, -4.383)",TRUE
192122,GBIF_138118,Draconanthes aberrans,-0.566,-77.716,4130406698,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,NA,"SE side of Cerro Sumaco, dominated by thick layers of mosses on the vertical slopes.",NA,EC,3750,4,1979,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen17500,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,14,-1,"c(-77.716, -0.566)",TRUE
192375,GBIF_138452,Draconanthes aberrans,-0.583,-77.65,4130395496,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,NA,"S side of Cerro Sumaco, 100-200 m S of the main crater. Ravines in paramo with steep rocks and seepages.",NA,EC,3750,4,1979,PRESERVED_SPECIMEN,AU,AAU,B.Lojtnant12960,without-number,B. Lojtnant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,14,-1,"c(-77.65, -0.583)",TRUE
192473,GBIF_138582,Draconanthes aberrans,0.366,-78.083,4130410611,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,NA,"Timber line vegetation on Hacienda Yura Cruz, 10 km N of Ibarra. Paramo dominated by grass.",NA,EC,3750,5,1973,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen6491,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,14,-1,"c(-78.083, 0.366)",TRUE
192877,GBIF_139224,Draconanthes aberrans,-4.083,-79.166,4130393641,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,NA,"Parque Nacional Podocarpus E of Nudo de Cajanuma. Trail from """"""""Centro de Información"""""""" toward Lagunas de Compadre. Scrub páramo.",NA,EC,3150,2,1989,PRESERVED_SPECIMEN,AU,AAU,B.Ollgaard90343,without-number,B. Ollgaard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,63955,Draconanthes aberrans,Draconanthes,aberrans,(Schltr.) Luer,Species,Accepted,NA,994924-1,63955,14,-1,"c(-79.166, -4.083)",TRUE
192999,GBIF_139408,Draconanthes trachysepala,0.75,-77.966,4130384615,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Draconanthes,SPECIES,NA,Páramos de El Angel S of Volcán Chiles. Espeletia paramo and mountain forest dominated by Gynoxis and Polylepis.,NA,EC,3850,3,1985,PRESERVED_SPECIMEN,AU,AAU,B.Eriksen59072,without-number,B. Eriksen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538809,Draconanthes trachysepala,Draconanthes,trachysepala,"(Schltr.) Kolan., S.Nowak & Szlach.",Species,Accepted,NA,77209440-1,538809,34,1,"c(-77.966, 0.75)",TRUE
