V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
128974,GBIF_53637,Dracula dodsonii,0.06666,-78.66666,1261353612,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Luer) Luer,km 17,NA,EC,2160,6,1986,PRESERVED_SPECIMEN,MO,Tropicos,637133,16501,Calaway H. Dodson;T.A. Dodson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64056,Dracula dodsonii,Dracula,dodsonii,(Luer) Luer,Species,Accepted,NA,83974-2,64056,0,11,"c(-78.66666, 0.06666)",TRUE
130178,GBIF_54873,Dracula venosa,0.916667,-78.1,1261395251,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Rolfe) Luer,Above Maldonado.,NA,EC,NA,4,1988,PRESERVED_SPECIMEN,MO,Tropicos,679697,13314,Carl A. Luer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64151,Dracula venosa,Dracula,venosa,(Rolfe) Luer,Species,Accepted,NA,84029-2,64151,0,12,"c(-78.1, 0.916667)",TRUE
130282,GBIF_54979,Dracula erythrocodon,0.9,-78.6,1258420195,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SUBSPECIES,Luer & Dalström,Ridge above Maldonado.,NA,EC,2000,3,1996,PRESERVED_SPECIMEN,MO,Tropicos,1212368,2179,Stig Dalström;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,462869,Dracula erythrocodon,Dracula,erythrocodon,(Luer & Dalström) O.Gruss & M.Wolff,Species,Accepted,NA,77104795-1,462869,20,15,"c(-78.6, 0.9)",TRUE
130602,GBIF_55310,Dracula radiosa,1.169931,-77.98889,1260170413,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Rchb. f.) Luer,"Collected in wet forest around La Planada above Ricaurte, cultivated at the La Planada Orquideario.",NA,CO,1800,1,1987,PRESERVED_SPECIMEN,MO,Tropicos,2817743,12494,Carl A. Luer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64123,Dracula radiosa,Dracula,radiosa,(Rchb.f.) Luer,Species,Accepted,NA,84011-2,64123,1,8,"c(-77.98889, 1.169931)",TRUE
130737,GBIF_55446,Dracula erythrochaete,10.31,-84.79,1259335903,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Rchb. f.) Luer,"Monteverde Reserve, TV Towers",NA,CR,1750,6,1989,PRESERVED_SPECIMEN,MO,Tropicos,2060348,89-243a,John T. Atwood,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64057,Dracula erythrochaete,Dracula,erythrochaete,(Rchb.f.) Luer,Species,Accepted,NA,83975-2,64057,1,8,"c(-84.79, 10.31)",TRUE
138147,GBIF_63679,Dracula polyphemus,-0.320455,-78.9948,1576157815,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Luer) Luer,"Chiriboga road, old Santo Domingo-Quito road, 33 km NE of Alluriquin.",NA,EC,NA,8,1980,PRESERVED_SPECIMEN,USF,Herb,149664,4018,"R. P. Sauleda, M. Ragan, H. Luther, R. Wunderlin, B. Hansen, L. Davenport, J. Wiersema",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64113,Dracula polyphemus,Dracula,polyphemus,(Luer) Luer,Species,Accepted,NA,84005-2,64113,0,11,"c(-78.9948, -0.320455)",TRUE
161962,GBIF_102187,Dracula erythrochaete,9.884444,-83.984167,1253897166,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Rchb. f.) Luer,"Z. P. Cerros de La Carpintera, entre la cima de los cerros más altos.",NA,CR,1800,12,2008,PRESERVED_SPECIMEN,INBio,Plantae,4244791,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64057,Dracula erythrochaete,Dracula,erythrochaete,(Rchb.f.) Luer,Species,Accepted,NA,83975-2,64057,1,8,"c(-83.984167, 9.884444)",TRUE
174282,GBIF_117577,Dracula portillae,-3.01,-78.62,4060874146,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,Luer & Andreetta,Protected due to name conservation status,NA,EC,2000,9,1980,PRESERVED_SPECIMEN,NA,Tropicos,632287,5477,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64114,Dracula portillae,Dracula,portillae,Luer & Andreetta,Species,Accepted,NA,84006-2,64114,0,16,"c(-78.62, -3.01)",TRUE
174404,GBIF_117703,Dracula dodsonii,-0.25,-78.733333,1261366704,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Luer) Luer,Quito-Sto. Domingo via Chiriboga.,NA,EC,2100,4,1976,PRESERVED_SPECIMEN,SEL,Tropicos,651224,669A,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64056,Dracula dodsonii,Dracula,dodsonii,(Luer) Luer,Species,Accepted,NA,83974-2,64056,0,11,"c(-78.733333, -0.25)",TRUE
183038,GBIF_128414,Dracula gigas,1.03333,-78.21666,1261352145,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dracula,SPECIES,(Luer) Luer,Tulcan-Maldonado.,NA,EC,2500,4,1984,PRESERVED_SPECIMEN,MO,Tropicos,635552,9896,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64066,Dracula gigas,Dracula,gigas,(Luer & Andreetta) Luer,Species,Accepted,NA,83979-2,64066,12,6,"c(-78.21666, 1.03333)",TRUE
