V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
2152,ALA_2461,Drakaea elastica,-33.1,116,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,Lindl.,NA,Australia,AU,NA,9,1938,PRESERVED_SPECIMEN,HO,HO,HO503591,s.n.,"Kalmborg, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64182,Drakaea elastica,Drakaea,elastica,Lindl.,Species,Accepted,NA,630592-1,64182,0,6,"c(116, -33.1)",TRUE
2869,ALA_3317,Drakaea glyptodon,-32.583333,115.816667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,Fitzg.,Ravenswood,Australia,AU,NA,9,1919,PRESERVED_SPECIMEN,HO,HO,HO503152,1755,"Rogers, R.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64184,Drakaea glyptodon,Drakaea,glyptodon,Fitzg.,Species,Accepted,NA,630594-1,64184,0,6,"c(115.816667, -32.583333)",TRUE
4533,ALA_5351,Drakaea thynniphila,-34.966667,117.016667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,A.S.George,6.5 km E of Bow River store on Walpole-Denmark stretch of Highway 1.,Australia,AU,NA,10,1982,PRESERVED_SPECIMEN,CANB,CANB,CBG 9215966.1,2686,"Hopper, S.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64190,Drakaea thynniphila,Drakaea,thynniphila,A.S.George,Species,Accepted,NA,904079-1,64190,0,10,"c(117.016667, -34.966667)",TRUE
5009,ALA_5916,Drakaea thynniphila,-34.956111,117.018056,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,A.S.George,Nornalup Nature Reserve.,Australia,AU,NA,9,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 639134.1,10977,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64190,Drakaea thynniphila,Drakaea,thynniphila,A.S.George,Species,Accepted,NA,904079-1,64190,0,10,"c(117.018056, -34.956111)",TRUE
5063,ALA_5984,Drakaea glyptodon,-35.05,117.566667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,Fitzg.,"Bornholm, Bornholm South Road.",Australia,AU,NA,10,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8806906.1,3244,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64184,Drakaea glyptodon,Drakaea,glyptodon,Fitzg.,Species,Accepted,NA,630594-1,64184,0,6,"c(117.566667, -35.05)",TRUE
5809,ALA_6902,Drakaea livida,-34.433333,116.7,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,J.Drumm.,62.2km along Muirs Hwy. E of Manjimup.,Australia,AU,NA,10,1991,PRESERVED_SPECIMEN,CANB,CANB,CANB 674593.2,8334,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64188,Drakaea livida,Drakaea,livida,J.Drumm.,Species,Accepted,NA,105802-3,64188,0,8,"c(116.7, -34.433333)",TRUE
7059,ALA_8499,Drakaea thynniphila,-34.416667,115.666667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,A.S.George,"Lake Jasper, track along SE edge of lake.",Australia,AU,NA,10,1986,PRESERVED_SPECIMEN,CANB,CANB,CANB 564889.2,147,"Peakall, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64190,Drakaea thynniphila,Drakaea,thynniphila,A.S.George,Species,Accepted,NA,904079-1,64190,0,10,"c(115.666667, -34.416667)",TRUE
7318,ALA_8845,Drakaea concolor,-27.7,114.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,Hopper & A.P.Br.,NA,Australia,AU,NA,8,1991,PRESERVED_SPECIMEN,CANB,CANB,CANB 868572.1,s.n.,"Hopper, S.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,346743,Drakaea concolor,Drakaea,concolor,Hopper & A.P.Br.,Species,Accepted,NA,77084176-1,346743,0,16,"c(114.4, -27.7)",TRUE
7468,ALA_9048,Drakaea thynniphila,-34.984444,116.6375,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,A.S.George,"Highway 1, 10 kilometres west of Walpole.",Australia,AU,NA,10,2004,PRESERVED_SPECIMEN,CANB,CANB,CANB 653895.1,5595,"French, C.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64190,Drakaea thynniphila,Drakaea,thynniphila,A.S.George,Species,Accepted,NA,904079-1,64190,0,10,"c(116.6375, -34.984444)",TRUE
7990,ALA_9729,Drakaea thynniphila,-34.045,115.026389,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drakaea,species,A.S.George,10 km S of Prevelly Park on road to Augusta.,Australia,AU,NA,10,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8806840.2,3178,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64190,Drakaea thynniphila,Drakaea,thynniphila,A.S.George,Species,Accepted,NA,904079-1,64190,0,10,"c(115.026389, -34.045)",TRUE
