V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
161361,GBIF_101520,Dresslerella hispida,8.691947,-83.217319,1253582924,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(L. O. Williams) Luer,"Est. Rio Bonito, Cerro Gamba",NA,CR,300,10,1996,PRESERVED_SPECIMEN,INBio,Plantae,1531731,without-number,Eida Fletes; Alexander Rojas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64208,Dresslerella hispida,Dresslerella,hispida,(L.O.Williams) Luer,Species,Accepted,NA,84079-2,64208,2,14,"c(-83.217319, 8.691947)",TRUE
183687,GBIF_129086,Dresslerella hispida,8.716667,-83.533333,1261826490,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(L.O. Williams) Luer,"Aguabuena, Fila Casa Loma, siguiendo el antiguo camino a Rancho Quemado.",NA,CR,500,10,1990,PRESERVED_SPECIMEN,MO,Tropicos,903338,4440,Gerardo Herrera Ch.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64208,Dresslerella hispida,Dresslerella,hispida,(L.O.Williams) Luer,Species,Accepted,NA,84079-2,64208,1,14,"c(-83.533333, 8.716667)",TRUE
233088,GBIF_192571,Dresslerella hispida,7.45,-78.066667,1259088333,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(L.O. Williams) Luer,"Ridges N of Punta Guayabo Grande, NW of Ensenada El Guayabo.",NA,PA,200,1,1982,PRESERVED_SPECIMEN,MO,Tropicos,1834581,3165,Sandy Knapp;Jim Mallet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64208,Dresslerella hispida,Dresslerella,hispida,(L.O.Williams) Luer,Species,Accepted,NA,84079-2,64208,1,14,"c(-78.066667, 7.45)",TRUE
289234,GBIF_286594,Dresslerella hispida,8.6,-80.13333,1258512696,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(L.O. Williams) Luer,Vicinity of El Valle,NA,PA,450,9,1938,PRESERVED_SPECIMEN,MO,Tropicos,1297741,782,Paul H. Allen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64208,Dresslerella hispida,Dresslerella,hispida,(L.O.Williams) Luer,Species,Accepted,NA,84079-2,64208,1,14,"c(-80.13333, 8.6)",TRUE
289613,GBIF_286993,Dresslerella pertusa,9.25833,-78.93055,1259333744,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(Dressler) Luer,"El Llano-Cartí Road, 5-6 miles N of Interamerican Highway at El Llano",NA,PA,362.5,5,1976,PRESERVED_SPECIMEN,MO,Tropicos,2058574,34795,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64209,Dresslerella pertusa,Dresslerella,pertusa,(Dressler) Luer,Species,Accepted,NA,84080-2,64209,0,15,"c(-78.93055, 9.25833)",TRUE
289620,GBIF_287000,Dresslerella pertusa,9.16722,-79.41638,1259334216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(Dressler) Luer,Cerro Azul,NA,PA,700,7,1960,PRESERVED_SPECIMEN,MO,Tropicos,2059069,428,John E. Ebinger,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64209,Dresslerella pertusa,Dresslerella,pertusa,(Dressler) Luer,Species,Accepted,NA,84080-2,64209,0,15,"c(-79.41638, 9.16722)",TRUE
384437,GBIF_422748,Dresslerella pertusa,9.238889,-79.340278,1259335524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(Dressler) Luer,"Vicinity of Cerro Jefe, 4.6 km beyond peak on road to Altos de Pacora, 26.3 km from the Inter-American Highway.",NA,PA,600,6,1976,PRESERVED_SPECIMEN,MO,Tropicos,2059990,35904,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64209,Dresslerella pertusa,Dresslerella,pertusa,(Dressler) Luer,Species,Accepted,NA,84080-2,64209,0,15,"c(-79.340278, 9.238889)",TRUE
397187,GBIF_440784,Dresslerella hispida,8.716667,-83.533334,1253631111,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(L. O. Williams) Luer,"Aguabuena, Fila Casa Loma, siguiendo el antiguo camino a Rancho Quemado.",NA,CR,500,10,1990,PRESERVED_SPECIMEN,INBio,Plantae,1597853,without-number,Gerardo Herrera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64208,Dresslerella hispida,Dresslerella,hispida,(L.O.Williams) Luer,Species,Accepted,NA,84079-2,64208,2,14,"c(-83.533334, 8.716667)",TRUE
397680,GBIF_441608,Dresslerella pilosissima,10.313889,-84.397222,1253673844,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(Schltr.) Luer,"Alajuela, San Carlos, Rio Platanar, cabeceras cerca Finca Pradera.",NA,CR,1050,6,1998,PRESERVED_SPECIMEN,INBio,Plantae,2830278,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64210,Dresslerella pilosissima,Dresslerella,pilosissima,(Schltr.) Luer,Species,Accepted,NA,84081-2,64210,0,14,"c(-84.397222, 10.313889)",TRUE
398556,GBIF_443475,Dresslerella hispida,9.7,-84.333333,1253854557,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dresslerella,SPECIES,(L. O. Williams) Luer,Mastatal de Puriscal,NA,CR,350,9,2006,PRESERVED_SPECIMEN,INBio,Plantae,4128723,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64208,Dresslerella hispida,Dresslerella,hispida,(L.O.Williams) Luer,Species,Accepted,NA,84079-2,64208,2,14,"c(-84.333333, 9.7)",TRUE
