V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
172281,GBIF_115456,Dressleria eburnea,12.23333,-85.18333,1258531530,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,(Ames & C. Schweinf.) Dodson,Babilonia Mine,NA,NI,570,NA,1959,PRESERVED_SPECIMEN,SEL,Tropicos,1315697,6972,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64218,Dressleria eburnea,Dressleria,eburnea,(Rolfe) Dodson,Species,Accepted,NA,84085-2,64218,18,8,"c(-85.18333, 12.23333)",TRUE
182224,GBIF_127549,Dressleria severiniana,8.623333,-80.126667,1261381008,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,H.G. Hills,Hills above El Valle de Antón; collected by native collector.,NA,PA,NA,1,1972,PRESERVED_SPECIMEN,MO,Tropicos,665879,3681,Alwyn H. Gentry;John D. Dwyer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64223,Dressleria severiniana,Dressleria,severiniana,H.G.Hills,Species,Accepted,NA,301653-2,64223,1,5,"c(-80.126667, 8.623333)",TRUE
257476,GBIF_223385,Dressleria fragrans,0.35,-79.733333,1258270100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,Dodson,"Bilsa Biological Station. Montañas de Mache, 35 km W of Quinindé, 5 km W of Santa Isabel. Premontane Wet Forest. Mature forest along Rana Roja Trail.",NA,EC,500,5,1995,PRESERVED_SPECIMEN,QCNE,Tropicos,1062736,805,John L. Clark;Claire Watt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64219,Dressleria fragrans,Dressleria,fragrans,Dodson,Species,Accepted,NA,1006594-1,64219,0,6,"c(-79.733333, 0.35)",TRUE
283225,GBIF_263733,Dressleria eburnea,10.47,-84.67,1259683841,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,(Rolfe) Dodson,North slopes of Volcán Arenal,NA,CR,650,6,1997,PRESERVED_SPECIMEN,SEL,Tropicos,2376355,s.n.,Harry E. Luther;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64218,Dressleria eburnea,Dressleria,eburnea,(Rolfe) Dodson,Species,Accepted,NA,84085-2,64218,0,14,"c(-84.67, 10.47)",TRUE
359016,GBIF_384319,Dressleria dilecta,13.26666,-85.73333,1258531567,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,(Rchb. f.) Dodson,Base of Penas Blancas,NA,NI,960,NA,1959,PRESERVED_SPECIMEN,SEL,Tropicos,1315688,7094,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64217,Dressleria dilecta,Dressleria,dilecta,(Rchb.f.) Dodson,Species,Accepted,NA,84084-2,64217,1,10,"c(-85.73333, 13.26666)",TRUE
359017,GBIF_384320,Dressleria helleri,13.266667,-85.733333,1258531570,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,Dodson,Coffee plantation at the base of Peñas Blancas.,NA,NI,915,6,1965,PRESERVED_SPECIMEN,SEL,Tropicos,1315693,8422,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64220,Dressleria helleri,Dressleria,helleri,Dodson,Species,Accepted,NA,84086-2,64220,0,6,"c(-85.733333, 13.266667)",TRUE
395348,GBIF_438371,Dressleria helleri,10.675,-83.658333,1253604990,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,Dodson,Inundated orest at the northern base of the southwesterm-most extension of Cerro Coronel.,NA,CR,5,9,1986,PRESERVED_SPECIMEN,INBio,Plantae,1564231,without-number,Gerrit Davidse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64220,Dressleria helleri,Dressleria,helleri,Dodson,Species,Accepted,NA,84086-2,64220,0,6,"c(-83.658333, 10.675)",TRUE
398462,GBIF_443156,Dressleria helleri,10.927222,-85.493889,1253701255,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,Dodson,Estacion Cacao; bosque primario.,NA,CR,1100,6,1990,PRESERVED_SPECIMEN,INBio,Plantae,2905353,without-number,Daniel Acevedo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64220,Dressleria helleri,Dressleria,helleri,Dodson,Species,Accepted,NA,84086-2,64220,0,6,"c(-85.493889, 10.927222)",TRUE
487030,GBIF_571927,Dressleria helleri,10.675,-83.658333,1261359750,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,Dodson,Inundated forest at the northern base of the southwestern-most extension of Cerro Coronel.,NA,CR,5,9,1986,PRESERVED_SPECIMEN,MO,Tropicos,643738,31530,Gerrit Davidse;Gerardo Herrera Ch.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64220,Dressleria helleri,Dressleria,helleri,Dodson,Species,Accepted,NA,84086-2,64220,0,6,"c(-83.658333, 10.675)",TRUE
490355,GBIF_579430,Dressleria kerryae,9.256944,-79.134444,1261380712,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,H.G. Hills,10 km N of Magarita on road to Madroño then 3 km W on ridgetop road.,NA,PA,548.64,1,1979,PRESERVED_SPECIMEN,MO,Tropicos,665565,6017,Barry E. Hammel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64222,Dressleria kerryae,Dressleria,kerryae,H.G.Hills,Species,Accepted,NA,1017037-1,64222,1,5,"c(-79.134444, 9.256944)",TRUE
492850,GBIF_583215,Dressleria helleri,13.766667,-85,1258531526,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,Dodson,Cerro Saslaya; cloud forest,NA,NI,1100,5,1978,PRESERVED_SPECIMEN,MO,Tropicos,1315694,3838,David A. Neill,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64220,Dressleria helleri,Dressleria,helleri,Dodson,Species,Accepted,NA,84086-2,64220,0,6,"c(-85, 13.766667)",TRUE
512714,GBIF_614650,Dressleria fragrans,0.35,-79.7,1503345593,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dressleria,SPECIES,NA,Quinindé,NA,EC,662.5,9,2006,PRESERVED_SPECIMEN,BGBM,NK_Bilsa,225,without-number,Nils Köster & Anne-Marie Schnell,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64219,Dressleria fragrans,Dressleria,fragrans,Dodson,Species,Accepted,NA,1006594-1,64219,6,-1,"c(-79.7, 0.35)",TRUE
