V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111224,GBIF_15230,Dryadella edwallii,-22.667222,-44.851111,4526416706,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,Angiospermas,Trilha para os 3 Picos.,NA,BR,NA,4,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00563741,164,F. F. V. A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64661,Dryadella edwallii,Dryadella,edwallii,(Cogn.) Luer,Species,Accepted,NA,84206-2,64661,12,2,"c(-44.851111, -22.667222)",TRUE
124313,GBIF_45730,Dryadella osmariniana,-2.883333,-59.97,1042653187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Tinga.",NA,BR,0,12,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195226,276,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64680,Dryadella osmariniana,Dryadella,osmariniana,(Braga) Garay & Dunst.,Species,Accepted,NA,1204566-2,64680,22,-1,"c(-59.97, -2.883333)",TRUE
124607,GBIF_46036,Dryadella osmariniana,-2.883333,-59.97,1042667460,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Tinga.",NA,BR,0,12,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195260,787,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64680,Dryadella osmariniana,Dryadella,osmariniana,(Braga) Garay & Dunst.,Species,Accepted,NA,1204566-2,64680,22,-1,"c(-59.97, -2.883333)",TRUE
124863,GBIF_46304,Dryadella osmariniana,-2.883333,-59.97,1042619871,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,NA,Reserva Florestal Adolfo Ducke,NA,BR,0,8,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195187,1837,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64680,Dryadella osmariniana,Dryadella,osmariniana,(Braga) Garay & Dunst.,Species,Accepted,NA,1204566-2,64680,22,-1,"c(-59.97, -2.883333)",TRUE
125055,GBIF_46505,Dryadella osmariniana,-2.883333,-59.97,1042667706,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará, na trilha da divisa.",NA,BR,0,5,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195273,972,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64680,Dryadella osmariniana,Dryadella,osmariniana,(Braga) Garay & Dunst.,Species,Accepted,NA,1204566-2,64680,22,-1,"c(-59.97, -2.883333)",TRUE
125124,GBIF_46579,Dryadella osmariniana,-2.883333,-59.97,1042619203,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,NA,Reserva Florestal Adolfo Ducke,NA,BR,0,12,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195171,1778,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64680,Dryadella osmariniana,Dryadella,osmariniana,(Braga) Garay & Dunst.,Species,Accepted,NA,1204566-2,64680,22,-1,"c(-59.97, -2.883333)",TRUE
125144,GBIF_46600,Dryadella osmariniana,-2.883333,-59.97,1042667858,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará, próximo ao acampamento.",NA,BR,0,5,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195271,955,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,64680,Dryadella osmariniana,Dryadella,osmariniana,(Braga) Garay & Dunst.,Species,Accepted,NA,1204566-2,64680,22,-1,"c(-59.97, -2.883333)",TRUE
130517,GBIF_55222,Dryadella gnoma,9.3,-82.533333,1260062846,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,(Luer) Luer,"Near Campamento Changuinola 1, Río Changuinola.",NA,PA,NA,1,1980,PRESERVED_SPECIMEN,MO,Tropicos,2719904,5868,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64665,Dryadella gnoma,Dryadella,gnoma,(Luer) Luer,Species,Accepted,NA,84209-2,64665,0,11,"c(-82.533333, 9.3)",TRUE
130720,GBIF_55429,Dryadella dressleri,9.5,-79.666667,1259333461,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,Luer,"Rio Guanche, ca. 3-4 km above bridge on road to Portobello.",NA,PA,NA,10,1975,PRESERVED_SPECIMEN,MO,Tropicos,2058008,8682,John T. Witherspoon;Fran Witherspoon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64660,Dryadella dressleri,Dryadella,dressleri,Luer,Species,Accepted,NA,319830-2,64660,0,4,"c(-79.666667, 9.5)",TRUE
140760,GBIF_66498,Dryadella edwallii,-25.45,-48.93,2618401748,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dryadella,SPECIES,(Cogn.) Luer,"Plantae Brasilienses. Paraná: Serra do Mar, Carvalho.",NA,BR,NA,11,1911,PRESERVED_SPECIMEN,S,VascularPlants,S16-42465,13322,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64661,Dryadella edwallii,Dryadella,edwallii,(Cogn.) Luer,Species,Accepted,NA,84206-2,64661,0,12,"c(-48.93, -25.45)",TRUE
