V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
16528,ALA_21885,Drymoanthus minimus,-22.15,166.466667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,(Schltr.) Garay,NOUMEA: 3.7 km up Mt Koghi road from intersection at Koghi turnoff.,New Caledonia,NC,NA,8,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9213434.1,204/92,"Wallace, B.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64708,Drymoanthus minimus,Drymoanthus,minimus,(Schltr.) Garay,Species,Accepted,NA,630650-1,64708,0,15,"c(166.466667, -22.15)",TRUE
17260,ALA_23001,Drymoanthus minutus,-17.4,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913026.1,4222,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.4, -17.4)",TRUE
18325,ALA_24769,Drymoanthus minutus,-17.6,145.7,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912958.1,4155,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.7, -17.6)",TRUE
21645,ALA_30240,Drymoanthus minutus,-17,145.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,NA,10,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 571600.1,8341,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.6, -17)",TRUE
23757,ALA_33998,Drymoanthus minutus,-22.18,166.5025,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,"Mont Koghis - below the Auberge, near carpark exit.",New Caledonia,NC,NA,8,2004,PRESERVED_SPECIMEN,CANB,CANB,CANB 998217.1,11197,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(166.5025, -22.18)",TRUE
31645,ALA_49589,Drymoanthus minutus,-17.3,145.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,NA,10,1994,PRESERVED_SPECIMEN,CANB,CANB,CANB 678610.2,DLJ13789,"Lielkajis, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.6, -17.3)",TRUE
36986,ALA_57748,Drymoanthus minutus,-17.4,145.5,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,940 m,8,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW208557,894,"Weston, P.H. | Hind, P.D. | Healey, D. | Sankowsky, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.5, -17.4)",TRUE
70687,ALA_98384,Drymoanthus minutus,-17.3,145.9,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,NA,3,1956,PRESERVED_SPECIMEN,CNS,CNS,CNS 132929.1,s.n.,"Wilkie, J.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.9, -17.3)",TRUE
71053,ALA_98923,Drymoanthus minutus,-17.3,145.5,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,NA,9,2002,PRESERVED_SPECIMEN,CNS,CNS,QRS 124005.1,8308,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.5, -17.3)",TRUE
71294,ALA_99273,Drymoanthus minutus,-16.6,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Drymoanthus,species,Nicholls,NA,Australia,AU,NA,8,2011,PRESERVED_SPECIMEN,CNS,CNS,CNS 151787.2,1166,"Gandini, M.E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,64709,Drymoanthus minutus,Drymoanthus,minutus,Nicholls,Species,Accepted,NA,630651-1,64709,0,8,"c(145.3, -16.6)",TRUE
