V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114174,GBIF_18371,Duckeella pauciflora,2.63,-67.27,2273864837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,Garay,"Casiquiare. sabanitia en la ribera S del Caño San Miguel, a unos 30 Km. al E de la desembocadura en el Río Guainía",NA,VE,NA,2,1979,PRESERVED_SPECIMEN,NY,NY,4070352,3380,O. Huber,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65116,Duckeella pauciflora,Duckeella,pauciflora,Garay,Species,Accepted,NA,85531-2,65116,0,5,"c(-67.27, 2.63)",TRUE
124335,GBIF_45753,Duckeella adolphii,-4.84602,-60.53,1042688412,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,Reserva de Desenvolvimento Sustentável do Matupiri,NA,BR,0,11,2010,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",239197,991,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65114,Duckeella adolphii,Duckeella,adolphii,Porto & Brade,Species,Accepted,NA,630665-1,65114,13,-1,"c(-60.53, -4.84602)",TRUE
124426,GBIF_45846,Duckeella adolphii,-4.197222,-60.11,1042667272,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,"Campina do Tupana, Vegetação savânica, encharcável, com predomínio de Poaceae, Cyperaceae, Humiaceae, Bactris campestris.",NA,BR,13.5,7,2007,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",221505,2908,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65114,Duckeella adolphii,Duckeella,adolphii,Porto & Brade,Species,Accepted,NA,630665-1,65114,13,-1,"c(-60.11, -4.197222)",TRUE
124437,GBIF_45857,Duckeella pauciflora,1.106417,-61.01,1042687554,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,"Parque Nacional do Viruá, Rio Anauá.",NA,BR,24.5,3,2011,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",239715,1424,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65116,Duckeella pauciflora,Duckeella,pauciflora,Garay,Species,Accepted,NA,85531-2,65116,5,-1,"c(-61.01, 1.106417)",TRUE
124486,GBIF_45909,Duckeella adolphii,0.85,-63.35,1042611905,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,"Serra de Aracá, Southern extreme of Northern mountains of Serra Araca",NA,BR,600,2,1984,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",138754,29099,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65114,Duckeella adolphii,Duckeella,adolphii,Porto & Brade,Species,Accepted,NA,630665-1,65114,13,-1,"c(-63.35, 0.85)",TRUE
124512,GBIF_45935,Duckeella adolphii,0.85,-63.37,1042662049,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,"Serra de Aracá, Platô da Serra Aracá, parte SE da Serra Norte.",NA,BR,1200,2,1984,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",123386,108,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65114,Duckeella adolphii,Duckeella,adolphii,Porto & Brade,Species,Accepted,NA,630665-1,65114,13,-1,"c(-63.37, 0.85)",TRUE
124710,GBIF_46143,Duckeella adolphii,-5.0126,-61.27,1042688543,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,Parque Estadual do Matupiri,NA,BR,0,10,2010,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",239104,806,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65114,Duckeella adolphii,Duckeella,adolphii,Porto & Brade,Species,Accepted,NA,630665-1,65114,13,-1,"c(-61.27, -5.0126)",TRUE
124879,GBIF_46321,Duckeella adolphii,0.916667,-63.36,1042668171,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,"Serra de Aracá, Serra do Aracá, platô. Vegetação arbustivo-graminosa. Solo lagedo de pedra (quartzito), com acúmulo de areia.",NA,BR,625,8,2001,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",214386,1867,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65114,Duckeella adolphii,Duckeella,adolphii,Porto & Brade,Species,Accepted,NA,630665-1,65114,13,-1,"c(-63.36, 0.916667)",TRUE
124896,GBIF_46338,Duckeella adolphii,-5.392172,-61.01,1042712545,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,Parque Estadual do Matupiri,NA,BR,22,11,2012,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",254418,1931,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65114,Duckeella adolphii,Duckeella,adolphii,Porto & Brade,Species,Accepted,NA,630665-1,65114,13,-1,"c(-61.01, -5.392172)",TRUE
124902,GBIF_46344,Duckeella alticola,-8.659167,-64.37,1042477312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Duckeella,SPECIES,NA,"Joana D'Arce, campinas a ca 20 Km de Joana D'arc estrada de barro. Área de cerrado com pequenos árvores e bastante graminae no chão. Vegetação baixa, dominado por Qualea. Chão provavalmente alarga. Buritizal ao longo de um cabeceiro de um igarapé",NA,BR,47.5,4,2007,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",221114,1904,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,65115,Duckeella alticola,Duckeella,alticola,C.Schweinf.,Species,Accepted,NA,85530-2,65115,11,-1,"c(-64.37, -8.659167)",TRUE
