V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
196,ALA_219,Earina aestivalis,-44.083333,-176.583333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,Cheeseman,"Tuku-a-Tamatea Nature Reserve, Chatham (Rekohu) Island",New Zealand,NZ,100,2,1996,PRESERVED_SPECIMEN,HO,HO,HO327206,CH135,"de Lange, P.J.|Crowcroft, G.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65620,Earina aestivalis,Earina,aestivalis,Cheeseman,Species,Accepted,NA,630669-1,65620,0,9,"c(-176.583333, -44.083333)",TRUE
222,ALA_250,Earina autumnalis,-43.95,169.233333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,(G.Forst.) Hook.f.,"Haast River, Depot Creek. Mt Aspiring National Park",New Zealand,NZ,45,1,1987,PRESERVED_SPECIMEN,HO,HO,HO111416,14,"Woods, E.H.|Macmillan, B.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65622,Earina autumnalis,Earina,autumnalis,(G.Forst.) Hook.f.,Species,Accepted,NA,630671-1,65622,0,18,"c(169.233333, -43.95)",TRUE
510,ALA_566,Earina aestivalis,-44,-176.5,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,Cheeseman,"Mangape Forest, Lake Huro. Chatham (Rekohu) Island",New Zealand,NZ,NA,2,1996,PRESERVED_SPECIMEN,HO,HO,HO327358,CH196,"de Lange, P.J.|Crowcroft, G.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65620,Earina aestivalis,Earina,aestivalis,Cheeseman,Species,Accepted,NA,630669-1,65620,0,9,"c(-176.5, -44)",TRUE
1111,ALA_1250,Earina mucronata,-39.916667,176.116667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,Lindl.,"Upper Tukituki River, Ruahine Range, Daphne Spur",New Zealand,NZ,800,1,1966,PRESERVED_SPECIMEN,HO,HO,HO81570,s.n.,"Buchanan, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65628,Earina mucronata,Earina,mucronata,Lindl.,Species,Accepted,NA,630678-1,65628,0,6,"c(176.116667, -39.916667)",TRUE
1243,ALA_1403,Earina mucronata,-43.433333,170.166667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,Lindl.,"Rope Creek, Franz Josef Glacier",New Zealand,NZ,400,11,1967,PRESERVED_SPECIMEN,HO,HO,HO78670,s.n.,"Buchanan, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65628,Earina mucronata,Earina,mucronata,Lindl.,Species,Accepted,NA,630678-1,65628,0,6,"c(170.166667, -43.433333)",TRUE
1278,ALA_1444,Earina autumnalis,-38.066667,175.25,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,(G.Forst.) Hook.f.,Kakepuku Historic Reserve,New Zealand,NZ,NA,3,1985,PRESERVED_SPECIMEN,HO,HO,HO109471,s.n.,"Beever, R.|Quinn, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65622,Earina autumnalis,Earina,autumnalis,(G.Forst.) Hook.f.,Species,Accepted,NA,630671-1,65622,0,18,"c(175.25, -38.066667)",TRUE
1299,ALA_1467,Earina mucronata,-36.575,174.683333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,Lindl.,2km SW of Waiwera township,New Zealand,NZ,NA,5,1980,PRESERVED_SPECIMEN,HO,HO,HO42309,79,"Straka, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65628,Earina mucronata,Earina,mucronata,Lindl.,Species,Accepted,NA,630678-1,65628,0,6,"c(174.683333, -36.575)",TRUE
1961,ALA_2228,Earina autumnalis,-44.1,168.516667,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,(G.Forst.) Hook.f.,Cascade River flats,New Zealand,NZ,20,2,1993,PRESERVED_SPECIMEN,HO,HO,HO538297,13129,"Buchanan, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65622,Earina autumnalis,Earina,autumnalis,(G.Forst.) Hook.f.,Species,Accepted,NA,630671-1,65622,0,18,"c(168.516667, -44.1)",TRUE
2920,ALA_3380,Earina mucronata,-38.383333,176.85,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,Lindl.,"Ohutu Stream, Urewera. Eastern Bay of Plenty",New Zealand,NZ,280,12,1997,PRESERVED_SPECIMEN,HO,HO,HO528479,s.n.,"Ford, K.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65628,Earina mucronata,Earina,mucronata,Lindl.,Species,Accepted,NA,630678-1,65628,0,6,"c(176.85, -38.383333)",TRUE
3505,ALA_4087,Earina aestivalis,-41.388333,174.923333,dr10574,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Earina,species,Cheeseman,"Wellington, Orongoronga River",New Zealand,NZ,80,2,1992,PRESERVED_SPECIMEN,HO,HO,HO511786,1320,"de Lange, P.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,65620,Earina aestivalis,Earina,aestivalis,Cheeseman,Species,Accepted,NA,630669-1,65620,0,9,"c(174.923333, -41.388333)",TRUE
