V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114179,GBIF_18376,Echinosepala aspasicensis,0.85,-65.95,2273860770,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,(Rchb.f.) Pridgeon & M.W.Chase,Cerro de La Neblina Camp IV. 15 km NNE of Pico Phelps. North branch of river in canyon.,NA,VE,NA,3,1984,PRESERVED_SPECIMEN,NY,NY,04070384,16690,R. L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,242074,Echinosepala aspasicensis,Echinosepala,aspasicensis,(Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1194702-2,242074,0,30,"c(-65.95, 0.85)",TRUE
114300,GBIF_18497,Echinosepala uncinata,18.082576,-76.736122,1931371918,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,(Fawc.) Pridgeon & M.W.Chase,Hardware Gap,NA,JM,NA,7,1903,PRESERVED_SPECIMEN,NY,NY,50231,76,G. E. Nichols,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,242081,Echinosepala uncinata,Echinosepala,uncinata,(Fawc.) Pridgeon & M.W.Chase,Species,Accepted,NA,1007147-2,242081,0,28,"c(-76.736122, 18.082576)",TRUE
114433,GBIF_18634,Echinosepala uncinata,18.094072,-76.659406,1928089209,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,(Fawc.) Pridgeon & M.W.Chase,Trail from Morces Gap to Vinegar Hill,NA,JM,1337.5,3,1920,PRESERVED_SPECIMEN,NY,NY,50232,698,W. R. Maxon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,242081,Echinosepala uncinata,Echinosepala,uncinata,(Fawc.) Pridgeon & M.W.Chase,Species,Accepted,NA,1007147-2,242081,0,28,"c(-76.659406, 18.094072)",TRUE
124698,GBIF_46130,Echinosepala uncinata,0.85,-63.37,1042662172,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,NA,"Serra de Aracá, Platô da Serra Aracá, parte SE da Serra Norte.",NA,BR,1200,2,1984,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",123390,112,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,242081,Echinosepala uncinata,Echinosepala,uncinata,(Fawc.) Pridgeon & M.W.Chase,Species,Accepted,NA,1007147-2,242081,28,-1,"c(-63.37, 0.85)",TRUE
129246,GBIF_53912,Echinosepala aspasicensis,-3.7,-78.2,1261376573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,(Rchb. f.) Luer,East of Guisme.,NA,EC,1500,2,1986,PRESERVED_SPECIMEN,MO,Tropicos,661451,11889,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,242074,Echinosepala aspasicensis,Echinosepala,aspasicensis,(Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1194702-2,242074,20,6,"c(-78.2, -3.7)",TRUE
129277,GBIF_53945,Echinosepala uncinata,8.788333,-82.198333,1261378434,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,Fawc.,"Along road between Gualaca and Chiriquí Grande, 6.6 mi N of middle of bridge over Fortuna Lake, steep slope in forest above highway. [Coordinates on orginal label: 08º45'N, 82º18'W]",NA,PA,780,6,1987,PRESERVED_SPECIMEN,MO,Tropicos,663314,66763,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,242081,Echinosepala uncinata,Echinosepala,uncinata,(Fawc.) Pridgeon & M.W.Chase,Species,Accepted,NA,1007147-2,242081,23,4,"c(-82.198333, 8.788333)",TRUE
151823,GBIF_83441,Echinosepala uncinata,18.120588,-76.751408,1928228333,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,(Fawc.) Pridgeon & M.W.Chase,Moody's Gap,NA,JM,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,50230,2141,Jamaican Plants,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,242081,Echinosepala uncinata,Echinosepala,uncinata,(Fawc.) Pridgeon & M.W.Chase,Species,Accepted,NA,1007147-2,242081,0,28,"c(-76.751408, 18.120588)",TRUE
161441,GBIF_101603,Echinosepala pan,10.316111,-84.711667,1253613803,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,Luer,San Ramon. Rio Penas Blancas. Refugio Eladio s. Sendero Eston s.,NA,CR,800,3,1992,PRESERVED_SPECIMEN,INBio,Plantae,1573762,without-number,Erick Bello,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,242077,Echinosepala pan,Echinosepala,pan,(Luer) Pridgeon & M.W.Chase,Species,Accepted,NA,1214577-2,242077,23,3,"c(-84.711667, 10.316111)",TRUE
161504,GBIF_101669,Echinosepala aspasicensis,10.345278,-84.800556,1253646572,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,Rchb. f.,300 m down road from Station. On treefall in pasture.,NA,CR,1550,5,1994,PRESERVED_SPECIMEN,INBio,Plantae,1584553,without-number,Darin Penneys,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,242074,Echinosepala aspasicensis,Echinosepala,aspasicensis,(Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1194702-2,242074,23,4,"c(-84.800556, 10.345278)",TRUE
174922,GBIF_118236,Echinosepala aspasicensis,-5.24777,-78.63972,1258973518,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Echinosepala,SPECIES,(Rchb. f.) Luer,"Huarango, Nuevo Mundo",NA,PE,1160,3,2000,PRESERVED_SPECIMEN,CUZ,Tropicos,1730176,374,Gloria Calatayud;José Campos de la Cruz;M. Huamán;Jorge Lingán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,242074,Echinosepala aspasicensis,Echinosepala,aspasicensis,(Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1194702-2,242074,20,6,"c(-78.63972, -5.24777)",TRUE
