V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107087,GBIF_10308,Eggelingia ligulifolia,-1.31667,28.51667,2515694506,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,Summerh.,Walikale.,NA,CD,NA,7,1957,PRESERVED_SPECIMEN,NA,Botany,WAG.1135171,"Gutzwiller, R 1306",Gutzwiller R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66276,Eggelingia ligulifolia,Eggelingia,ligulifolia,Summerh.,Species,Accepted,NA,630692-1,66276,0,8,"c(28.51667, -1.31667)",TRUE
133087,GBIF_58196,Eggelingia gabonensis,0.63333,10.35,2517600514,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,P.J.Cribb & Laan,"Wageningen Botanic Gardens, CULTA greenhouse WAG nr. 83PTGA101",NA,GA,NA,3,1983,PRESERVED_SPECIMEN,NA,Botany,WAG0139649,"Laan, FM van der 577",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66275,Eggelingia gabonensis,Eggelingia,gabonensis,P.J.Cribb & Laan,Species,Accepted,NA,937887-1,66275,0,16,"c(10.35, 0.63333)",TRUE
159167,GBIF_98925,Eggelingia clavata,-1.94133,10.34433,2517717924,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,Summerh.,southern ascent Mt. Igoumbi.,NA,GA,NA,4,2005,PRESERVED_SPECIMEN,NA,Botany,WAG.1135169,"Valkenburg, JLCH van; Degreef, J; Azizet Issembé, Y; Boussiengui, J-N 3073",Valkenburg JLCH van; Degreef J; Azizet Issembé Y; Boussiengui J-N,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66274,Eggelingia clavata,Eggelingia,clavata,Summerh.,Species,Accepted,NA,630691-1,66274,0,8,"c(10.34433, -1.94133)",TRUE
165435,GBIF_106129,Eggelingia gabonensis,2.93333,11.98333,2515546225,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,P.J.Cribb & Laan,18km E. of Djoum.,NA,CM,NA,8,1981,PRESERVED_SPECIMEN,NA,Botany,WAG0137321,"Laan, FM van der 399",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66275,Eggelingia gabonensis,Eggelingia,gabonensis,P.J.Cribb & Laan,Species,Accepted,NA,937887-1,66275,0,16,"c(11.98333, 2.93333)",TRUE
237104,GBIF_197242,Eggelingia clavata,-7.116667,26.9,912107135,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,Summerh.,"Penghe, on banks of R. [Inkisi - label illegable].",NA,CD,NA,2,1914,PRESERVED_SPECIMEN,K,Herbarium,K000048725,2334,Bequaent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66274,Eggelingia clavata,Eggelingia,clavata,Summerh.,Species,Accepted,NA,630691-1,66274,0,8,"c(26.9, -7.116667)",TRUE
237408,GBIF_197552,Eggelingia clavata,5.35,-5.666667,912107113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,Summerh.,Between Lagoko and Okromodou.,NA,CI,NA,6,1966,PRESERVED_SPECIMEN,K,Herbarium,K000048720,9017,"Assi, Aké",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66274,Eggelingia clavata,Eggelingia,clavata,Summerh.,Species,Accepted,NA,630691-1,66274,0,8,"c(-5.666667, 5.35)",TRUE
237719,GBIF_197871,Eggelingia clavata,-2.733333,17.566667,912107126,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,Summerh.,"Kibale - Inkisi, between Inunu and Mambasa. [Inunu LatLong]",NA,CD,NA,10,1931,PRESERVED_SPECIMEN,K,Herbarium,K000048728,4173,"Lebum, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66274,Eggelingia clavata,Eggelingia,clavata,Summerh.,Species,Accepted,NA,630691-1,66274,0,8,"c(17.566667, -2.733333)",TRUE
248805,GBIF_213192,Eggelingia ligulifolia,-2.433333,29.066667,1840893671,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,NA,Gisakura | Forêt de Nyungwe - Rugege | Préfecture: Cyangugu,NA,RW,NA,10,1974,PRESERVED_SPECIMEN,MeiseBG,BR,BR6102008733035,15481,Troupin G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66276,Eggelingia ligulifolia,Eggelingia,ligulifolia,Summerh.,Species,Accepted,NA,630692-1,66276,8,-1,"c(29.066667, -2.433333)",TRUE
250230,GBIF_214807,Eggelingia clavata,4.66667,-7.16667,1703341646,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,Summerh.,Entre San Pédro et Grand-Béréby,NA,CI,NA,10,1975,PRESERVED_SPECIMEN,IBANN,UCJ,NA,without-number,Perez-Vera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66274,Eggelingia clavata,Eggelingia,clavata,Summerh.,Species,Accepted,NA,630691-1,66274,0,8,"c(-7.16667, 4.66667)",TRUE
250231,GBIF_214808,Eggelingia clavata,5.4,-4.71667,1703341643,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eggelingia,SPECIES,Summerh.,Entre Lagako et Okromodou,NA,CI,NA,6,1966,PRESERVED_SPECIMEN,IBANN,UCJ,NA,without-number,"Aké Assi, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66274,Eggelingia clavata,Eggelingia,clavata,Summerh.,Species,Accepted,NA,630691-1,66274,0,8,"c(-4.71667, 5.4)",TRUE
