V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111191,GBIF_15195,Eltroplectris calcarata,-20.555833,-40.399444,4526413676,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,Angiospermas,Parque Estadual Paulo César Vinha.,NA,BR,NA,3,2018,PRESERVED_SPECIMEN,NA,VIES,VIES024257,40,"Silva, H.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,22,1,"c(-40.399444, -20.555833)",TRUE
114310,GBIF_18507,Eltroplectris calcarata,21.663494,-77.28865,1930749948,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & H.R.Sweet,"Jatovieja, Cayo Sabinal, Camagüey",NA,CU,NA,3,1909,PRESERVED_SPECIMEN,NY,NY,56424,1060,J. A. Shafer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,0,23,"c(-77.28865, 21.663494)",TRUE
137931,GBIF_63452,Eltroplectris triloba,-22.9283,-43.24,1576151094,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Lindl.) Schltr.,Tijuca(?).,NA,BR,300,2,1951,PRESERVED_SPECIMEN,USF,Herb,26008,1137,G. J. F. Pabst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66839,Eltroplectris triloba,Eltroplectris,triloba,(Lindl.) Pabst,Species,Accepted,NA,90143-2,66839,6,9,"c(-43.24, -22.9283)",TRUE
138109,GBIF_63639,Eltroplectris calcarata,-22.8833,-43.2833,1576151093,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Lindl.) Schltr.,Rio Inca(?).,NA,BR,NA,5,1951,PRESERVED_SPECIMEN,USF,Herb,26007,404,G. J. F. Pabst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,21,3,"c(-43.2833, -22.8833)",TRUE
140468,GBIF_66204,Eltroplectris brachycentron,-20.89,-56.749722,2237772658,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,Szlach.,"Fazenda Remanso, 10 Km sul da sede, Parque Nacional da Serra da Bodoquena.",NA,BR,390,9,2005,PRESERVED_SPECIMEN,UFMS,CGMS,68627,8111,V.J. Pott; E. Scremin-Dias; A. Pott,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66825,Eltroplectris brachycentron,Eltroplectris,brachycentron,Szlach.,Species,Accepted,NA,306874-2,66825,0,7,"c(-56.749722, -20.89)",TRUE
152177,GBIF_83807,Eltroplectris calcarata,18.3,-70.93,1931126102,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & H.R.Sweet,Sierra Martín García: en la parte arriba de la Sierra Martín García,NA,DO,NA,2,1987,PRESERVED_SPECIMEN,NY,NY,56427,38383,T. A. Zanoni,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,0,23,"c(-70.93, 18.3)",TRUE
152626,GBIF_84276,Eltroplectris triloba,-22.992445,-43.595004,1929497671,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Lindl.) Pabst,Guaratiba.,NA,BR,NA,8,1963,PRESERVED_SPECIMEN,NY,NY,1032892,7645,E. Pereira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66839,Eltroplectris triloba,Eltroplectris,triloba,(Lindl.) Pabst,Species,Accepted,NA,90143-2,66839,0,14,"c(-43.595004, -22.992445)",TRUE
152642,GBIF_84292,Eltroplectris calcarata,18.159905,-66.946505,1930096010,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & H.R.Sweet,"Indiera Fria, near Maricao",NA,PR,NA,2,1915,PRESERVED_SPECIMEN,NY,NY,56420,4466,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,0,23,"c(-66.946505, 18.159905)",TRUE
167961,GBIF_109029,Eltroplectris triloba,-11.621667,-40.9975,2302391669,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Lindl.) Pabst,Monumento Natural Cachoeira do Ferro Doido.,NA,BR,387.5,9,2016,PRESERVED_SPECIMEN,UFRN,UFRN,UFRN00022781,363,"Garcia, G.S.;Nepomuceno, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66839,Eltroplectris triloba,Eltroplectris,triloba,(Lindl.) Pabst,Species,Accepted,NA,90143-2,66839,0,14,"c(-40.9975, -11.621667)",TRUE
167985,GBIF_109053,Eltroplectris calcarata,-6.524722,-35.168611,2302380442,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & Sweet,"BR 101, entrada a direita após a divisa dos Estados RN/PB. Ca. 1.5 Km após o posto fiscal. Vicinal entre os canavais, ca. 7.5 Km da BR.",NA,BR,54.5,8,2014,PRESERVED_SPECIMEN,UFRN,UFRN,UFRN00016364,202,"Moura, E.O.;Roque, A.A.,Carvalho, J.S.J.r.,Soares, A.S.,Soares Neto, R.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,4,14,"c(-35.168611, -6.524722)",TRUE
168034,GBIF_109103,Eltroplectris calcarata,-5.850278,-35.226944,2302391909,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & Sweet,Parque da Cidade Dom Nivaldo Monte.,NA,BR,27.5,9,2015,PRESERVED_SPECIMEN,UFRN,UFRN,UFRN00022331,20,"Gomes, C.P.C.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,4,14,"c(-35.226944, -5.850278)",TRUE
168082,GBIF_109152,Eltroplectris calcarata,-5.921111,-36.573611,2302380040,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & Sweet,"Centro de Lançamento Barreira do Inferno, ca. 5 km ao sul da Rodovia. Rota do Sol.",NA,BR,17,8,2009,PRESERVED_SPECIMEN,UFRN,UFRN,UFRN00012369,5578,"Jardim, J.G.;Oliveira, D.V.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,4,14,"c(-36.573611, -5.921111)",TRUE
168101,GBIF_109171,Eltroplectris calcarata,-6.387222,-35.275833,2302390457,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & Sweet,APA Piquirí-Una.,NA,BR,72.5,8,2016,PRESERVED_SPECIMEN,UFRN,UFRN,UFRN00022727,308,"Garcia, G.S.;Roque, A.A.,Marinho, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,4,14,"c(-35.275833, -6.387222)",TRUE
177478,GBIF_121125,Eltroplectris schlechteriana,-25.595111,-54.388972,1324595551,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Porto & Brade) Pabst,"Parque Nacional do Iguaçu, trilha do",NA,BR,188,4,2016,PRESERVED_SPECIMEN,UTFPR-CP,HCF,19878,7411,M.G. Caxambú,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66837,Eltroplectris schlechteriana,Eltroplectris,schlechteriana,(Porto & Brade) Pabst,Species,Accepted,NA,90141-2,66837,0,21,"c(-54.388972, -25.595111)",TRUE
179989,GBIF_124100,Eltroplectris calcarata,-14.683333,-39.15,2452858880,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,(Sw.) Garay & H.R.Sweet,"Rd from Ilhéus to Serra Grande, 11.3 km N of the Itaipe bridge leaving Ilhéus",NA,BR,NA,5,1992,PRESERVED_SPECIMEN,Instituto de Botânica,SP,259742,9116,"Thomas, WW; et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66826,Eltroplectris calcarata,Eltroplectris,calcarata,(Sw.) Garay & H.R.Sweet,Species,Accepted,NA,90133-2,66826,0,23,"c(-39.15, -14.683333)",TRUE
192235,GBIF_138267,Eltroplectris rossii,-1.083,-75.783,47764298,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eltroplectris,SPECIES,NA,"Río Yasuní, Garza Coche. Primary rain forest near the beginning of lake Garza Coche. Terra firme.",NA,EC,200,4,1983,PRESERVED_SPECIMEN,AU,AAU,J.E.Lawesson43534,without-number,J.E. Lawesson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66836,Eltroplectris rossii,Eltroplectris,rossii,Dodson & G.A.Romero,Species,Accepted,NA,302128-2,66836,18,1,"c(-75.783, -1.083)",TRUE
