V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104149,GBIF_366,Encyclia alata,12.03333,-85.13333,1055328913,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,(Bateman) Schltr.,"8 km by road SW of Santo Tomás, 150 m",NA,NI,150,6,1985,PRESERVED_SPECIMEN,NHMUK,BOT,BM000796886,30796,"Gerrit Davidse, Alfredo Grijalva Pineda, Mario Sousa Sánchez",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,66940,Encyclia alata,Encyclia,alata,(Bateman) Schltr.,Species,Accepted,NA,90675-2,66940,0,17,"c(-85.13333, 12.03333)",TRUE
104304,GBIF_524,Encyclia fucata,21.62117,-79.03635,1057321317,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,(Lindl.) Britton & Millsp.,NA,NA,CU,NA,5,1910,PRESERVED_SPECIMEN,NHMUK,BOT,BM000099353,515,O E. Jennings,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67067,Encyclia fucata,Encyclia,fucata,(Lindl.) Schltr.,Species,Accepted,NA,90763-2,67067,15,9,"c(-79.03635, 21.62117)",TRUE
104552,GBIF_848,Encyclia candollei,19.512139,-96.941467,1897490817,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,"(Lindl.) Schltr., 1914",Santuario del Bosque de Niebla; Jardín Botánico Clavijero,NA,MX,650,9,2004,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Philip John Brewster,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67003,Encyclia candollei,Encyclia,candollei,(Lindl.) Schltr.,Species,Accepted,NA,90724-2,67003,6,16,"c(-96.941467, 19.512139)",TRUE
106899,GBIF_10113,Encyclia alata,16.56667,-90.23333,3771076357,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,Bateman,"Dept. Peten, Puerto Chimono, Laguna Petexbatun, 20 km South of Sayaxche.",NA,GT,NA,7,1990,PRESERVED_SPECIMEN,NA,Botany,L  0304503,"Zomer, H 321",Zomer H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66940,Encyclia alata,Encyclia,alata,(Bateman) Schltr.,Species,Accepted,NA,90675-2,66940,10,7,"c(-90.23333, 16.56667)",TRUE
108137,GBIF_11395,Encyclia cordigera,8.25,-70.75,2517697898,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,(Kunth) Dressler,"Venezuela, Ticoporo forest reserve. State of Barinas. Bank of Bumbun Hiver.",NA,VE,NA,3,1964,PRESERVED_SPECIMEN,NA,Botany,WAG.1135178,"Breteler, FJ 3666",Breteler FJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67028,Encyclia cordigera,Encyclia,cordigera,(Kunth) Dressler,Species,Accepted,NA,90737-2,67028,0,16,"c(-70.75, 8.25)",TRUE
111634,GBIF_15655,Encyclia diurna,20.5,-75.816667,473281174,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,(Jacquin) Schlechter,"Sierra de Nipe, Loma de la Mensura",NA,CU,NA,7,1940,PRESERVED_SPECIMEN,UdeM,MT,MT00115828,19216,"León, Hno; Liogier, H. Alain",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67044,Encyclia diurna,Encyclia,diurna,(Jacq.) Schltr.,Species,Accepted,NA,90748-2,67044,8,6,"c(-75.816667, 20.5)",TRUE
112211,GBIF_16248,Encyclia plicata,22.40008,-79.96667,473281193,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,(Lindley) Schlechter,"Santa Clara, près de",NA,CU,NA,6,1941,PRESERVED_SPECIMEN,UdeM,MT,MT00115833,5031,"Howard, Richard A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67217,Encyclia plicata,Encyclia,plicata,(Lindl.) Schltr.,Species,Accepted,NA,90861-2,67217,7,6,"c(-79.96667, 22.40008)",TRUE
113286,GBIF_17438,Encyclia plicata,22.646452,-83.366543,473281190,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,(Lindley) Schlechter,près de San Diego de los Baños,NA,CU,NA,8,1914,PRESERVED_SPECIMEN,UdeM,MT,MT00115832,4540,"León, Hno; Hioram-Jean, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67217,Encyclia plicata,Encyclia,plicata,(Lindl.) Schltr.,Species,Accepted,NA,90861-2,67217,7,6,"c(-83.366543, 22.646452)",TRUE
113431,GBIF_17597,Encyclia adenocaula,19.658333,-104.325,1893960797,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,"(Lex.) Schltr., 1918","0.5 km al SO de Ahuacapán, 12 km al SSE de Autlán",NA,MX,650,6,1985,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,251,without-number,José Antonio Vázquez García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66933,Encyclia adenocaula,Encyclia,adenocaula,(Lex.) Schltr.,Species,Accepted,NA,90670-2,66933,6,14,"c(-104.325, 19.658333)",TRUE
113475,GBIF_17644,Encyclia aenicta,19.6,-104.211111,1893963199,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Encyclia,SPECIES,"Dressler & G.E. Pollard, 1971","0.5-1 km al NO de Rincón de Manantlán, 13 km al S de El Chante",NA,MX,950,1,1980,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1953,without-number,Hugh Iltis; George Schatz; Paul Sorensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,66937,Encyclia aenicta,Encyclia,aenicta,Dressler & G.E.Pollard,Species,Accepted,NA,90672-2,66937,7,15,"c(-104.211111, 19.6)",TRUE
