V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106594,GBIF_9794,Epiblastus chimbuensis,-5.75,145.83333,2513805473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,P.Royen,"Pengagl Creek, Eastern Highlands District, Mt. Wilhelm.",NA,PG,NA,6,1965,PRESERVED_SPECIMEN,NA,Botany,L.1508346,"Balgooy, MMJ van 894",Balgooy MMJ van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67587,Epiblastus chimbuensis,Epiblastus,chimbuensis,P.Royen,Species,Accepted,NA,631205-1,67587,0,7,"c(145.83333, -5.75)",TRUE
107598,GBIF_10830,Epiblastus auriculatus,-6.25,144,2513806053,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,Schltr.,"Klangiabil, near Tomba sawmill, Tambul subdistrict.",NA,PG,NA,2,1983,PRESERVED_SPECIMEN,NA,Botany,L.1508364,"Reeve, TM 6213",Reeve TM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67584,Epiblastus auriculatus,Epiblastus,auriculatus,Schltr.,Species,Accepted,NA,631202-1,67584,0,7,"c(144, -6.25)",TRUE
107911,GBIF_11159,Epiblastus accretus,-6.28333,147.08333,2513115343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,J.J.Sm.,Nordostliches Neuguinea Surawaged gebirge Mongi Busu,NA,PG,NA,3,1929,PRESERVED_SPECIMEN,NA,Botany,L  0058755,"Mayr, E s.n.",Mayr E,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67581,Epiblastus accretus,Epiblastus,accretus,J.J.Sm.,Species,Accepted,NA,631199-1,67581,0,7,"c(147.08333, -6.28333)",TRUE
122719,GBIF_44018,Epiblastus unguiculatus,-5.41667,143.5,2513806473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,VARIETY,J.J.Sm.,"Wanepos, Laiagam, Enga Province.",NA,PG,NA,2,1978,PRESERVED_SPECIMEN,NA,Botany,L.1508350,"Reeve, TM 926",Reeve TM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,520752,Epiblastus unguiculatus,Epiblastus,unguiculatus,(J.J.Sm.) Ormerod,Species,Accepted,NA,77154628-1,520752,10,7,"c(143.5, -5.41667)",TRUE
128025,GBIF_52651,Epiblastus chimbuensis,-5.8,145,1998411817,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,P. Royen,"Near walking track 2 miles from field station, Kundiawa Subdistrict",NA,PG,3322,6,1968,PRESERVED_SPECIMEN,A,A,barcode-00064970,NGF 39523,J. Vandenberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67587,Epiblastus chimbuensis,Epiblastus,chimbuensis,P.Royen,Species,Accepted,NA,631205-1,67587,1,5,"c(145, -5.8)",TRUE
132545,GBIF_57578,Epiblastus chimbuensis,-6,145,2513805697,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,P.Royen,"Pengagl Creek, Chimbu subdistrict, Eastern Highlands.",NA,PG,NA,2,1964,PRESERVED_SPECIMEN,NA,Botany,L.1508344,"Millar, AN NGF 23200",Millar AN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67587,Epiblastus chimbuensis,Epiblastus,chimbuensis,P.Royen,Species,Accepted,NA,631205-1,67587,0,7,"c(145, -6)",TRUE
133836,GBIF_59016,Epiblastus buruensis,-3,129,2513115276,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,J.J.Sm.,Noord Ceram Goenoeng [Seram] [Seram],NA,ID,NA,7,1918,PRESERVED_SPECIMEN,NA,Botany,L  0058753,Kornassi 1491,Kornassi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67586,Epiblastus buruensis,Epiblastus,buruensis,J.J.Sm.,Species,Accepted,NA,631204-1,67586,0,7,"c(129, -3)",TRUE
147034,GBIF_77462,Epiblastus sciadanthus,-15.32016,167.8806,1703322486,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,(F.Muell) Schltr.,NA,NA,VU,500,11,1988,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Wheatley, J.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67602,Epiblastus sciadanthus,Epiblastus,sciadanthus,(F.Muell.) Schltr.,Species,Accepted,NA,631218-1,67602,1,9,"c(167.8806, -15.32016)",TRUE
147049,GBIF_77478,Epiblastus sciadanthus,-14.961083,166.633056,1703323649,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,(F.Muell) Schltr.,"Penaoru versat ouest du cap cumberland, camp-900",NA,VU,970,11,2006,PRESERVED_SPECIMEN,NA,NA,NA,without-number,"Labat, J.N.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,67602,Epiblastus sciadanthus,Epiblastus,sciadanthus,(F.Muell.) Schltr.,Species,Accepted,NA,631218-1,67602,1,9,"c(166.633056, -14.961083)",TRUE
159580,GBIF_99411,Epiblastus masarangicus,-1.255,120.16556,2513808022,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epiblastus,SPECIES,(Kraenzl.) Schltr.,"N. slope of Gunung Nokilalaki, Sulawesi.",NA,ID,NA,2,1981,PRESERVED_SPECIMEN,NA,Botany,L.1508784,Unknown s.n.,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67593,Epiblastus masarangicus,Epiblastus,masarangicus,(Kraenzl.) Schltr.,Species,Accepted,NA,631210-1,67593,0,18,"c(120.16556, -1.255)",TRUE
