V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
10579,ALA_13345,Epiblema grandiflorum,-34.8,117.683333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,Chockerup Swamp.[Chorkerup].,Australia,AU,NA,11,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9603603.3,DLJ12694,"Herberle, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(117.683333, -34.8)",TRUE
17657,ALA_23686,Epiblema grandiflorum,-34.966667,117.633333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,Barker's Junction.,Australia,AU,NA,11,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 680502.2,ORG2868,"Heberle, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(117.633333, -34.966667)",TRUE
19878,ALA_27341,Epiblema grandiflorum,-34.916667,117.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,"Bakers Junction, East Swamp.",Australia,AU,NA,8,1993,PRESERVED_SPECIMEN,CANB,CANB,CANB 648101.1,ORG1958,Heberle R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(117.9, -34.916667)",TRUE
22666,ALA_32003,Epiblema grandiflorum,-34.949167,118.17,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,Two People Bay Swamp.,Australia,AU,NA,11,1995,PRESERVED_SPECIMEN,CANB,CANB,CBG 9609742.2,DLJ14669,"Heberle, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(118.17, -34.949167)",TRUE
22727,ALA_32100,Epiblema grandiflorum,-34.916667,117.916667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,Bakers Junction.,Australia,AU,NA,11,1999,PRESERVED_SPECIMEN,CANB,CANB,CANB 674518.1,ORG2868,Heberle R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(117.916667, -34.916667)",TRUE
28589,ALA_43268,Epiblema grandiflorum,-34.953611,118.152778,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,"Two Peoples Bay Rd, 11 km from Lower King Road.",Australia,AU,NA,12,2001,PRESERVED_SPECIMEN,CANB,CANB,CANB 648316.2,3283,"French, C.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(118.152778, -34.953611)",TRUE
28899,ALA_43895,Epiblema grandiflorum,-35,117.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,Albany.,Australia,AU,NA,11,1984,PRESERVED_SPECIMEN,CANB,CANB,CBG 8411760.2,Nursery1767,"Herberle, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(117.9, -35)",TRUE
29741,ALA_45532,Epiblema grandiflorum,-34.925833,117.941667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,Bakers Junction Reserve.,Australia,AU,NA,11,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 666809.2,10669,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(117.941667, -34.925833)",TRUE
43077,ALA_65862,Epiblema grandiflorum,-35.025,116.896667,dr15863,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,"Walpole Nornalup National Park, near Pt 92 coastal",Australia,AU,NA,12,1988,PRESERVED_SPECIMEN,PERTH,PERTH,PERTH 2660717,575,"Annels, A.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(116.896667, -35.025)",TRUE
44073,ALA_66981,Epiblema grandiflorum,-34.983333,116.666667,dr15863,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epiblema,species,R.Br.,"Walpole - Nornalup National Park, northern portion of Loc. 31362, area c. 500 m off South Coast Highway",Australia,AU,NA,11,1994,PRESERVED_SPECIMEN,PERTH,PERTH,PERTH 4279662,BJ 309,"Jackson, W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,67607,Epiblema grandiflorum,Epiblema,grandiflorum,R.Br.,Species,Accepted,NA,631222-1,67607,0,5,"c(116.666667, -34.983333)",TRUE
