V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
6558,ALA_7848,Epipogium roseum,-21.3,149.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,NA,Australia,AU,NA,6,1994,PRESERVED_SPECIMEN,CANB,CANB,CBG 9517189.3,DLJ13041,"Pearson, S.G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(149.2, -21.3)",TRUE
8543,ALA_10478,Epipogium roseum,-28.2,153.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,NA,Australia,AU,NA,12,1983,PRESERVED_SPECIMEN,CANB,CANB,CBG 9407967.1,1279,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(153.4, -28.2)",TRUE
11163,ALA_14147,Epipogium roseum,-28,153.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,NA,Australia,AU,NA,12,2004,PRESERVED_SPECIMEN,CANB,CANB,CANB 670904.1,ORG4601,"Dalyell, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(153.2, -28)",TRUE
14264,ALA_18457,Epipogium roseum,-31.1,152.833333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,Near Kempsey.,Australia,AU,NA,12,1992,PRESERVED_SPECIMEN,CANB,CANB,CANB 868564.1,s.n.,"D'Aubert, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(152.833333, -31.1)",TRUE
15583,ALA_20430,Epipogium roseum,-28.25,153.366667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,Tomewin.,Australia,AU,NA,1,1985,PRESERVED_SPECIMEN,CANB,CANB,CANB 998724.1,s.n.,leg. ign.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(153.366667, -28.25)",TRUE
15720,ALA_20640,Epipogium roseum,-27.2,152.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,NA,Australia,AU,NA,3,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 676647.1,22058,"Forster, P.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(152.4, -27.2)",TRUE
21192,ALA_29476,Epipogium roseum,-15.8,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,NA,Australia,AU,NA,12,1994,PRESERVED_SPECIMEN,CANB,CANB,CANB 678626.1,DLJ13817,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(145.3, -15.8)",TRUE
24511,ALA_35408,Epipogium roseum,-31.333333,152.433333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,"30km from Wauchope, Upper Pappinburra River.",Australia,AU,NA,12,1981,PRESERVED_SPECIMEN,CANB,CANB,CBG 8116230.1,2421,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(152.433333, -31.333333)",TRUE
26976,ALA_39990,Epipogium roseum,-31.266667,152.666667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,Rolland Plains.,Australia,AU,NA,12,1979,PRESERVED_SPECIMEN,CANB,CANB,CBG 8000135.1,S/H 908,"Barton, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(152.666667, -31.266667)",TRUE
28691,ALA_43490,Epipogium roseum,-15.9,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Epipogium,species,(D.Don) Lindl.,NA,Australia,AU,NA,12,1994,PRESERVED_SPECIMEN,CANB,CANB,CANB 678627.1,DLJ13818,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,70459,Epipogium roseum,Epipogium,roseum,(D.Don) Lindl.,Species,Accepted,NA,633406-1,70459,0,14,"c(145.3, -15.9)",TRUE
