V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
172646,GBIF_115839,Erasanthe henrici,-14,48.38333,4061660279,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SPECIES,"(Schltr.) P.J. Cribb, Hermans & D.L. Roberts","Centre: massif du Manongarivo, montagne du Sambirano, vers 1000 m. d'altitude.",NA,MG,1000,4,1909,PRESERVED_SPECIMEN,NA,Tropicos,3296503,8128,H. Perrier de la Bâthie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,2,21,"c(48.38333, -14)",TRUE
231873,GBIF_191264,Erasanthe henrici,-22.699444,44.158889,4031915426,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SUBSPECIES,"H. Perrier ex P.J. Cribb, Hermans & D.L. Roberts","District Sakaraha, Commune Mahaboboka, Fokontany Marotsiraka Betsileo, Analavelona, forêt de Ankokoabo.",NA,MG,972,8,2011,PRESERVED_SPECIMEN,MO,Tropicos,102757949,378,Tabita Randrianarivony;Rehary;Rebesa;Mendraha,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,14,21,"c(44.158889, -22.699444)",TRUE
258090,GBIF_224208,Erasanthe henrici,-17.876389,47.040556,4136375308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SPECIES,"(Schltr.) P.J. Cribb, Hermans & D.L. Roberts","District Ankazobe, Commune Kiangara, Fonkotany Ambohinaorina, Village Andramala.",NA,MG,1378,4,2023,PRESERVED_SPECIMEN,TAN,Tropicos,103335605,1089T1214,Antananarivo Spirit Collection,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,2,21,"c(47.040556, -17.876389)",TRUE
264169,GBIF_231468,Erasanthe henrici,-22.6,44.033333,3946854224,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SUBSPECIES,"H. Perrier ex P.J. Cribb, Hermans & D.L. Roberts","Analavelona, Commune Mahabobobka, District Sakaraha",NA,MG,875,4,2022,PRESERVED_SPECIMEN,BRLU,Tropicos,101387362,195,Simon Verlynde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,14,21,"c(44.033333, -22.6)",TRUE
320065,GBIF_325856,Erasanthe henrici,-17.876111,47.040556,3946837611,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SPECIES,"(Schltr.) P.J. Cribb, Hermans & D.L. Roberts","District Ankazobe, Commune Kiangara, Fonkotany Ambohinaorina, Village Andramala.",NA,MG,653,4,2022,PRESERVED_SPECIMEN,BRLU,Tropicos,101387360,193,Simon Verlynde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,2,21,"c(47.040556, -17.876111)",TRUE
349865,GBIF_371323,Erasanthe henrici,-16.18333,48.13333,1260717009,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SUBSPECIES,NA,Centre: Forêt d'Analamaitso (haute Bemarivo),NA,MG,850,NA,1907,PRESERVED_SPECIMEN,P,Tropicos,3312909,8016,H. Perrier de la Bâthie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,42,-1,"c(48.13333, -16.18333)",TRUE
355204,GBIF_378709,Erasanthe henrici,-13.97,48.84,1260717406,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SUBSPECIES,NA,Tsaratanana,NA,MG,NA,NA,without-year,PRESERVED_SPECIMEN,P,Tropicos,3313273,517,Herb. Jard. Bot. Tan.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,42,-1,"c(48.84, -13.97)",TRUE
364671,GBIF_394547,Erasanthe henrici,-12.533333,49.116667,1258606774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SPECIES,"(Schltr.) P.J. Cribb, Hermans & D.L. Roberts",Montagne d'Ambre PN. Echantillon préservé en alcool.,NA,MG,950,4,1993,PRESERVED_SPECIMEN,MO,Tropicos,1384242,84,Olivier Andrianantoanina;A. Solotiana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,2,21,"c(49.116667, -12.533333)",TRUE
482916,GBIF_565499,Erasanthe henrici,-22.678056,44.191667,4060952668,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SPECIES,"(Schltr.) P.J. Cribb, Hermans & D.L. Roberts","Sakaraha, Mahaboboka, Marotsiraka-Betsileo, partie centre Est de la forêt. Echantillon préservé en alcool.",NA,MG,1105,2,2008,PRESERVED_SPECIMEN,TAN,Tropicos,102483434,1509,Tefy Andriamihajarivo;T. L. Rakotoarison;Bruno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,2,21,"c(44.191667, -22.678056)",TRUE
516581,GBIF_621939,Erasanthe henrici,-22.41666,45.26666,1260717035,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erasanthe,SUBSPECIES,"H. Perrier ex P.J. Cribb, Hermans & D.L. Roberts","'Sud(Nord-Ouest): Récolté dans l'Isalo, à fleuri dans mon jardin à Tananarive en mars 1925 et en dévrier 1927",NA,MG,NA,10,1924,PRESERVED_SPECIMEN,P,Tropicos,3312944,16895,H. Perrier de la Bâthie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,346829,Erasanthe henrici,Erasanthe,henrici,"(Schltr.) P.J.Cribb, Hermans & D.L.Roberts",Species,Accepted,NA,77080924-1,346829,14,21,"c(45.26666, -22.41666)",TRUE
