V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106904,GBIF_10119,Eria ramuana,-7.35,146.68333,2513244335,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Schltr.,NA,NA,PG,NA,12,1993,PRESERVED_SPECIMEN,NA,Botany,L  0539938,"Höft, R 3800",Höft R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71474,Eria ramuana,Eria,ramuana,Schltr.,Species,Accepted,NA,634023-1,71474,0,7,"c(146.68333, -7.35)",TRUE
107921,GBIF_11170,Eria sarcophylla,-0.6,100.15,2513115252,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,J.J.Sm.,Sumatra Kajoe Taman Priaman Cult. in Hort. Bog.,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L  0059897,"Groeneveldt, W 1381",Groeneveldt W,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71521,Eria sarcophylla,Eria,sarcophylla,Schltr.,Species,Accepted,NA,634066-1,71521,6,1,"c(100.15, -0.6)",TRUE
110189,GBIF_14062,Eria rostriflora,-21.65778,165.84056,437452938,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Rchb.f.,NA,NA,NC,700,11,1950,PRESERVED_SPECIMEN,MNHN,P,P00143239,without-number,"Guillaumin, A.;Baumann-Bodenheim, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71507,Eria rostriflora,Eria,rostriflora,Rchb.f.,Species,Accepted,NA,634054-1,71507,0,7,"c(165.84056, -21.65778)",TRUE
110539,GBIF_14454,Eria rostriflora,-20.42917,164.63056,439114888,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Rchb.f.,NA,NA,NC,800,12,1902,PRESERVED_SPECIMEN,MNHN,P,P00143249,without-number,"Schlechter, F.R.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71507,Eria rostriflora,Eria,rostriflora,Rchb.f.,Species,Accepted,NA,634054-1,71507,0,7,"c(164.63056, -20.42917)",TRUE
110553,GBIF_14468,Eria rostriflora,-20.39583,164.52361,437449990,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Rchb.f.,NA,NA,NC,650,4,1972,PRESERVED_SPECIMEN,MNHN,P,P00146769,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71507,Eria rostriflora,Eria,rostriflora,Rchb.f.,Species,Accepted,NA,634054-1,71507,0,7,"c(164.52361, -20.39583)",TRUE
110905,GBIF_14871,Eria rostriflora,-22.17806,166.51,437449991,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Rchb.f.,NA,NA,NC,700,1,1965,PRESERVED_SPECIMEN,MNHN,P,P00146772,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71507,Eria rostriflora,Eria,rostriflora,Rchb.f.,Species,Accepted,NA,634054-1,71507,0,7,"c(166.51, -22.17806)",TRUE
114540,GBIF_18742,Eria scabrilinguis,22.249074,113.920124,2273856109,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Rchb.f.,"Lantau Island, Lantao Peak and Vicinity",NA,HK,NA,9,1940,PRESERVED_SPECIMEN,NY,NY,04087929,1799,Y. W. Taam,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71524,Eria scabrilinguis,Eria,scabrilinguis,Lindl.,Species,Accepted,NA,634069-1,71524,6,1,"c(113.920124, 22.249074)",TRUE
116567,GBIF_23782,Eria coronaria,24.75,98.616667,574994012,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,NA,China:Yunnan:Hills a day south of Tengyueh,NA,CN,2134,6,1925,PRESERVED_SPECIMEN,RBGE,E,E00059021,26698,"Forrest, George",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71021,Eria coronaria,Eria,coronaria,(Lindl.) Rchb.f.,Species,Accepted,NA,633611-1,71021,16,-1,"c(98.616667, 24.75)",TRUE
122746,GBIF_44048,Eria rostriflora,-22.11667,166.65,2513808936,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Rchb.f.,NA,NA,NC,NA,6,1951,PRESERVED_SPECIMEN,NA,Botany,L.1511792,"Baumann-Bodenheim, MG 14215",Baumann-Bodenheim MG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71507,Eria rostriflora,Eria,rostriflora,Rchb.f.,Species,Accepted,NA,634054-1,71507,0,7,"c(166.65, -22.11667)",TRUE
123361,GBIF_44707,Eria imperatifolia,-5.88333,145.08333,2513807902,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eria,SPECIES,Ormerod,"Papua New Guinea, Chimbu valley, Gembogl, Yei nigl.",NA,PG,NA,1,1981,PRESERVED_SPECIMEN,NA,Botany,L.1511150,"Sterly, J 80/ 465",Sterly J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71175,Eria imperatifolia,Eria,imperatifolia,Ormerod,Species,Accepted,NA,987315-1,71175,0,7,"c(145.08333, -5.88333)",TRUE
