V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106796,GBIF_10008,Erycina glossomystax,2.08333,-59.25,2517194115,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,(Rchb.f.) Dodson & Dressler,"Rupununi District, Kuyuwini Landing, Kuyuwini River.",NA,GY,NA,10,1992,PRESERVED_SPECIMEN,NA,Botany,U.1463197,"Jansen-Jacobs, MJ; Welle, BJH ter; Sipman, HJM; James, V 2910",Jansen-Jacobs MJ; Welle BJH ter; Sipman HJM; James V,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71982,Erycina glossomystax,Erycina,glossomystax,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021252-1,71982,21,10,"c(-59.25, 2.08333)",TRUE
106797,GBIF_10009,Erycina pusilla,7.75,-59.5,2515478935,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,(L.) Dodson & Dressler,NA,NA,GY,NA,11,1996,PRESERVED_SPECIMEN,NA,Botany,U.1463216,"Andel, TR van; Roberts, N; Ford, G; George, N 1277",Andel TR van; Roberts N; Ford G; George N,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71988,Erycina pusilla,Erycina,pusilla,(L.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021256-1,71988,21,5,"c(-59.5, 7.75)",TRUE
106798,GBIF_10010,Erycina pusilla,4.26861,-54.74056,2515605085,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,(L.) Dodson & Dressler,"Suriname, Marowijne Distr., Lely Mts., Airstrip, Plateau.",NA,SR,NA,11,2004,PRESERVED_SPECIMEN,NA,Botany,U.1463218,"Jansen-Jacobs, MJ; Ramharakh, G; Haripersaud, P; et al. 6669",Jansen-Jacobs MJ; Ramharakh G; Haripersaud P; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71988,Erycina pusilla,Erycina,pusilla,(L.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021256-1,71988,21,5,"c(-54.74056, 4.26861)",TRUE
107876,GBIF_11124,Erycina pusilla,5.58333,-60.65,2517475119,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,(L.) Dodson & Dressler,"Arabaru Creek, _5 km S of confluence of Kako River.",NA,GY,NA,6,1991,PRESERVED_SPECIMEN,NA,Botany,U.1463204,"McDowell, T; Hoffman, B; Lance, K 4801",McDowell T; Hoffman B; Lance K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71988,Erycina pusilla,Erycina,pusilla,(L.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021256-1,71988,21,5,"c(-60.65, 5.58333)",TRUE
111264,GBIF_15274,Erycina glossomystax,-7.614444,-72.895556,4526420950,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,Angiospermas,Rio Moa at Cachoeira Grande.,NA,BR,NA,4,1971,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00482463,12532,G. T. Prance;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71982,Erycina glossomystax,Erycina,glossomystax,(Rchb.f.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021252-1,71982,30,2,"c(-72.895556, -7.614444)",TRUE
113408,GBIF_17573,Erycina hyalinobulbon,19.421944,-103.841111,1893958132,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,"(Rchb. f.) Schltr., 1918","4-5 km al E de Lagunitas, 22-23 km al E de Minatitlán",NA,MX,850,12,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,7897,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71985,Erycina hyalinobulbon,Erycina,hyalinobulbon,(Lex.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021258-1,71985,26,1,"c(-103.841111, 19.421944)",TRUE
113446,GBIF_17613,Erycina hyalinobulbon,19.591667,-104.275,1893958182,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,"(Rchb. f.) Schltr., 1918","11 km al SE de Ahuacapán, 9 km al SE de Corralitos",NA,MX,975,12,1984,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1967,without-number,Theodore Cochrane; Emmet Judziewicz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71985,Erycina hyalinobulbon,Erycina,hyalinobulbon,(Lex.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021258-1,71985,26,1,"c(-104.275, 19.591667)",TRUE
113522,GBIF_17697,Erycina hyalinobulbon,19.591667,-104.208333,1893968118,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,"Lex., 1825","1 km al S de Rincón de Manantlán, 13 - 14 km al S de El Chante",NA,MX,800,1,1985,PRESERVED_SPECIMEN,UW,WIS,NO DISPONIBLE,without-number,Emmet Judziewicz; Theodore Cochrane; Rafael Guzmán Mejía,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71985,Erycina hyalinobulbon,Erycina,hyalinobulbon,(Lex.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021258-1,71985,26,4,"c(-104.208333, 19.591667)",TRUE
113563,GBIF_17742,Erycina hyalinobulbon,19.591667,-104.208333,1893958055,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,"(Rchb. f.) Schltr., 1918","Arroyo San Miguel, arriba de la confluencia con el Arroyo Manantlán, 0.6 km al S de Rincón de Manantlán, 14 km al S de El Chante",NA,MX,780,1,1984,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,3764,without-number,Hugh Iltis; Rafael Guzmán Mejía,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71985,Erycina hyalinobulbon,Erycina,hyalinobulbon,(Lex.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021258-1,71985,26,1,"c(-104.208333, 19.591667)",TRUE
114382,GBIF_18581,Erycina pusilla,-0.229505,-55.14243,1928389495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Erycina,SPECIES,(L.) Dodson & Dressler,Within 2 km downstream of Sete Varas airstrip on banks of Rio Curua,NA,BR,NA,8,1981,PRESERVED_SPECIMEN,NY,NY,533793,4401,J. J. Strudwick,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71988,Erycina pusilla,Erycina,pusilla,(L.) N.H.Williams & M.W.Chase,Species,Accepted,NA,1021256-1,71988,21,5,"c(-55.14243, -0.229505)",TRUE
