V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
143361,GBIF_69232,Espinhassoa glaziovii,-19.023333,-43.718333,1087184362,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Salazar & J.A.N.Bat.,RPPN Brumas do Espinhaço e Ermo do Gerais,NA,BR,1235,9,2012,PRESERVED_SPECIMEN,FPMZB,BHZB,9445,651,"Ferreira Junior, C.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,0,28,"c(-43.718333, -19.023333)",TRUE
199010,GBIF_146915,Espinhassoa glaziovii,-18.111944,-42.741111,1424276139,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Schltr.,"Padre João Afonso, Serra Negra. Cerrado, campo de Velloziaceae e Mata Nebular. Parque Estadual da Serra Negra",NA,BR,1414,9,2006,PRESERVED_SPECIMEN,JBRJ,RB,RB00562195,2417,A.P. Fontana; R.C. da Mota & K.A. Brahim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,17,9,"c(-42.741111, -18.111944)",TRUE
220454,GBIF_177577,Espinhassoa glaziovii,-16.5631442,-42.8895409,1928245791,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Schltr.,Corrego de Pasto. Alto da Serra Geral.,NA,BR,NA,10,1978,PRESERVED_SPECIMEN,NY,NY,842241,41630,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,17,9,"c(-42.8895409, -16.5631442)",TRUE
305257,GBIF_304374,Espinhassoa glaziovii,-16.533333,-42.783333,912656409,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Salazar & J.A.N.Bat.,Ca. 5-15km. ao norte da cidade.,NA,BR,1050,10,1988,PRESERVED_SPECIMEN,K,Herbarium,K000878211,25119,"Harley, R.M.; Giulietti, A.M.; Stannard, B.L.; Hind, D.J.N.; Kameyama, C.; Prado, J.; Rudall, P.; Simão, R.; Taylor, N.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,0,28,"c(-42.783333, -16.533333)",TRUE
311757,GBIF_313464,Espinhassoa glaziovii,-16.783333,-42.783333,1094782423,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Salazar & J.A.N.Bat.,5-15 km. Ao norte da cidade.,NA,BR,1050,10,1988,PRESERVED_SPECIMEN,UEFS,HUEFS,64411,25114,"Harley, R.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,0,28,"c(-42.783333, -16.783333)",TRUE
357545,GBIF_382096,Espinhassoa glaziovii,-19.042592,-44.206481,4955156244,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(cogn.) Salazar & J.A.N.Bat.,"RPPN Brumas do Espinhaço e Ermo dos Gerais, Bioma cerrado. Mata brejosa.",NA,BR,1235,9,2012,PRESERVED_SPECIMEN,UFABC,HUFABC,002628,651,"Ferreira Junior, CA; et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,1,26,"c(-44.206481, -19.042592)",TRUE
410433,GBIF_467837,Espinhassoa glaziovii,-19.5025,-43.541111,3745743344,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Salazar & J.A.N.Bat.,"Parque Nacional da Serra do Cipó, Distrito de Altamira",NA,BR,NA,6,2019,PRESERVED_SPECIMEN,UNESP-IBILCE,SJRP,34417,3316,P.B. Meyer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,0,28,"c(-43.541111, -19.5025)",TRUE
433853,GBIF_500837,Espinhassoa glaziovii,-18.207028,-43.333444,1087631959,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Salazar & J.A.N.Bat.,Parque Estadual do Rio Preto,NA,BR,1401,5,2004,PRESERVED_SPECIMEN,UFMG,BHCB,88258,1764,"Viana, PL; et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,0,28,"c(-43.333444, -18.207028)",TRUE
434050,GBIF_501038,Espinhassoa glaziovii,-20.153611,-43.436667,1303588056,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Salazar & J.A.N.Bat.,RPPN Horto Alegria,NA,BR,0,6,2015,PRESERVED_SPECIMEN,UFMG,BHCB,177670,532,"Paiva, JAM; Pivari, MOD; Tomich, S; Nascimento, L",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,0,28,"c(-43.436667, -20.153611)",TRUE
434643,GBIF_501649,Espinhassoa glaziovii,-20.095,-43.526667,2425046123,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Espinhassoa,SPECIES,(Cogn.) Salazar & J.A.N.Bat.,"RPPN Santuário do Caraça, Pico da Conceição.",NA,BR,1763,8,2008,PRESERVED_SPECIMEN,UFMG,BHCB,141952,21,"Oliveira, CT; Giacomin, LL",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,534294,Espinhassoa glaziovii,Espinhassoa,glaziovii,(Cogn.) Salazar & J.A.N.Bat.,Species,Accepted,NA,77200859-1,534294,0,28,"c(-43.526667, -20.095)",TRUE
