V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
140476,GBIF_66212,Evotella rubiginosa,-34.375,19.375,2469054561,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,320,11,1986,PRESERVED_SPECIMEN,HER,NA,HER0001137,1018,"Kurzweil, H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,83227,Evotella rubiginosa,Evotella,rubiginosa,(Sond. ex Bolus) Kurzweil & H.P.Linder,Species,Accepted,NA,962495-1,83227,38,-1,"c(19.375, -34.375)",TRUE
140477,GBIF_66213,Evotella carnosa,-34.375,19.375,2469054562,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,500,11,1984,PRESERVED_SPECIMEN,HER,NA,HER0001135,136,"Drewe, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(19.375, -34.375)",TRUE
140487,GBIF_66223,Evotella carnosa,-34.375,19.375,2469058850,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,420,11,1985,PRESERVED_SPECIMEN,VOG,NA,VOG0001404,3631,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(19.375, -34.375)",TRUE
140492,GBIF_66228,Evotella carnosa,-34.375,19.375,2469054958,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,50,9,1980,PRESERVED_SPECIMEN,HER,NA,HER0001694,437,"Williams, S.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(19.375, -34.375)",TRUE
140513,GBIF_66249,Evotella carnosa,-34.375,19.375,2469058776,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,348,11,1980,PRESERVED_SPECIMEN,VOG,NA,VOG0001405,3093,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(19.375, -34.375)",TRUE
140514,GBIF_66250,Evotella carnosa,-34.375,19.375,2469054753,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,500,10,1986,PRESERVED_SPECIMEN,HER,NA,HER0001136,445,"Drewe, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(19.375, -34.375)",TRUE
140567,GBIF_66303,Evotella rubiginosa,-34.375,19.375,2469058620,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,430,11,1986,PRESERVED_SPECIMEN,VOG,NA,VOG0001402,3728,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,83227,Evotella rubiginosa,Evotella,rubiginosa,(Sond. ex Bolus) Kurzweil & H.P.Linder,Species,Accepted,NA,962495-1,83227,38,-1,"c(19.375, -34.375)",TRUE
140609,GBIF_66346,Evotella carnosa,-34.375,19.375,2469058421,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,NA,NA,ZA,373,10,1986,PRESERVED_SPECIMEN,VOG,NA,VOG0001403,3710,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(19.375, -34.375)",TRUE
269258,GBIF_237803,Evotella carnosa,-34.022483,24.063957,3708804472,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,HUMANSDORP DIST.; ELANDS RIVER.,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NA,NA,PRE0051627-0,TRV 33354,"Jeppe, T",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(24.063957, -34.022483)",TRUE
269259,GBIF_237804,Evotella carnosa,-33.875,18.875,3708804473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Evotella,SPECIES,NA,STELLENBOSCH; JONKERSHOEK PROPE STELLENBOSCH.,NA,ZA,NA,1,1888,PRESERVED_SPECIMEN,NA,NA,PRE0111960-0,1856,"Marloth, HWR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,490342,Evotella carnosa,Evotella,carnosa,(Lindl.) J.C.Manning & Goldblatt,Species,Accepted,NA,77132470-1,490342,32,-1,"c(18.875, -33.875)",TRUE
