V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104137,GBIF_354,Fernandezia denticulata,-9.163761,-74.375627,1055395189,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,Ruiz & Pav.,NA,NA,PE,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000534590,s.n.,José Antonio Pavón,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84394,Fernandezia denticulata,Fernandezia,denticulata,Ruiz & Pav.,Species,Accepted,NA,103583-2,84394,0,11,"c(-74.375627, -9.163761)",TRUE
114690,GBIF_18895,Fernandezia crystallina,0.8036,-78.0067,1930169503,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,(Lindl.) M.W.Chase,"Carretera Tulcán-Tufiño-Maldonado, km 50.",NA,EC,NA,7,2000,PRESERVED_SPECIMEN,NY,NY,00981515,2628,A. B. Alvarez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,467060,Fernandezia crystallina,Fernandezia,crystallina,(Lindl.) M.W.Chase,Species,Accepted,NA,77110876-1,467060,0,18,"c(-78.0067, 0.8036)",TRUE
114705,GBIF_18911,Fernandezia micrangis,6.27,-75.68,2382930897,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,Schltr.,"along road to Cerro del Padre Amaya, 10 km from Medellín - Santa Fé de Antioquia road",NA,CO,NA,9,1987,PRESERVED_SPECIMEN,NY,NY,04110999,5320,J. L. Zarucchi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467114,Fernandezia micrangis,Fernandezia,micrangis,(Schltr.) M.W.Chase,Species,Accepted,NA,77110892-1,467114,12,6,"c(-75.68, 6.27)",TRUE
114708,GBIF_18914,Fernandezia minor,-14.13,-69.53,1930328724,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,VARIETY,Ormerod,Fields and houses around Ura-ayllu,NA,PE,NA,2,1986,PRESERVED_SPECIMEN,NY,NY,01158128,2118,B. C. Bennett,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467116,Fernandezia minor,Fernandezia,minor,M.W.Chase,Species,Accepted,NA,77110895-1,467116,9,-1,"c(-69.53, -14.13)",TRUE
115184,GBIF_19408,Fernandezia myrtillus,5.5,-75.83,1929297372,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,(Rchb.f.) Garay & Dunst.,"Alto de Ventanas, 15 km S.O. de Jardín en la vía a Riosucio",NA,CO,NA,6,1987,PRESERVED_SPECIMEN,NY,NY,02507538,3880,R. Callejas Posada,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84406,Fernandezia myrtillus,Fernandezia,myrtillus,(Rchb.f.) Garay & Dunst.,Species,Accepted,NA,103591-2,84406,0,24,"c(-75.83, 5.5)",TRUE
125131,GBIF_46587,Fernandezia sanguinea,6.583333,-75.53,1042631947,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,NA,"Carretera Belmira-Vereda El Yerbal, km 6-8, camino Vereda El Yerbal-Alto de Sabanazos",NA,CO,1550,4,1991,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",193015,1563,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84415,Fernandezia sanguinea,Fernandezia,sanguinea,(Lindl.) Garay & Dunst.,Species,Accepted,NA,103595-2,84415,23,-1,"c(-75.53, 6.583333)",TRUE
128753,GBIF_53413,Fernandezia ionanthera,-10.216667,-75.366667,4031613690,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,(Rchb. f. & Warsz.) Schltr.,"Dist. Huancabamba. sector Milpo, parte alta camino a Santa Barbara. zona de amortiguamiento del Parque Nacional Yanachaga-Chemillén. Bosque enano sobre arena blanca.",NA,PE,3000,2,2005,PRESERVED_SPECIMEN,MO,Tropicos,102288080,8062,Abel Monteagudo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84400,Fernandezia ionanthera,Fernandezia,ionanthera,(Rchb.f. & Warsz.) Schltr.,Species,Accepted,NA,103588-2,84400,1,20,"c(-75.366667, -10.216667)",TRUE
128977,GBIF_53640,Fernandezia crystallina,9.216667,-83.075,1261353858,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,(Lindl.) M.W. Chase,"Puntarenas-Limón Border. Cordillera de Talamanca, Cerro Nai on the continental divide.",NA,CR,3130,3,1984,PRESERVED_SPECIMEN,MO,Tropicos,637412,26130,Gerrit Davidse;Gerardo Herrera Ch.;Richard H. Warner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467060,Fernandezia crystallina,Fernandezia,crystallina,(Lindl.) M.W.Chase,Species,Accepted,NA,77110876-1,467060,1,13,"c(-83.075, 9.216667)",TRUE
129436,GBIF_54110,Fernandezia crystallina,-11.3225,-75.176944,4031862412,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,Lindl.,Distrito Monobamba. Comunidad campesina Marancocha. Zona de amortiguamiento del Bosque de Protección Pui Pui.,NA,PE,3280,10,2014,PRESERVED_SPECIMEN,MO,Tropicos,102922085,28782,Luis Valenzuela G.;Jaime Flores;Gerry Shareva M.;H. Llantoy;J. Doñe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467060,Fernandezia crystallina,Fernandezia,crystallina,(Lindl.) M.W.Chase,Species,Accepted,NA,77110876-1,467060,12,5,"c(-75.176944, -11.3225)",TRUE
130038,GBIF_54729,Fernandezia capitata,-6.82,-77.8,1259242648,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Fernandezia,SPECIES,Kraenzl.,Protected due to name conservation status,NA,PE,3050,10,1964,PRESERVED_SPECIMEN,MO,Tropicos,1975217,6948,Paul C. Hutchison;J. Kenneth Wright,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,467057,Fernandezia capitata,Fernandezia,capitata,(Kraenzl.) M.W.Chase,Species,Accepted,NA,77110872-1,467057,12,7,"c(-77.8, -6.82)",TRUE
