V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129347,GBIF_54019,Frondaria caulescens,0.85,-78,1261388362,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,Paramo-Maldonado.,NA,EC,2700,3,1992,PRESERVED_SPECIMEN,MO,Tropicos,673052,1541,Stig Dalström,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-78, 0.85)",TRUE
129580,GBIF_54256,Frondaria caulescens,-6.23638,-77.59694,1258450322,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,"Road Chachapoyas-Mendoza, a little past Molinopampa. Scrub and degraded forest.",NA,PE,2400,3,1998,PRESERVED_SPECIMEN,MO,Tropicos,1239953,15059,H. van der Werff;Bruce Gray;Rodolfo Vásquez;Rocío Rojas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-77.59694, -6.23638)",TRUE
129876,GBIF_54561,Frondaria caulescens,-10.364167,-75.660278,4443112390,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,"Distrito Pozuzo. Parque Nacional Yanachaga Chemillén, sector Santa Barbara.",NA,PE,3400,6,2023,PRESERVED_SPECIMEN,MO,Tropicos,103435319,48162,Rodolfo Vásquez;Rocío Rojas;Luis Valenzuela G.;Jaime Flores,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-75.660278, -10.364167)",TRUE
152130,GBIF_83760,Frondaria caulescens,-2.858565,-79.105204,2423995549,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,"Zurucucho, Canton Cuenca.",NA,EC,NA,8,1978,PRESERVED_SPECIMEN,NY,NY,01393237,2632,J. D. Boeke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-79.105204, -2.858565)",TRUE
173013,GBIF_116219,Frondaria caulescens,-16.233333,-66.416667,1257968992,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,"Territorio Indígena Parque Nacional Isiboro Secure, cordillera de Mosetenez, cresta arriba de laguna Carachupa.",NA,BO,1550,9,2003,PRESERVED_SPECIMEN,LPB,Tropicos,100625567,13182,M. Kessler;Iván Jiménez;Thorsten Krömer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-66.416667, -16.233333)",TRUE
184161,GBIF_129579,Frondaria caulescens,-3.015,-78.42,4031585911,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,Gualaceo-Limon.,NA,EC,2650,2,1986,PRESERVED_SPECIMEN,MO,Tropicos,101593478,11834,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-78.42, -3.015)",TRUE
189192,GBIF_135006,Frondaria caulescens,-3.05,-78.8,1261349613,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,East of Sigsig.,NA,EC,2750,5,1988,PRESERVED_SPECIMEN,MO,Tropicos,632817,13334,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-78.8, -3.05)",TRUE
191594,GBIF_137493,Frondaria caulescens,-3.016,-78.55,47769807,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,NA,"General Plaza (Limón) - Gualaceo road, km 35 from Limón. Disturbed cloud forest.",NA,EC,2700,6,1979,PRESERVED_SPECIMEN,AU,AAU,B.Lojtnant14645,without-number,B. Lojtnant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,13,-1,"c(-78.55, -3.016)",TRUE
191698,GBIF_137603,Frondaria caulescens,0.883,-78.066,47770492,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,NA,"Valle de Maldonado, km 67 on the road Tulcán - Maldonado. Montane forest.",NA,EC,2600,5,1973,PRESERVED_SPECIMEN,AU,AAU,L.B.Holm-Nielsen6231,without-number,L.B. Holm-Nielsen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,13,-1,"c(-78.066, 0.883)",TRUE
247697,GBIF_212015,Frondaria caulescens,5.07362,-76.037819,4095921016,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,Sin datos,NA,CO,2933,1,2006,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,539313,436,Rafael Arévalo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-76.037819, 5.07362)",TRUE
259749,GBIF_226117,Frondaria caulescens,-17.125833,-65.693056,1258981653,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,(Lindl.) Luer,100 km between Cochabamba and Villa Tunari,NA,BO,1850,NA,without-year,PRESERVED_SPECIMEN,SEL,Tropicos,1737455,9454,Carl A. Luer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,0,13,"c(-65.693056, -17.125833)",TRUE
264747,GBIF_232450,Frondaria caulescens,-2.6,-78.66666,1261382795,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Frondaria,SPECIES,Lindl.,"Pindilig-Rivera road, km 2 from Pindilig. Virgin and disturbed cloud forest.",NA,EC,2900,6,1979,PRESERVED_SPECIMEN,AAU,Tropicos,667627,14293,B. Løjtnant;Ulf Molau,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84858,Frondaria caulescens,Frondaria,caulescens,(Lindl.) Luer,Species,Accepted,NA,943300-1,84858,7,6,"c(-78.66666, -2.6)",TRUE
