V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
128189,GBIF_52818,Funkiella hyemalis,19.175,-98.591667,4168496010,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"A. Rich. & Galeotti, 1845","Campo Experimental Forestal San Juan Tetla, paraje Tlacomajadas, Mpio. Chiautzingo",NA,MX,0,NA,without-year,PRESERVED_SPECIMEN,CECOY-INIFAP,INIF,44970,without-number,R. Toledo M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,10,16,"c(-98.591667, 19.175)",TRUE
128207,GBIF_52837,Funkiella hyemalis,19.258333,-99.341667,4168496576,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"A. Rich. & Galeotti, 1845","Cruz de Colica cerro San Miguel, Desierto de los Leones",NA,MX,1875,10,1985,PRESERVED_SPECIMEN,CECOY-INIFAP,INIF,51121,without-number,E. K. Hooker S.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,10,16,"c(-99.341667, 19.258333)",TRUE
128210,GBIF_52840,Funkiella hyemalis,19.175,-98.591667,4168493672,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"A. Rich. & Galeotti, 1845","Tlacomajadas, Centro Experimental Forestal San Juan Tetla, Mpio. Chiautzingo",NA,MX,1850,10,1982,PRESERVED_SPECIMEN,CECOY-INIFAP,INIF,44971,without-number,R. Toledo M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,10,16,"c(-98.591667, 19.175)",TRUE
129495,GBIF_54170,Funkiella hyemalis,19.388361,-100.214389,4031808592,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,(A. Rich. & Galeotti) Burns-Bal.,"Paraje Agua de las Palomas, a 3.42 km al W de San Pablo Malacatepec.",NA,MX,3118,11,2014,PRESERVED_SPECIMEN,MO,Tropicos,103045583,14731,Demetrio Álvarez Montejo;Esteban M. Martínez S.;F. Colín,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,10,18,"c(-100.214389, 19.388361)",TRUE
138008,GBIF_63533,Funkiella hyemalis,21.4621,-101.772,1576158049,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,(A. Rich. & Galleotti) Schltr.,Nevado de Toluca.,NA,MX,NA,9,1892,PRESERVED_SPECIMEN,USF,Herb,25879,4296,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,2,15,"c(-101.772, 21.4621)",TRUE
141981,GBIF_67772,Funkiella hyemalis,19.6856383,-100.2850897,1895414388,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"(A. Rich. & Galeotti) Schltr., 1920",Sa Chincua,NA,MX,0,12,1980,PRESERVED_SPECIMEN,CNS-UT,LL,00279631,without-number,W. Zuchowski,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,7,25,"c(-100.2850897, 19.6856383)",TRUE
142271,GBIF_68083,Funkiella hyemalis,17.468142,-100.136425,1895475178,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"A. Rich. & Galeotti, 1845","Teotepec, Dto Mina",NA,MX,1775,11,1939,PRESERVED_SPECIMEN,CNS-UT,LL,00111734,without-number,H.; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,10,16,"c(-100.136425, 17.468142)",TRUE
142292,GBIF_68107,Funkiella hyemalis,23.835,-99.741667,1895425354,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"(A. Rich. & Galeotti) Burns-Bal., 1981","Cañada La Tinaja, between Rancho La Encantada and Cerro La Peña, Mpio Zaragoza",NA,MX,2550,7,1988,PRESERVED_SPECIMEN,CNS-UT,TEX,00190483,without-number,T. F. Patterson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,16,18,"c(-99.741667, 23.835)",TRUE
142498,GBIF_68330,Funkiella hyemalis,16.166667,-96.25,1895425424,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"(A. Rich. & Galeotti) Burns-Bal., 1981","35 Km ESE of Miahuatlán, 5 Km NE of Santo Domingo Ozolotepec, Cerro Quiexobra and vic.",NA,MX,1825,12,1989,PRESERVED_SPECIMEN,CNS-UT,TEX,00111620,without-number,A. McDonald,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,84889,Funkiella hyemalis,Funkiella,hyemalis,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,106418-2,84889,16,18,"c(-96.25, 16.166667)",TRUE
142565,GBIF_68406,Funkiella parasitica,28.9619007,-102.5825094,1895418043,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Funkiella,SPECIES,"A. Rich. & Galeotti, 1845",Maderas del Carmen. 40 air mi SSE of the Chisos Mountains,NA,MX,990,5,1974,PRESERVED_SPECIMEN,CNS-UT,LL,00190493,without-number,E. C. Fritz; D. Riskind,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474987,Funkiella parasitica,Funkiella,parasitica,(A.Rich. & Galeotti) Salazar & Soto Arenas,Species,Accepted,NA,60457851-2,474987,24,16,"c(-102.5825094, 28.9619007)",TRUE
