V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
136743,GBIF_62234,Galeoglossum thysanochilum,24.2156,-99.853,1503292639,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,B. L. Rob. & Greenm.,Las Hoyas Cañon.,NA,MX,NA,11,1894,PRESERVED_SPECIMEN,USF,Herb,51023,6023,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457621,Galeoglossum thysanochilum,Galeoglossum,thysanochilum,(B.L.Rob. & Greenm.) Salazar,Species,Accepted,NA,77097889-1,457621,12,14,"c(-99.853, 24.2156)",TRUE
137353,GBIF_62862,Galeoglossum tubulosum,18.7021,-99.7876,1655987304,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,(Lindl.) L. O. Williams,Sierra de Juanez.,NA,MX,NA,2,1954,PRESERVED_SPECIMEN,USF,Herb,26403,3299,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457622,Galeoglossum tubulosum,Galeoglossum,tubulosum,(Lindl.) Salazar & Soto Arenas,Species,Accepted,NA,77097890-1,457622,19,9,"c(-99.7876, 18.7021)",TRUE
137521,GBIF_63032,Galeoglossum tubulosum,16.5667,-94.65,1655987514,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,(Lindl.) L. O. Williams,Sierra de San Felipe.,NA,MX,NA,12,1895,PRESERVED_SPECIMEN,USF,Herb,51019,7024,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457622,Galeoglossum tubulosum,Galeoglossum,tubulosum,(Lindl.) Salazar & Soto Arenas,Species,Accepted,NA,77097890-1,457622,19,9,"c(-94.65, 16.5667)",TRUE
138500,GBIF_64048,Galeoglossum tubulosum,19.3167,-99.25,1655987303,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,(Lindl.) L. O. Williams,"Cañada de Contreras, under Abies religiosa.",NA,MX,2750,2,1933,PRESERVED_SPECIMEN,USF,Herb,26402,2134,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457622,Galeoglossum tubulosum,Galeoglossum,tubulosum,(Lindl.) Salazar & Soto Arenas,Species,Accepted,NA,77097890-1,457622,19,9,"c(-99.25, 19.3167)",TRUE
142065,GBIF_67858,Galeoglossum tubulosum,25.6717907,-100.308801,1895528476,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,"(Lindl.) L.O. Williams, 1939",Sa Madre above Monterrey,NA,MX,450,4,1908,PRESERVED_SPECIMEN,CNS-UT,LL,00190470,without-number,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457622,Galeoglossum tubulosum,Galeoglossum,tubulosum,(Lindl.) Salazar & Soto Arenas,Species,Accepted,NA,77097890-1,457622,20,9,"c(-100.308801, 25.6717907)",TRUE
142180,GBIF_67983,Galeoglossum tubulosum,25.6011215,-100.322988,1895528462,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,"(Lindl.) L.O. Williams, 1939","Above Chipinque,Monterrey",NA,MX,900,5,1960,PRESERVED_SPECIMEN,CNS-UT,TEX,00190469,without-number,R. Ford S.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457622,Galeoglossum tubulosum,Galeoglossum,tubulosum,(Lindl.) Salazar & Soto Arenas,Species,Accepted,NA,77097890-1,457622,20,9,"c(-100.322988, 25.6011215)",TRUE
142360,GBIF_68182,Galeoglossum tubulosum,23.992817,-99.715,1895528486,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,"(Lindl.) L.O. Williams, 1939",Cerro El Viejo,NA,MX,1040,2,1993,PRESERVED_SPECIMEN,CNS-UT,TEX,00190468,without-number,H. et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457622,Galeoglossum tubulosum,Galeoglossum,tubulosum,(Lindl.) Salazar & Soto Arenas,Species,Accepted,NA,77097890-1,457622,20,9,"c(-99.715, 23.992817)",TRUE
144192,GBIF_70072,Galeoglossum thysanochilum,17.533333,-96.916667,3116673391,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,(B.L.Rob. & Greenm.) Garay,60 miles S of Teotitlan del Camino on Hwy 131 (Tehuacan-Oaxaca),NA,MX,1850,10,1983,PRESERVED_SPECIMEN,MICH,Angiosperms,1655445,83291,M. W. Chase,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457621,Galeoglossum thysanochilum,Galeoglossum,thysanochilum,(B.L.Rob. & Greenm.) Salazar,Species,Accepted,NA,77097889-1,457621,5,21,"c(-96.916667, 17.533333)",TRUE
149635,GBIF_80943,Galeoglossum thysanochilum,17.778056,-97.099722,1894566536,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,"(B.L. Rob. & Greenm.) Garay, 1982",4 km al NE de Jocotipac camino a San Pedro Nodón,NA,MX,943.5,11,2004,PRESERVED_SPECIMEN,FC-UNAM,FCME,NO DISPONIBLE,without-number,OTéllez; IMéndez; MAyala; IRosas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457621,Galeoglossum thysanochilum,Galeoglossum,thysanochilum,(B.L.Rob. & Greenm.) Salazar,Species,Accepted,NA,77097889-1,457621,10,16,"c(-97.099722, 17.778056)",TRUE
167236,GBIF_108083,Galeoglossum tubulosum,21.136583,-99.678944,2629424543,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeoglossum,SPECIES,"(Lindl.) L.O. Williams, 1939","Cerca del Puerto de Canoa, vertiente N del Cerro Pingüical",NA,MX,1400,1,1989,PRESERVED_SPECIMEN,FCN-UAQ,QMEX,QMEX 00004016,without-number,J. Rzedowski,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,457622,Galeoglossum tubulosum,Galeoglossum,tubulosum,(Lindl.) Salazar & Soto Arenas,Species,Accepted,NA,77097890-1,457622,20,9,"c(-99.678944, 21.136583)",TRUE
