V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111218,GBIF_15224,Galeottia jorisiana,-0.531944,-65.8675,4526416024,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,Angiospermas,Serra Pirapucu,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00547568,60940,N. T. da Silva;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85484,Galeottia jorisiana,Galeottia,jorisiana,(Rolfe) Schltr.,Species,Accepted,NA,106837-2,85484,15,1,"c(-65.8675, -0.531944)",TRUE
113994,GBIF_18189,Galeottia ciliata,-15.516667,-47.55,4427183513,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(C.Morel) Dressler & Christenson,Estação Ecológica de Águas Emendadas,NA,BR,0,11,1983,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027097,310,"Ramos, AE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,85480,Galeottia ciliata,Galeottia,ciliata,(C.Morel) Dressler & Christenson,Species,Accepted,NA,946485-1,85480,0,32,"c(-47.55, -15.516667)",TRUE
113995,GBIF_18190,Galeottia ciliata,-15.516667,-47.55,4427183515,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(C.Morel) Dressler & Christenson,"Estação Ecológica de Águas Emendadas, Interior de mata alagada",NA,BR,0,4,1983,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027096,431,"Maury, CM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,85480,Galeottia ciliata,Galeottia,ciliata,(C.Morel) Dressler & Christenson,Species,Accepted,NA,946485-1,85480,0,32,"c(-47.55, -15.516667)",TRUE
115175,GBIF_19398,Galeottia ciliata,-16.298624,-39.044099,1928436478,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Morel) Dressler,"Estrada velha de Sta. Cruz de Cabralia, 2-4 km a W de Sta. Cruz de Cabralha. Folha SE-24 (16-39c)",NA,BR,NA,7,1978,PRESERVED_SPECIMEN,NY,NY,547567,10377,S. A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85480,Galeottia ciliata,Galeottia,ciliata,(C.Morel) Dressler & Christenson,Species,Accepted,NA,946485-1,85480,16,14,"c(-39.044099, -16.298624)",TRUE
124848,GBIF_46288,Galeottia burkei,5.933333,-62.57,1042611067,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,NA,"Plateau of Ayan Tepui, Central E Section of NW arm, 300m E of Edelca Ayantepui Centro Station. Rocky ground previously burned over.",NA,VE,925,8,1983,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",150091,28204,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,32,-1,"c(-62.57, 5.933333)",TRUE
128705,GBIF_53365,Galeottia acuminata,-12.908611,-72.8125,4031582881,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(C. Schweinf.) Dressler & Christenson,"Dist. Santa Ana, Tunquimayo. Bosque Secundario.",NA,PE,2110,9,2004,PRESERVED_SPECIMEN,MO,Tropicos,102188513,2747,Gloria Calatayud;Isau Huamantupa;Belizario Gonzales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85476,Galeottia acuminata,Galeottia,acuminata,(C.Schweinf.) Dressler & Christenson,Species,Accepted,NA,946482-1,85476,1,33,"c(-72.8125, -12.908611)",TRUE
131021,GBIF_55741,Galeottia burkei,5.06666,-64.66666,1260188576,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rchb. f.) Garay,"Sierra Parima: Afloramiento ígneo rodeado por bosques, cabeceras del Río Matacuni, a lo largo de la frontera Venezolana-Brasilera, frontera.",NA,VE,1500,5,1973,PRESERVED_SPECIMEN,MO,Tropicos,2834222,107501,Julian A. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,22,6,"c(-64.66666, 5.06666)",TRUE
137664,GBIF_63178,Galeottia burkei,5.85,-62.0333,1585944468,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rchb. f.) Garay,"Distrito Piar; Murisipan-Tepui: savanna covered, southern projection.",NA,VE,1700,5,1986,PRESERVED_SPECIMEN,USF,Herb,191122,132087,"J. A. Steyermark, R. Liesner, B. Holst",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,22,6,"c(-62.0333, 5.85)",TRUE
143112,GBIF_68977,Galeottia jorisiana,0.85,-63.37,1928116254,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rolfe) Dressler & Christenson,Plateau of northern massif of Serra Araca. North part of Northern mountain near peak.,NA,BR,NA,2,1984,PRESERVED_SPECIMEN,NY,NY,1477463,29144,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85484,Galeottia jorisiana,Galeottia,jorisiana,(Rolfe) Schltr.,Species,Accepted,NA,106837-2,85484,20,8,"c(-63.37, 0.85)",TRUE
152732,GBIF_84384,Galeottia jorisiana,0.87,-65.9806,1930349354,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rolfe) Dressler & Christenson,"Cerro de la Neblina, Camp XI, 6.5 km. NNE of Pico Phelps (=Neblina).",NA,VE,NA,2,1985,PRESERVED_SPECIMEN,NY,NY,1477462,31143,M. H. Nee,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85484,Galeottia jorisiana,Galeottia,jorisiana,(Rolfe) Schltr.,Species,Accepted,NA,106837-2,85484,20,8,"c(-65.9806, 0.87)",TRUE
172279,GBIF_115454,Galeottia fimbriata,9.1,-72.83333,4060929921,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(L. Linden & Rchb. f.) Garay,6 km ENE of Río de Oro.,NA,VE,225,3,1982,PRESERVED_SPECIMEN,NA,Tropicos,1311101,13281,Ronald L. Liesner;Ángel C. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85482,Galeottia fimbriata,Galeottia,fimbriata,(Linden & Rchb.f.) Linden ex Lindl.,Species,Accepted,NA,60468117-2,85482,20,14,"c(-72.83333, 9.1)",TRUE
174720,GBIF_118028,Galeottia grandiflora,9.39694,-83.64027,1258454180,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,A. Rich. & Galeotti,Vicinity of El General,NA,CR,1070,2,1936,PRESERVED_SPECIMEN,AMES,Tropicos,1243814,2627,Alexander F. Skutch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85483,Galeottia grandiflora,Galeottia,grandiflora,A.Rich.,Species,Accepted,NA,635369-1,85483,12,5,"c(-83.64027, 9.39694)",TRUE
175386,GBIF_118718,Galeottia grandiflora,9.483333,-83.95,1257784174,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,A. Rich. & Galeotti,Copepy. R.F. Los Santos. Albergue Tinamu falda NE del cerro.,NA,CR,850,3,2005,PRESERVED_SPECIMEN,CR,Tropicos,100436883,12225,J. F. Morales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85483,Galeottia grandiflora,Galeottia,grandiflora,A.Rich.,Species,Accepted,NA,635369-1,85483,12,5,"c(-83.95, 9.483333)",TRUE
176557,GBIF_119956,Galeottia burkei,3.584518,-65.759652,1931055933,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rchb.f.) Dressler & Christenson,Cerro Duida. On upper slopes of Culebra Peak,NA,VE,NA,4,1949,PRESERVED_SPECIMEN,NY,NY,1477453,29123,B. Maguire,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,0,32,"c(-65.759652, 3.584518)",TRUE
177753,GBIF_121412,Galeottia ciliata,-11.032222,-55.350833,1801350257,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Morel) Dressler & Christenson,Resgate de FLORA da UHE Colíder. Lote G,NA,BR,272,2,2015,PRESERVED_SPECIMEN,UTFPR-CP,HCF,24552,2803,M.E. Engels,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85480,Galeottia ciliata,Galeottia,ciliata,(C.Morel) Dressler & Christenson,Species,Accepted,NA,946485-1,85480,2,29,"c(-55.350833, -11.032222)",TRUE
182598,GBIF_127947,Galeottia acuminata,-5.6,-78.35,1258593340,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(C. Schweinf.) Dressler & Christenson,Ca. 12-18 trail km E of La Peca in Serrania de Bagua. Lower montane cloud forest.,NA,PE,1875,6,1978,PRESERVED_SPECIMEN,MO,Tropicos,1372070,22874,Alwyn H. Gentry;Michael O. Dillon;James Aronson;Camilo Díaz S.;Philip J. Barbour,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85476,Galeottia acuminata,Galeottia,acuminata,(C.Schweinf.) Dressler & Christenson,Species,Accepted,NA,946482-1,85476,1,33,"c(-78.35, -5.6)",TRUE
183528,GBIF_128919,Galeottia jorisiana,5.68333,-66.16666,1261384381,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rolfe) Schltr.,"ATURES E slope of unnamed peak, 8 km NW of set- tlement of Yutaje, 4 km W of Río Coro- Coro, W of Serranía de Yutaje. Ranging from slope below wet bluff to wet bluff to unstable slope to dry bluff to summit.",NA,VE,1630,3,1987,PRESERVED_SPECIMEN,MO,Tropicos,669203,21619,Ronald L. Liesner;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,85484,Galeottia jorisiana,Galeottia,jorisiana,(Rolfe) Schltr.,Species,Accepted,NA,106837-2,85484,0,15,"c(-66.16666, 5.68333)",TRUE
183538,GBIF_128930,Galeottia jorisiana,1.53333,-65.81666,1261385917,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rolfe) A.D. Hawkes,"RIO NEGRO: Cerro Aracamuni, summit. Proa camp. Medium height, semi-open forest.",NA,VE,1400,10,1987,PRESERVED_SPECIMEN,MO,Tropicos,670715,22519,Ronald L. Liesner;Germán Carnevali,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85484,Galeottia jorisiana,Galeottia,jorisiana,(Rolfe) Schltr.,Species,Accepted,NA,106837-2,85484,11,8,"c(-65.81666, 1.53333)",TRUE
184503,GBIF_129947,Galeottia jorisiana,3.783333,-63.05,1260190103,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rolfe) A.D. Hawkes,"Distrito Heres: Cerro Marutani, cumbre, selva siempre verde tupida en la altiplanicie cerca de la frontera Venezolana-Brasilers.",NA,VE,1420,1,1981,PRESERVED_SPECIMEN,MO,Tropicos,2835593,123998,Julian A. Steyermark;Bassett Maguire;Charles Brewer-Carías;Celia K. Maguire;Víctor Carreño E.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85484,Galeottia jorisiana,Galeottia,jorisiana,(Rolfe) Schltr.,Species,Accepted,NA,106837-2,85484,11,8,"c(-63.05, 3.783333)",TRUE
186190,GBIF_131796,Galeottia grandiflora,7.716667,-77.783333,1258435938,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,A. Rich. & Galeotti,Between Tres Bocas and Cerro Campamiento on Cuasí-Cana Trail.,NA,PA,345,5,1968,PRESERVED_SPECIMEN,MO,Tropicos,1226834,1345,"Joseph H. Kirkbride, Jr.;James A. Duke",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85483,Galeottia grandiflora,Galeottia,grandiflora,A.Rich.,Species,Accepted,NA,635369-1,85483,12,5,"c(-77.783333, 7.716667)",TRUE
190185,GBIF_136034,Galeottia burkei,5.85,-62.03333,1260189635,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rchb. f.) Garay,In savanna and at dege of savanna.,NA,VE,1700,5,1986,PRESERVED_SPECIMEN,MO,Tropicos,2835189,132087,Julian A. Steyermark;Ronald L. Liesner;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,22,6,"c(-62.03333, 5.85)",TRUE
198701,GBIF_146588,Galeottia burkei,0.823889,-63.438333,1424391716,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rchb.f.) Dressler & Christenson,"Parque Estadual da Serra do Aracá, campos sobre afloramentos rochosos (tepuis), 2,3km NE da Cachoeira do Eldorado. vegetação campestre sobre afloramentos rochosos.",NA,BR,1180,10,2011,PRESERVED_SPECIMEN,JBRJ,RB,RB00686629,17205,"G. Martinelli; D.Costa, R.Forzza, M.A.Moraes, R.Azoury",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,0,32,"c(-63.438333, 0.823889)",TRUE
231082,GBIF_190420,Galeottia burkei,5.21666,-60.75,1260188475,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rchb. f.) Garay,"Dtto. Roscio, Sabana inundable en la basé del Cerro Roraima.",NA,VE,2200,3,1984,PRESERVED_SPECIMEN,MO,Tropicos,2834144,2436,Gerardo Aymard;James L. Luteyn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,22,6,"c(-60.75, 5.21666)",TRUE
232077,GBIF_191504,Galeottia acuminata,-10.272222,-75.504167,4031697220,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(C. Schweinf.) Dressler & Christenson,"Dist. Huancabamba. Parque Nacional Yanachaga-Chemillen, Sector Tunqui-Naciente de la quebrada Muchuymayo.",NA,PE,2153,2,2009,PRESERVED_SPECIMEN,MO,Tropicos,102685183,35267,Rodolfo Vásquez;Luis Valenzuela G.;R. Rivera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85476,Galeottia acuminata,Galeottia,acuminata,(C.Schweinf.) Dressler & Christenson,Species,Accepted,NA,946482-1,85476,1,33,"c(-75.504167, -10.272222)",TRUE
233626,GBIF_193131,Galeottia burkei,3.58333,-65.38333,1261380730,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Rchb. f.) Garay,"Atabapo. Below Salto Los Monos on tributary of headwaters of Río Iguapo. 3º35'N, 65º23'W, elev. 1500 m to 1650 m.",NA,VE,1575,3,1985,PRESERVED_SPECIMEN,MO,Tropicos,665570,18575,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85479,Galeottia burkei,Galeottia,burkei,(Rchb.f.) Dressler & Christenson,Species,Accepted,NA,946484-1,85479,22,6,"c(-65.38333, 3.58333)",TRUE
236613,GBIF_196478,Galeottia ciliata,-14.239444,-40.135833,2998071643,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,(Morel) Dressler,Oriente Novo.. Estrada sentido Oriente Novo ao município de Boa Nova-BA. Borda da Mata.,NA,BR,NA,4,2014,PRESERVED_SPECIMEN,NY,NY,NY02705004,428,R. S. Souza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85480,Galeottia ciliata,Galeottia,ciliata,(C.Morel) Dressler & Christenson,Species,Accepted,NA,946485-1,85480,16,14,"c(-40.135833, -14.239444)",TRUE
245795,GBIF_210046,Galeottia colombiana,3.845556,-74.391111,2013821315,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Galeottia,SPECIES,NA,Subida al Alto del Tigre.,NA,CO,1700,7,1961,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,437842,83,H. Schmidt-Mumm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,85481,Galeottia colombiana,Galeottia,colombiana,(Garay) Dressler & Christenson,Species,Accepted,NA,946486-1,85481,30,-1,"c(-74.391111, 3.845556)",TRUE
